3/28/2023 6:29:47 PM
Mode: Stereo
White time (s): [5.532112, 2.415947, 3.249832, 0.7667236, 2.166, 4.815414, 2.016647, 1.516251, 4.565521, 1.049789, 1.449432, 2.46611, 3.965652, 1.332993, 0.8666382, 1.4496, 1.04953, 1.482758, 2.08287, 5.732086, 1.532791, 0.9165649, 2.916153, 1.050232, 2.699005, 1.16687, 0.7000122, 4.948975, 2.199799, 2.016144]
Shot time (s): [2.849472, 0.8165665, 5.282097, 5.648849, 0.9831085, 1.266342, 3.049438, 1.083267, 2.599442, 2.766083, 1.666656, 2.949524, 1.566376, 2.449402, 1.149551, 0.8830414, 3.216156, 1.066498, 2.382629, 1.149628, 1.899643, 0.8164063, 2.88266, 0.9832153, 3.249176, 6.165161, 1.982697, 2.016724, 3.115753, 2.715973]
Step time (s): [2.449463, 2.432968, 1.033432, 1.94931, 4.449112, 2.899139, 2.183289, 4.965607, 1.899429, 3.466141, 1.033066, 4.032867, 1.499786, 1.183151, 3.016449, 4.599091, 0.8163147, 2.91629, 1.416809, 2.53302, 3.39949, 1.066391, 2.133301, 2.66629, 4.165771, 2.765686, 1.733246, 2.849548, 3.198914, 3.016663]
White horz (deg): [496.395, 198.1124, 178.4024, 22.07249, 144.3825, 371.9924, 137.6325, 122.9175, 424.2374, 26.52749, 94.97247, 240.9749, 349.0425, 71.41498, 25.71749, 97.60497, 33.47999, 115.6275, 173.34, 558.8328, 114.885, 21.9375, 222.2775, 17.14499, 126.4949, 36.31499, 15.255, 447.3226, 203.6475, 138.3075]
Shot horz (deg): [267.5701, 17.75249, 429.6373, 476.3476, 38.94749, 17.14499, 225.9899, 53.79749, 211.7474, 181.4399, 104.3549, 224.0999, 106.38, 158.0175, 51.56999, 27.74249, 376.2449, 36.31499, 203.2424, 43.73999, 181.3049, 17.88749, 175.5, 42.39, 105.8399, 356.1299, 129.1275, 91.46247, 293.0174, 193.455]
Step horz (deg): [180.0225, 134.6625, 25.31249, 141.5475, 350.3927, 135.9449, 167.4675, 351.6076, 41.71498, 198.5175, 68.37748, 393.12, 89.70748, 39.21749, 164.16, 393.7274, 13.4325, 173.07, 78.02998, 163.3499, 317.3175, 26.79749, 72.76498, 157.2074, 243.1349, 162.945, 160.245, 199.3949, 214.3125, 187.0424]
White vert (deg): [300.1049, 92.33995, 130.3424, 4.522498, 74.11497, 238.4775, 36.04499, 27.33749, 178.875, 40.63499, 24.63749, 52.785, 144.9224, 33.5475, 12.48749, 55.55249, 37.73249, 26.32499, 45.96749, 231.9973, 41.10749, 7.424998, 65.47498, 38.61, 95.37745, 22.7475, 10.665, 310.6349, 95.98494, 30.17249]
Shot vert (deg): [76.47747, 28.48499, 273.51, 231.4575, 15.79499, 44.48248, 172.8675, 36.3825, 57.57746, 55.34999, 95.71497, 115.9649, 51.70498, 59.87249, 25.64999, 18.02249, 95.71495, 36.65249, 41.24249, 34.62749, 60.14249, 28.34999, 76.67995, 13.77, 200.88, 406.7551, 134.19, 79.98746, 179.4825, 39.14999]
Step vert (deg): [29.63249, 94.43244, 30.23999, 128.25, 234.8999, 117.3149, 54.26997, 208.1024, 84.77996, 118.7999, 38.60998, 138.1049, 44.8875, 32.53499, 103.275, 255.2849, 15.7275, 93.68995, 58.79249, 46.84498, 159.7724, 27.94499, 119.61, 85.85997, 133.92, 100.035, 78.77248, 72.89994, 160.1775, 114.6149]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
94.45: (-0.95, 0.25, 0.18): 2
94.45: (-0.02, -0.03, 1.00)
94.55: (-0.02, -0.03, 1.00)
94.67: (-0.02, -0.03, 1.00)
94.77: (-0.02, -0.03, 1.00)
94.88: (0.06, -0.06, 1.00)
94.98: (0.14, -0.12, 0.98)
95.08: (0.31, -0.25, 0.92)
95.20: (0.53, -0.34, 0.77)
95.32: (0.54, -0.34, 0.77)
95.43: (0.57, -0.33, 0.75)
95.55: (0.55, -0.32, 0.77)
95.67: (0.05, -0.06, 1.00)
95.78: (-0.26, 0.04, 0.96)
95.90: (-0.56, 0.14, 0.82)
96.02: (-0.87, 0.23, 0.43)
96.13: (-0.88, 0.22, 0.42)
96.25: (-0.88, 0.22, 0.42)
96.35: (-0.87, 0.23, 0.43)
96.47: (-0.91, 0.32, 0.25)
96.58: (-0.93, 0.32, 0.15)
96.70: (-0.95, 0.26, 0.17)
96.82: (-0.95, 0.24, 0.19)
96.90: (-0.95, 0.24, 0.19)
96.90: (-0.02, -0.99, 0.16): 0
96.93: (-0.95, 0.24, 0.19)
97.03: (-0.95, 0.24, 0.19)
97.15: (-0.95, 0.25, 0.20)
97.27: (-0.94, 0.27, 0.23)
97.38: (-0.75, 0.15, 0.65)
97.50: (-0.57, 0.07, 0.82)
97.62: (-0.37, -0.06, 0.93)
97.73: (-0.38, -0.08, 0.92)
97.85: (-0.38, -0.08, 0.92)
97.95: (-0.41, -0.08, 0.91)
98.07: (0.04, -0.24, 0.97)
98.18: (0.60, -0.37, 0.71)
98.28: (0.71, -0.43, 0.55)
98.40: (0.86, -0.46, 0.21)
98.52: (0.84, -0.48, 0.25)
98.63: (0.84, -0.48, 0.25)
98.75: (0.89, -0.44, 0.14)
98.87: (0.79, -0.29, -0.54)
98.98: (0.49, -0.13, -0.86)
99.08: (0.34, -0.04, -0.94)
99.20: (0.20, 0.08, -0.98)
99.32: (0.24, 0.07, -0.97)
99.43: (0.24, 0.07, -0.97)
99.53: (0.23, 0.25, -0.94)
99.65: (0.12, 0.75, -0.65)
99.77: (0.15, 0.96, -0.25)
99.87: (0.19, 0.98, -0.11)
99.97: (0.17, 0.98, -0.10)
100.08: (-0.23, 0.97, 0.12)
100.20: (-0.54, 0.83, 0.14)
100.32: (-0.54, 0.83, 0.14)
100.43: (-0.54, 0.83, 0.14)
100.55: (-0.57, 0.80, 0.20)
100.67: (-0.52, 0.62, 0.59)
100.78: (-0.43, 0.38, 0.82)
100.90: (-0.45, 0.33, 0.83)
101.00: (-0.60, 0.11, 0.79)
101.12: (-0.71, -0.57, 0.42)
101.23: (-0.75, -0.67, 0.00)
101.35: (-0.83, -0.49, -0.27)
101.47: (-0.85, -0.29, -0.45)
101.57: (-0.88, -0.40, -0.25)
101.68: (-0.71, -0.70, -0.08)
101.80: (-0.45, -0.89, 0.01)
101.92: (-0.30, -0.95, 0.10)
102.03: (-0.14, -0.97, 0.20)
102.15: (-0.07, -0.97, 0.23)
102.27: (-0.12, -0.99, 0.11)
102.38: (-0.12, -0.99, 0.10)
102.43: (-0.11, -0.99, 0.11)
102.43: (-0.17, 0.78, 0.61): 2
102.50: (-0.07, -0.99, 0.15)
102.62: (-0.07, -0.98, 0.17)
102.73: (-0.07, -0.98, 0.17)
102.85: (-0.19, -0.98, 0.12)
102.97: (-0.35, -0.94, 0.02)
103.08: (-0.58, -0.82, -0.02)
103.20: (-0.85, -0.53, 0.02)
103.32: (-0.96, -0.24, 0.11)
