600.55: (-0.45, -0.40, 0.79): 2
600.65: (-0.32, -0.16, 0.93)
600.77: (-0.32, -0.16, 0.93)
600.88: (-0.33, -0.23, 0.91)
601.00: (-0.42, -0.41, 0.81)
601.05: (-0.43, -0.42, 0.80)
601.05: (0.75, 0.59, 0.28): 0
601.12: (-0.43, -0.42, 0.80)
601.23: (-0.50, -0.50, 0.71)
601.35: (-0.53, -0.55, 0.65)
601.47: (-0.56, -0.63, 0.53)
601.58: (-0.56, -0.63, 0.53)
601.70: (-0.59, -0.60, 0.54)
601.82: (-0.30, -0.36, 0.88)
601.93: (0.17, -0.02, 0.98)
602.03: (0.32, 0.05, 0.94)
602.15: (0.61, 0.11, 0.79)
602.27: (0.82, 0.06, 0.57)
602.37: (0.89, 0.04, 0.44)
602.48: (0.85, 0.27, 0.45)
602.60: (0.71, 0.56, 0.42)
602.62: (0.71, 0.56, 0.42)
602.62: (0.05, -0.92, 0.39): 0
602.70: (0.72, 0.58, 0.37)
602.82: (0.76, 0.59, 0.27)
602.93: (0.78, 0.61, 0.17)
603.05: (0.81, 0.56, 0.15)
603.17: (0.75, 0.22, 0.63)
603.28: (0.42, -0.03, 0.91)
603.38: (0.22, -0.11, 0.97)
603.50: (-0.18, -0.36, 0.92)
603.62: (-0.61, -0.61, 0.51)
603.73: (-0.81, -0.59, -0.04)
603.85: (-0.84, -0.46, -0.27)
603.97: (-0.63, -0.63, -0.46)
604.08: (-0.25, -0.86, -0.44)
604.18: (0.04, -0.96, -0.28)
604.30: (0.27, -0.96, -0.05)
604.40: (0.23, -0.95, 0.21)
604.52: (-0.02, -0.88, 0.47)
604.57: (-0.11, -0.87, 0.49)
604.57: (0.14, 0.40, 0.90): 0
604.63: (-0.13, -0.86, 0.49)
604.75: (-0.13, -0.87, 0.47)
604.87: (-0.24, -0.90, 0.37)
604.97: (-0.27, -0.87, 0.40)
605.07: (-0.27, -0.87, 0.40)
605.18: (-0.30, -0.88, 0.38)
605.30: (-0.58, -0.77, 0.28)
605.40: (-0.85, -0.51, 0.17)
605.52: (-0.99, -0.13, 0.06)
605.63: (-0.98, 0.18, -0.01)
605.75: (-0.85, 0.53, 0.04)
605.87: (-0.49, 0.85, 0.18)
605.98: (-0.09, 0.94, 0.33)
606.10: (0.33, 0.83, 0.45)
606.22: (0.64, 0.64, 0.42)
606.33: (0.89, 0.33, 0.32)
606.45: (0.95, 0.14, 0.28)
606.57: (0.96, 0.16, 0.22)
606.68: (0.89, 0.46, 0.06)
606.78: (0.51, 0.79, 0.34)
606.90: (0.09, 0.47, 0.88)
607.02: (-0.11, -0.15, 0.98)
607.13: (-0.11, -0.41, 0.90)
607.25: (-0.04, -0.02, 1.00)
607.37: (0.10, 0.39, 0.91)
607.43: (0.15, 0.48, 0.87)
607.43: (0.42, -0.49, -0.76): 2
607.48: (0.16, 0.48, 0.86)
607.58: (0.16, 0.48, 0.86)
607.70: (0.14, 0.47, 0.87)
607.82: (0.08, 0.52, 0.85)
607.93: (0.02, 0.56, 0.83)
608.05: (-0.01, 0.58, 0.82)
608.15: (-0.04, 0.57, 0.82)
608.27: (0.33, 0.23, 0.92)
608.38: (0.46, -0.45, 0.77)
608.50: (0.36, -0.83, 0.43)
608.60: (0.32, -0.93, 0.15)
608.70: (0.34, -0.94, -0.07)
608.82: (0.34, -0.90, -0.27)
608.93: (0.18, -0.81, -0.56)
609.05: (0.24, -0.66, -0.71)
609.17: (0.44, -0.55, -0.71)
609.18: (0.45, -0.55, -0.71)
609.18: (0.03, -0.51, 0.86): 0
609.28: (0.45, -0.54, -0.71)
609.40: (0.46, -0.51, -0.73)
