3/28/2023 12:30:00 PM
Mode: Mono
White time (s): [1.000122, 1.432983, 2.949463, 1.23291, 0.9165039, 1.183105, 0.6000977, 2.666138, 3.249146, 3.116089, 1.466919, 2.082764, 1.766602, 1.715942, 0.4667969, 2.23291, 3.299438, 1.89978, 0.3830566, 2.549194, 0.9664307, 1.215942, 0.916748, 1.615723, 0.7666016, 2.083008, 2.115845, 1.482666, 1.98291, 1.149902]
Shot time (s): [1.366333, 0.6331787, 1.532837, 2.449341, 1.799561, 3.432861, 1.083252, 1.24939, 2.116333, 0.3830566, 2.266235, 1.216553, 0.9665527, 2.333008, 1.583008, 1.866699, 1.166382, 2.183105, 1.399536, 2.016479, 2.133179, 0.6999512, 1.249878, 0.4498291, 1.650146, 0.8997803, 3.349243, 1.316406, 0.7998047, 1.866455]
Step time (s): [4.4823, 2.08313, 1.099731, 3.165894, 1.199829, 2.349487, 1.866333, 1.849609, 3.71582, 2.199463, 2.73291, 0.4996338, 0.416626, 2.033081, 1.400024, 0.9329834, 0.967041, 1.666016, 5.098999, 1.74939, 2.532593, 1.466431, 2.399536, 2.232788, 1.533081, 1.333008, 2.049683, 1.799683, 0.5333252, 1.182983]
White horz (deg): [93.20242, 139.1024, 555.2623, 179.2649, 95.62493, 67.57497, 51.63747, 533.2048, 409.9124, 730.4469, 379.9498, 343.4849, 326.5274, 239.5724, 27.15749, 308.9325, 681.3597, 345.7798, 7.904995, 307.02, 170.5949, 110.6699, 91.79995, 179.3924, 54.05996, 222.7424, 294.78, 213.8173, 225.1649, 173.5274]
Shot horz (deg): [104.8049, 57.50247, 163.5824, 336.0899, 174.0374, 653.0546, 98.55743, 218.535, 456.9598, 22.31248, 372.5549, 152.7449, 143.6924, 362.0999, 203.4899, 216.8774, 204.5099, 426.2323, 177.6075, 342.2098, 249.8999, 26.77498, 99.19495, 30.34498, 281.0099, 95.11497, 497.7598, 169.4474, 78.66745, 191.5049]
Step horz (deg): [901.4246, 285.9824, 73.82244, 430.8224, 140.5049, 302.0474, 329.7149, 265.0724, 534.99, 548.3773, 451.0949, 20.39999, 17.33999, 324.1049, 118.8299, 52.91246, 72.54745, 228.0973, 688.8823, 208.2074, 295.5449, 157.4624, 300.3899, 297.7124, 155.2949, 166.8974, 272.8499, 258.0598, 18.74249, 133.7474]
White vert (deg): [90.90745, 121.3799, 323.595, 81.72746, 22.18499, 127.1174, 19.37999, 381.2249, 424.4474, 339.7874, 255.3823, 196.2224, 213.4349, 170.5949, 20.27249, 266.3474, 395.8874, 219.9374, 25.62749, 290.3174, 94.85996, 84.27744, 107.2274, 115.2599, 71.39996, 212.7974, 512.2948, 371.7899, 394.1022, 159.8849]
Shot vert (deg): [195.0749, 24.98998, 155.2949, 403.5373, 250.0273, 541.2375, 76.11746, 221.9774, 247.2224, 10.96499, 278.8424, 124.0574, 71.14497, 266.3473, 149.5574, 166.8974, 116.0249, 403.7925, 266.6023, 381.3524, 297.8398, 51.63747, 197.3699, 35.95497, 374.4674, 167.0249, 803.5049, 206.4224, 43.73248, 452.3697]
Step vert (deg): [508.2152, 223.2523, 20.90999, 426.9973, 108.2474, 275.2725, 116.9174, 225.8024, 516.3749, 341.8272, 308.9324, 41.05498, 38.75998, 262.1399, 29.45248, 78.28496, 47.30247, 237.1499, 624.2399, 240.4649, 447.3974, 272.3398, 586.4998, 676.3873, 321.1724, 291.0823, 500.0547, 481.9498, 78.02995, 132.345]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
1303.48: (0.36, 0.92, -0.16): 2
1303.48: (-0.95, -0.30, -0.07)
1303.59: (-0.95, -0.30, -0.07)
1303.71: (-0.95, -0.30, -0.08)
1303.83: (-0.67, -0.71, -0.21)
1303.93: (-0.33, -0.90, -0.28)
1304.04: (0.03, -0.99, -0.15)
1304.16: (0.41, -0.91, 0.10)
1304.28: (0.30, -0.71, 0.64)
1304.39: (0.09, -0.39, 0.91)
1304.51: (-0.49, -0.27, 0.83)
1304.61: (-0.78, -0.46, 0.43)
1304.73: (-0.76, -0.53, -0.38)
1304.84: (-0.38, -0.71, -0.59)
1304.96: (0.13, -0.88, -0.46)
1305.08: (0.64, -0.76, 0.07)
1305.19: (0.59, -0.47, 0.66)
1305.31: (0.32, -0.18, 0.93)
1305.43: (-0.27, -0.01, 0.96)
1305.54: (-0.85, -0.08, 0.52)
1305.64: (-0.99, -0.13, 0.05)
1305.76: (-0.91, -0.13, -0.38)
1305.88: (-0.64, -0.06, -0.77)
1305.99: (-0.89, 0.35, -0.30)
1306.11: (-0.89, 0.29, 0.35)
1306.23: (-0.82, 0.22, 0.52)
1306.33: (-0.67, 0.08, 0.73)
1306.44: (-0.41, -0.05, 0.91)
1306.56: (0.26, -0.59, 0.76)
1306.68: (0.69, -0.70, -0.22)
1306.79: (0.27, -0.73, -0.63)
1306.91: (-0.18, -0.58, -0.79)
1307.03: (-0.56, -0.41, -0.72)
1307.14: (-0.56, -0.02, -0.83)
1307.24: (-0.49, 0.40, -0.78)
1307.34: (-0.44, 0.46, -0.77)
1307.46: (0.11, 0.92, -0.37)
1307.58: (0.67, 0.74, -0.04)
1307.69: (0.86, 0.47, 0.20)
1307.81: (0.55, 0.83, -0.10)
1307.91: (0.41, 0.86, -0.29)
1307.96: (0.40, 0.87, -0.30)
1307.96: (0.96, -0.23, 0.15): 1
1308.03: (0.40, 0.87, -0.30)
1308.13: (0.37, 0.88, -0.28)
1308.24: (0.39, 0.92, -0.09)
1308.36: (0.58, 0.66, 0.48)
1308.46: (0.47, 0.66, 0.59)
1308.58: (0.47, 0.66, 0.59)
1308.69: (0.70, 0.55, 0.46)
1308.81: (0.89, -0.18, -0.43)
1308.93: (0.59, -0.45, -0.67)
1309.04: (0.86, -0.48, -0.17)
1309.16: (0.92, -0.36, 0.15)
1309.28: (0.96, -0.23, 0.18)
1309.33: (0.96, -0.23, 0.18)
1309.33: (-0.87, 0.37, 0.31): 2
1309.39: (0.96, -0.23, 0.18)
1309.51: (0.94, -0.27, 0.20)
1309.63: (0.87, -0.46, -0.16)
1309.74: (0.68, -0.28, -0.68)
1309.86: (0.32, 0.20, -0.93)
1309.98: (0.22, 0.30, -0.93)
1310.09: (0.22, 0.30, -0.93)
1310.19: (0.18, 0.30, -0.94)
1310.31: (0.31, 0.75, -0.59)
1310.41: (0.51, 0.84, -0.20)
1310.53: (0.57, 0.75, 0.33)
1310.64: (0.66, 0.58, 0.48)
1310.76: (0.68, 0.39, 0.62)
1310.88: (0.21, 0.14, 0.97)
1310.99: (-0.67, 0.21, 0.72)
1311.09: (-0.90, 0.19, 0.38)
1311.21: (-0.96, 0.27, 0.04)
1311.33: (-0.87, 0.42, 0.26)
1311.41: (-0.84, 0.45, 0.31)
1311.41: (-0.56, 0.14, -0.82): 2
1311.44: (-0.84, 0.45, 0.31)
1311.54: (-0.84, 0.45, 0.32)
1311.64: (-0.84, 0.44, 0.31)
1311.76: (-0.94, 0.30, -0.13)
1311.88: (-0.75, 0.17, -0.64)
