3/30/2023 7:11:09 PM
Mode: Stereo
White time (s): [1.233242, 1.549664, 1.249714, 0.6997681, 1.616337, 0.9994507, 1.43327, 3.582806, 6.048489, 1.932854, 2.233116, 1.88295, 3.466461, 1.166702, 0.5997772, 6.149002, 6.099045, 1.183258, 2.599091, 7.781754, 0.8001709, 1.216125, 3.782654, 3.765915, 4.415939, 1.566513, 1.782822, 0.9998322, 0.7832031, 1.44957]
Shot time (s): [1.383118, 3.982395, 1.683525, 3.615784, 0.5500336, 3.249458, 1.183075, 1.74971, 1.582779, 1.566185, 3.282547, 1.116386, 1.699463, 3.965363, 2.132751, 0.9165649, 2.032806, 1.582901, 0.4662781, 1.799973, 0.6662445, 1.532974, 1.149765, 4.849182, 1.266159, 5.265411, 0.6329041, 1.466446, 1.666443, 1.366409]
Step time (s): [1.349693, 2.133072, 3.4328, 2.982498, 0.5996399, 1.06646, 2.266205, 1.366219, 4.74913, 1.866119, 1.499901, 2.499748, 4.682587, 1.583305, 1.56633, 2.149582, 1.199554, 1.583435, 3.416168, 1.399704, 8.481659, 1.849442, 3.082764, 1.516556, 1.349716, 1.46611, 2.532791, 1.399918, 1.683456, 7.448257]
White horz (deg): [175.4199, 350.5948, 199.5524, 38.83247, 231.2798, 91.01743, 176.3999, 431.0771, 649.6167, 164.3949, 279.9123, 222.7048, 382.6895, 189.7524, 5.879997, 522.0941, 550.0244, 140.9974, 290.0797, 581.6287, 22.90748, 64.55746, 382.1998, 293.1421, 293.0195, 126.5424, 147.1224, 79.62494, 51.20496, 258.1074]
Shot horz (deg): [206.0449, 465.0096, 182.4024, 384.8947, 10.53499, 250.8798, 121.3974, 256.6374, 189.7523, 183.0149, 367.7448, 122.7449, 281.5047, 404.372, 259.8223, 42.87498, 246.2248, 143.2024, 27.19498, 107.1874, 7.594996, 69.82495, 28.41998, 328.2995, 124.2149, 470.3994, 31.60498, 117.2324, 156.4324, 188.6499]
Step horz (deg): [222.8273, 309.8022, 485.4672, 284.3222, 36.01498, 59.28996, 247.4499, 167.8249, 495.8795, 239.8548, 115.2724, 251.4923, 211.3122, 226.1349, 198.3274, 332.2195, 91.01746, 166.9674, 72.51991, 160.4749, 644.5935, 133.5249, 219.3973, 62.10745, 51.93995, 133.6474, 333.1998, 122.8675, 107.4324, 545.6137]
White vert (deg): [55.85996, 58.55496, 34.54498, 33.19748, 46.05997, 32.33998, 92.60991, 133.0349, 481.6695, 98.48991, 82.44244, 72.51997, 143.4474, 31.11497, 35.64748, 445.6544, 394.5719, 29.88998, 88.68996, 413.0695, 27.31748, 38.34246, 122.1324, 225.7674, 419.5621, 50.59245, 24.62248, 13.59749, 12.61749, 28.54247]
Shot vert (deg): [50.71497, 225.3998, 48.14247, 177.8699, 23.88749, 173.0924, 40.54749, 49.73496, 59.77995, 65.41494, 134.7499, 45.07996, 32.82997, 158.8824, 72.88744, 19.72248, 85.87245, 48.14244, 4.164998, 138.9149, 30.01248, 70.80494, 24.37748, 343.2447, 28.90998, 312.7423, 20.45749, 29.76748, 64.18996, 52.55244]
Step vert (deg): [26.70497, 56.34995, 120.1724, 107.4324, 3.919998, 39.07746, 82.19743, 33.56498, 276.8496, 77.90993, 59.65746, 44.34496, 362.3548, 31.84997, 61.00498, 28.29746, 13.59749, 12.37249, 271.7048, 24.62248, 431.322, 80.11494, 180.0748, 51.44996, 76.07245, 38.09747, 51.20494, 30.13497, 47.65246, 376.9323]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
37.28: (0.56, -0.63, 0.54): 0
37.28: (0.04, 0.04, 1.00)
37.40: (0.04, 0.04, 1.00)
37.50: (0.02, 0.03, 1.00)
37.60: (0.16, -0.01, 0.99)
37.71: (0.75, -0.09, 0.66)
37.83: (0.98, -0.17, 0.06)
37.95: (0.95, -0.26, -0.19)
38.06: (0.83, -0.34, -0.43)
38.18: (0.82, -0.57, 0.12)
38.30: (0.67, -0.57, 0.47)
38.40: (0.58, -0.53, 0.62)
38.51: (0.57, -0.54, 0.62)
38.51: (-0.34, -0.27, 0.90): 1
38.51: (0.57, -0.54, 0.62)
38.61: (0.57, -0.54, 0.62)
38.73: (0.59, -0.55, 0.59)
38.85: (0.64, -0.52, 0.57)
38.95: (0.33, -0.14, 0.93)
39.06: (-0.30, 0.45, 0.84)
39.18: (-0.53, 0.71, 0.46)
39.30: (-0.57, 0.76, 0.30)
39.40: (-0.37, 0.56, 0.74)
39.51: (-0.18, 0.06, 0.98)
39.61: (-0.19, -0.05, 0.98)
39.73: (-0.27, -0.08, 0.96)
39.85: (-0.30, -0.22, 0.93)
39.90: (-0.30, -0.26, 0.92)
39.90: (-0.93, 0.32, 0.15): 0
39.96: (-0.30, -0.27, 0.92)
40.06: (-0.30, -0.27, 0.92)
40.18: (-0.25, -0.25, 0.93)
40.30: (-0.01, -0.37, 0.93)
40.40: (0.66, -0.66, 0.36)
40.51: (0.85, -0.46, -0.25)
40.61: (0.85, -0.36, -0.38)
40.73: (0.88, -0.46, 0.07)
40.84: (-0.05, -0.20, 0.98)
40.96: (-0.79, 0.39, 0.47)
41.06: (-0.83, 0.55, 0.06)
41.18: (-0.82, 0.53, -0.20)
41.28: (-0.87, 0.47, -0.12)
41.39: (-0.93, 0.36, 0.02)
41.44: (-0.94, 0.33, 0.06)
41.44: (0.98, 0.05, 0.17): 0
41.51: (-0.94, 0.33, 0.06)
41.63: (-0.94, 0.32, 0.07)
41.74: (-0.89, 0.33, 0.32)
41.86: (-0.37, 0.16, 0.92)
41.98: (0.21, -0.11, 0.97)
42.08: (0.69, -0.29, 0.67)
42.19: (0.91, -0.35, 0.23)
42.31: (0.93, -0.37, -0.09)
42.41: (0.93, -0.34, -0.11)
42.53: (0.98, -0.19, 0.11)
42.64: (0.98, -0.09, 0.16)
42.69: (0.98, -0.09, 0.16)
42.69: (0.87, 0.26, -0.41): 0
42.76: (0.98, -0.09, 0.16)
42.86: (0.98, -0.09, 0.16)
42.98: (1.00, 0.00, -0.07)
43.09: (0.89, 0.23, -0.40)
43.19: (0.84, 0.33, -0.42)
43.31: (0.88, 0.29, -0.38)
43.39: (0.91, 0.24, -0.34)
43.39: (0.44, 0.16, 0.89): 2
43.43: (0.91, 0.23, -0.33)
43.53: (0.92, 0.23, -0.33)
43.64: (0.86, 0.25, -0.44)
43.76: (0.49, 0.25, -0.83)
43.88: (0.66, 0.23, -0.71)
43.98: (0.66, 0.23, -0.71)
44.09: (0.91, 0.35, -0.23)
44.21: (0.59, 0.20, 0.78)
44.31: (0.06, 0.02, 1.00)
44.41: (-0.12, -0.03, 0.99)
44.53: (0.04, 0.02, 1.00)
44.64: (0.27, 0.09, 0.96)
44.74: (0.38, 0.15, 0.91)
44.74: (-0.97, 0.01, 0.22): 2
44.76: (0.37, 0.15, 0.92)
44.86: (0.37, 0.15, 0.92)
44.98: (0.42, 0.18, 0.89)
45.08: (0.62, 0.28, 0.74)
45.19: (0.86, 0.39, 0.33)
45.31: (0.89, 0.41, -0.18)
