3/27/2023 2:46:56 PM
Mode: Mono
White time (s): [1.216454, 3.015831, 4.465775, 2.566299, 7.165054, 0.6998444, 1.4664, 4.681992, 2.266312, 0.7497406, 0.5497437, 3.482239, 3.782791, 7.915222, 3.432602, 2.016602, 2.48262, 2.716339, 0.833313, 2.649109, 3.31604, 0.6832886, 0.6834412, 4.216125, 4.4328, 1.91626, 1.599213, 4.149475, 2.765839, 3.549347]
Shot time (s): [1.966606, 6.015038, 6.415207, 1.233078, 7.181671, 2.932648, 6.198715, 4.682312, 1.749496, 2.682953, 1.249557, 0.7163544, 1.766556, 4.632111, 1.599762, 3.482574, 1.699432, 3.482361, 3.316254, 0.6664124, 1.283234, 0.7164917, 2.64917, 2.666199, 1.666412, 2.399475, 0.7328796, 4.365479, 0.483551, 1.333038]
Step time (s): [17.44629, 1.616127, 2.899483, 3.315887, 4.849075, 4.982315, 4.182709, 2.84964, 1.449707, 4.682343, 0.8998718, 2.583023, 2.249405, 3.966034, 3.332855, 3.566055, 1.683151, 1.399353, 0.5834198, 1.999634, 1.749573, 1.116364, 2.615936, 2.816193, 0.6329956, 1.266113, 4.348846, 7.448883, 2.149628, 1.983002]
White horz (deg): [47.09248, 143.5199, 481.65, 106.9575, 921.2774, 21.64499, 81.4125, 599.2348, 306.735, 25.64248, 2.339999, 347.5876, 347.4899, 714.7723, 350.7076, 196.9499, 246.8699, 276.8999, 21.15749, 173.0625, 338.5199, 45.43497, 7.507496, 398.6774, 326.0399, 220.935, 106.275, 279.6302, 263.7375, 413.9849]
Shot horz (deg): [203.1899, 361.725, 464.5876, 30.61499, 597.1874, 291.9151, 828.9449, 562.7698, 130.1625, 348.1725, 174.0375, 33.63748, 101.6925, 339.69, 55.37996, 255.1575, 105.0074, 85.40997, 250.9649, 37.53748, 93.21, 38.90248, 302.1523, 348.66, 120.8999, 81.41248, 25.44749, 264.2249, 7.702497, 37.73247]
Step horz (deg): [1836.412, 123.1425, 329.1599, 176.085, 232.0499, 456.8848, 273.9749, 256.7174, 22.91248, 241.7024, 16.18499, 312.4875, 307.1248, 437.9699, 360.5549, 503.0025, 86.8725, 99.35252, 14.13749, 168.3824, 53.23497, 38.51248, 92.1375, 94.08752, 29.93249, 80.53501, 334.62, 894.4643, 124.215, 226.2]
White vert (deg): [35.09998, 146.835, 253.3049, 38.12247, 401.2125, 18.52499, 113.88, 448.4026, 157.755, 26.81249, 10.0425, 164.0925, 311.3175, 554.8726, 353.7299, 65.42248, 136.2075, 292.9875, 18.42749, 107.1525, 146.3475, 16.37999, 27.20249, 330.9151, 172.8674, 137.67, 150.4425, 229.0275, 128.3101, 178.6201]
Shot vert (deg): [89.31001, 115.245, 283.0428, 40.55997, 404.2352, 102.8625, 513.1422, 268.5151, 202.02, 134.8425, 58.59745, 23.30249, 157.7549, 234.0974, 198.2174, 343.2976, 79.55997, 154.3425, 147.9075, 15.89249, 107.445, 34.02748, 153.9524, 195.6825, 147.7125, 170.8199, 26.81249, 148.4925, 13.16249, 191.9774]
Step vert (deg): [1239.615, 123.63, 86.57996, 81.9, 220.4476, 218.6925, 209.235, 155.7075, 38.90247, 163.6049, 37.63498, 146.9325, 62.98494, 192.27, 164.0924, 227.4676, 224.5424, 163.3124, 22.71749, 180.3749, 95.45248, 50.89496, 262.8599, 297.3749, 22.81499, 67.85999, 367.575, 545.1223, 145.08, 115.3425]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
91.08: (0.59, -0.71, 0.38): 2
91.08: (0.16, -0.11, 0.98)
91.18: (0.16, -0.11, 0.98)
91.30: (0.16, -0.11, 0.98)
91.42: (0.16, -0.11, 0.98)
91.52: (0.16, -0.11, 0.98)
91.63: (0.16, -0.11, 0.98)
91.75: (0.16, -0.11, 0.98)
91.85: (0.16, -0.11, 0.98)
91.97: (0.16, -0.11, 0.98)
92.08: (0.16, -0.11, 0.98)
92.20: (0.31, 0.04, 0.95)
92.30: (0.52, 0.32, 0.79)
92.40: (0.60, 0.57, 0.55)
92.52: (0.64, 0.76, 0.14)
92.63: (0.52, 0.83, -0.23)
92.75: (0.39, 0.77, -0.51)
92.85: (0.35, 0.80, -0.49)
92.95: (0.39, 0.80, -0.45)
93.07: (0.33, 0.73, -0.60)
93.17: (0.17, 0.53, -0.83)
93.28: (-0.14, 0.25, -0.96)
93.40: (-0.29, 0.12, -0.95)
93.52: (-0.12, 0.11, -0.99)
93.62: (0.57, 0.14, -0.81)
93.73: (0.78, 0.10, -0.61)
93.85: (0.83, -0.05, -0.56)
93.97: (0.81, -0.24, -0.54)
94.08: (0.76, -0.28, -0.59)
94.20: (0.77, -0.27, -0.58)
94.32: (0.94, 0.21, -0.27)
94.43: (0.73, 0.68, 0.02)
94.55: (0.50, 0.85, 0.16)
94.65: (0.20, 0.96, 0.21)
94.77: (-0.28, 0.92, 0.28)
94.88: (-0.35, 0.89, 0.27)
94.98: (-0.35, 0.90, 0.27)
95.10: (-0.39, 0.92, -0.06)
95.22: (-0.54, 0.69, -0.48)
95.32: (-0.58, 0.40, -0.71)
95.43: (-0.43, 0.23, -0.87)
95.55: (-0.23, 0.07, -0.97)
95.67: (-0.34, 0.12, -0.93)
95.77: (-0.55, 0.41, -0.73)
95.88: (-0.54, 0.83, 0.11)
96.00: (-0.49, 0.84, 0.21)
96.10: (-0.41, 0.86, 0.31)
96.22: (-0.03, 0.69, 0.72)
96.33: (0.14, 0.51, 0.85)
96.45: (-0.28, 0.03, 0.96)
96.57: (-0.66, -0.57, 0.50)
96.68: (-0.72, -0.57, 0.38)
96.78: (-0.72, -0.57, 0.38)
96.88: (-0.72, -0.55, 0.43)
97.00: (-0.71, -0.68, 0.15)
97.12: (-0.56, -0.80, -0.23)
97.23: (-0.27, -0.68, -0.69)
97.33: (-0.02, -0.43, -0.90)
97.43: (0.11, -0.31, -0.94)
97.55: (0.11, -0.31, -0.94)
97.67: (0.21, -0.24, -0.95)
97.78: (0.38, -0.06, -0.92)
97.90: (0.52, 0.01, -0.85)
98.02: (0.71, 0.24, -0.66)
98.12: (0.66, 0.25, -0.71)
98.22: (0.66, 0.25, -0.71)
98.33: (0.66, 0.22, -0.72)
98.45: (0.75, 0.27, -0.61)
98.57: (0.81, 0.52, -0.26)
98.67: (0.66, 0.71, 0.25)
98.78: (0.15, 0.61, 0.78)
98.90: (-0.02, 0.58, 0.82)
99.02: (-0.02, 0.58, 0.82)
99.12: (-0.02, 0.58, 0.82)
99.23: (-0.07, 0.47, 0.88)
99.35: (-0.23, 0.61, 0.75)
99.47: (-0.24, 0.97, 0.07)
99.58: (-0.34, 0.90, -0.28)
99.70: (-0.44, 0.72, -0.54)
99.80: (-0.42, 0.37, -0.83)
99.92: (-0.35, 0.09, -0.93)
100.02: (-0.35, 0.15, -0.93)
100.13: (-0.38, 0.18, -0.91)
100.23: (-0.48, 0.44, -0.76)
100.35: (-0.46, 0.89, -0.02)
