1373.46: (-0.19, -0.09, 0.98)
1373.58: (-0.74, -0.08, 0.67)
1373.68: (-0.92, -0.07, 0.40)
1373.80: (-0.99, -0.06, -0.10)
1373.90: (-0.90, -0.04, -0.44)
1374.01: (-0.76, -0.15, -0.64)
1374.13: (-0.63, -0.44, -0.64)
1374.25: (-0.22, -0.85, -0.47)
1374.36: (0.25, -0.96, -0.13)
1374.48: (0.38, -0.86, 0.34)
1374.60: (-0.34, -0.66, 0.67)
1374.71: (-0.93, 0.14, 0.33)
1374.81: (-0.53, 0.80, -0.27)
1374.93: (0.29, 0.71, -0.65)
1375.03: (0.52, 0.45, -0.72)
1375.15: (0.45, 0.58, -0.68)
1375.25: (0.11, 0.84, -0.52)
1375.36: (0.07, 0.88, -0.47)
1375.48: (0.10, 0.92, -0.37)
1375.60: (0.07, 0.97, -0.24)
1375.60: (-0.48, 0.14, -0.86): 0
1375.60: (0.07, 0.97, -0.24)
1375.71: (0.07, 0.97, -0.24)
1375.83: (0.06, 0.96, -0.26)
1375.95: (0.04, 0.96, -0.29)
1376.06: (-0.18, 0.90, -0.40)
1376.18: (-0.65, 0.58, -0.49)
1376.30: (-0.63, -0.03, -0.78)
1376.41: (-0.47, -0.40, -0.78)
1376.53: (-0.48, -0.08, -0.88)
1376.65: (-0.52, 0.20, -0.83)
1376.76: (-0.51, 0.15, -0.85)
1376.83: (-0.50, 0.14, -0.85)
1376.83: (0.94, -0.23, 0.25): 1
1376.86: (-0.50, 0.14, -0.85)
1376.98: (-0.50, 0.13, -0.86)
1377.08: (-0.46, -0.14, -0.88)
1377.20: (-0.57, -0.34, -0.75)
1377.31: (-0.67, -0.54, -0.51)
1377.43: (-0.64, -0.70, 0.31)
1377.55: (-0.27, -0.42, 0.87)
1377.65: (-0.36, -0.59, 0.72)
1377.76: (-0.19, -0.29, 0.94)
1377.88: (0.55, 0.43, 0.72)
1378.00: (0.47, 0.36, 0.81)
1378.10: (0.47, 0.36, 0.81)
1378.20: (0.47, 0.36, 0.81)
1378.31: (0.74, 0.31, 0.59)
1378.43: (0.98, -0.03, 0.20)
1378.53: (0.99, -0.11, 0.02)
1378.65: (0.99, -0.10, 0.05)
1378.75: (0.94, -0.17, 0.30)
1378.86: (0.92, -0.26, 0.30)
1378.90: (0.92, -0.26, 0.30)
1378.90: (-0.93, 0.13, -0.35): 1
1378.98: (0.92, -0.26, 0.30)
1379.10: (0.93, -0.22, 0.29)
1379.21: (1.00, -0.01, 0.03)
1379.33: (0.85, 0.37, -0.37)
1379.45: (0.28, 0.74, -0.61)
1379.55: (-0.06, 0.79, -0.62)
1379.66: (0.08, 0.80, -0.60)
1379.78: (0.18, 0.78, -0.60)
1379.90: (-0.12, 0.72, -0.68)
1380.00: (-0.73, 0.50, -0.47)
1380.11: (-0.97, 0.22, -0.02)
1380.23: (-0.97, 0.05, 0.24)
1380.33: (-0.99, 0.08, -0.13)
1380.45: (-0.97, 0.09, -0.22)
1380.56: (-0.96, 0.10, -0.28)
1380.63: (-0.94, 0.13, -0.31)
1380.63: (0.56, 0.73, -0.39): 0
1380.68: (-0.94, 0.13, -0.31)
1380.80: (-0.97, 0.11, -0.24)
1380.91: (-0.97, 0.11, -0.24)
1381.03: (-0.95, 0.13, -0.27)
1381.15: (-0.85, -0.52, 0.08)
1381.26: (-0.35, -0.85, 0.40)
1381.38: (-0.08, -0.80, 0.60)
1381.48: (0.07, -0.76, 0.65)
1381.60: (0.11, -0.90, 0.42)
1381.71: (0.19, -0.98, 0.01)
1381.83: (0.17, -0.95, -0.28)
1381.95: (0.05, -0.89, -0.46)
1382.05: (0.05, -0.87, -0.50)
1382.16: (0.20, -0.88, -0.43)
1382.28: (0.71, -0.66, -0.24)
1382.40: (0.92, -0.39, -0.02)
1382.51: (0.97, -0.10, 0.20)
1382.63: (0.90, 0.08, 0.42)
1382.73: (0.75, 0.16, 0.64)
1382.85: (0.32, 0.42, 0.85)
1382.96: (-0.12, 0.51, 0.85)
1383.08: (-0.33, 0.48, 0.82)
1383.20: (-0.45, 0.40, 0.80)
1383.30: (-0.42, 0.28, 0.86)
1383.41: (-0.22, -0.13, 0.97)
1383.53: (-0.08, -0.50, 0.86)
