3/30/2023 4:01:30 PM
Mode: Default
White time (s): [4.765625, 2.482666, 2.782471, 1.566284, 0.8999023, 0.9660645, 2.049805, 1.383057, 1.116455, 0.9334717, 1.316162, 1.949829, 1.266479, 2.566162, 1.283081, 2.032837, 2.266113, 0.4667969, 3.449097, 1.016479, 2.049438, 3.216553, 0.9499512, 0.4002686, 1.766479, 1.749512, 1.550171, 1.516113, 4.21582, 0.949585]
Shot time (s): [3.915527, 0.5167236, 2.74939, 2.16626, 1.416626, 1.649414, 0.7832031, 2.965942, 0.416626, 1.532959, 2.466431, 4.949341, 1.982788, 2.283081, 1.199829, 1.899658, 1.016479, 1.883179, 3.249023, 1.333008, 0.8494873, 1.450073, 3.532349, 1.266113, 1.532837, 1.616577, 0.6832275, 1.632935, 1.166626, 2.216309]
Step time (s): [1.849731, 4.232666, 0.8664551, 0.7663574, 1.033447, 2.366333, 1.899658, 0.583374, 1.349731, 0.6501465, 2.58252, 6.831787, 3.116211, 2.682373, 2.832886, 1.466187, 2.932495, 0.6165771, 0.3996582, 1.432983, 2.299316, 0.6000977, 2.73291, 0.6330566, 1.033447, 1.266235, 3.432739, 1.416138, 1.583008, 0.9165039]
White horz (deg): [435.4796, 151.9048, 372.2095, 114.7124, 43.31997, 68.39994, 241.3948, 51.15747, 48.30746, 45.88495, 117.5624, 172.5674, 125.9699, 291.9822, 80.36993, 111.5774, 208.1923, 14.53499, 475.0946, 78.37495, 187.2447, 293.9772, 23.93999, 5.272497, 181.9723, 144.2098, 218.1674, 105.1649, 363.2319, 81.65242]
Shot horz (deg): [232.8447, 12.11249, 340.5748, 202.3498, 120.8399, 88.06493, 34.19997, 319.6271, 15.67499, 113.0024, 237.5472, 515.2798, 141.7874, 141.2173, 92.1974, 148.9124, 74.52745, 192.2323, 222.4423, 144.9224, 110.2949, 177.9823, 315.7797, 70.53744, 112.4324, 135.3749, 8.692494, 120.4124, 88.49241, 236.8348]
Step horz (deg): [129.1049, 354.112, 22.37249, 42.17997, 95.04743, 190.5222, 125.8274, 16.52999, 29.49748, 44.31747, 185.5348, 632.2721, 128.6774, 132.0973, 170.1448, 114.2849, 151.0499, 9.547494, 8.549995, 107.7299, 183.6823, 35.05497, 245.6698, 19.80749, 54.71996, 91.34243, 304.8072, 121.9799, 170.2874, 114.5699]
White vert (deg): [405.4121, 135.8023, 178.4098, 113.1449, 35.62497, 74.52744, 124.1174, 110.5799, 73.81494, 49.44746, 52.86746, 97.89737, 57.71245, 201.2098, 42.17997, 181.9723, 169.4324, 10.25999, 193.9422, 28.07248, 126.5399, 214.7472, 53.72246, 22.08749, 71.67741, 104.0249, 87.06741, 170.1449, 260.7746, 58.42496]
Shot vert (deg): [391.5897, 47.59496, 191.6623, 145.3499, 85.92744, 103.3124, 34.34248, 219.7348, 18.23999, 56.71496, 137.3699, 235.6947, 126.5399, 181.8298, 77.51993, 116.1374, 52.86745, 87.06742, 184.8223, 94.19241, 36.76497, 79.65743, 153.1873, 63.98243, 72.81744, 72.38994, 22.94249, 127.8224, 64.55244, 111.8623]
Step vert (deg): [53.43745, 225.5772, 23.79749, 42.46497, 74.81244, 144.0673, 71.24992, 18.80999, 61.55995, 12.82499, 174.9899, 511.2893, 119.2724, 118.2748, 224.0098, 93.76491, 96.3299, 11.25749, 19.23749, 73.24493, 137.3698, 9.262495, 108.0149, 28.35748, 53.86497, 87.20994, 193.3723, 69.25494, 81.50993, 22.94249]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
1204.78: (0.36, 0.52, 0.77): 1
1204.78: (-0.91, 0.40, 0.10)
1204.90: (-0.91, 0.40, 0.10)
1205.01: (-0.91, 0.40, 0.10)
1205.13: (-0.91, 0.40, 0.10)
1205.23: (-0.92, 0.38, 0.10)
1205.35: (-0.96, 0.27, 0.03)
1205.46: (-0.98, 0.13, -0.11)
1205.58: (-0.97, 0.04, -0.22)
1205.70: (-0.89, -0.07, -0.44)
1205.81: (-0.71, -0.21, -0.67)
1205.93: (-0.44, -0.38, -0.81)
1206.03: (-0.22, -0.49, -0.84)
1206.13: (-0.23, -0.49, -0.84)
1206.25: (-0.78, -0.23, -0.59)
1206.36: (-0.92, -0.10, -0.39)
1206.48: (-0.98, 0.18, -0.11)
1206.60: (-0.85, 0.46, 0.27)
1206.70: (-0.81, 0.45, 0.37)
1206.81: (-0.83, 0.40, 0.40)
1206.91: (-0.82, 0.33, 0.47)
1207.01: (-0.72, 0.07, 0.69)
1207.13: (-0.53, -0.29, 0.80)
1207.25: (-0.23, -0.71, 0.66)
1207.36: (-0.01, -0.85, 0.52)
1207.46: (0.16, -0.90, 0.40)
1207.58: (0.44, -0.83, 0.33)
1207.70: (0.80, -0.50, 0.34)
1207.81: (0.98, -0.05, 0.19)
1207.93: (0.86, 0.38, 0.34)
1208.03: (0.60, 0.66, 0.46)
1208.15: (0.28, 0.75, 0.60)
1208.26: (0.28, 0.68, 0.68)
1208.38: (0.43, 0.32, 0.84)
1208.48: (0.43, 0.32, 0.84)
1208.60: (0.42, 0.34, 0.84)
1208.70: (0.32, 0.49, 0.81)
1208.70: (0.21, 0.32, -0.92): 2
1208.71: (0.31, 0.51, 0.80)
1208.81: (0.31, 0.51, 0.80)
1208.93: (0.31, 0.51, 0.80)
1209.05: (0.33, 0.48, 0.82)
1209.15: (0.35, 0.45, 0.82)
1209.26: (0.36, 0.44, 0.82)
1209.38: (0.36, 0.44, 0.82)
1209.50: (0.49, 0.43, 0.75)
1209.61: (0.70, 0.57, 0.43)
1209.73: (0.74, 0.67, -0.05)
1209.85: (0.76, 0.57, -0.33)
1209.96: (0.76, 0.57, -0.33)
1210.08: (0.76, 0.57, -0.33)
1210.20: (0.67, 0.35, -0.66)
1210.31: (0.55, 0.39, -0.74)
1210.43: (0.37, 0.42, -0.83)
1210.53: (0.18, 0.28, -0.94)
1210.55: (0.17, 0.28, -0.95)
1210.55: (-0.87, 0.48, -0.01): 0
1210.65: (0.17, 0.28, -0.95)
1210.76: (0.17, 0.28, -0.95)
1210.88: (0.17, 0.28, -0.95)
1210.98: (0.17, 0.28, -0.95)
1211.10: (0.17, 0.28, -0.94)
1211.21: (0.17, 0.28, -0.94)
1211.33: (0.09, 0.29, -0.95)
1211.45: (0.07, 0.28, -0.96)
1211.55: (0.26, 0.17, -0.95)
1211.65: (0.32, 0.14, -0.94)
1211.76: (0.36, 0.11, -0.93)
1211.88: (0.34, 0.03, -0.94)
1211.98: (0.31, -0.24, -0.92)
1212.10: (0.23, -0.43, -0.87)
1212.21: (0.02, -0.60, -0.80)
1212.33: (-0.43, -0.69, -0.59)
1212.45: (-0.72, -0.61, -0.33)
1212.55: (-0.82, -0.55, -0.17)
1212.66: (-0.89, -0.46, 0.03)
1212.78: (-0.92, -0.32, 0.22)
1212.88: (-0.93, -0.14, 0.35)
1213.00: (-0.83, 0.09, 0.54)
1213.10: (-0.72, 0.27, 0.65)
1213.21: (-0.72, 0.26, 0.64)
1213.33: (-0.72, 0.26, 0.64)
