723.28: (-0.49, 0.07, 0.87)
723.39: (-0.49, 0.07, 0.87)
723.41: (-0.49, 0.07, 0.87)
723.41: (-0.09, 0.14, 0.99): 2
723.51: (-0.53, 0.08, 0.84)
723.63: (-0.71, 0.05, 0.70)
723.74: (-0.76, 0.04, 0.64)
723.84: (-0.55, 0.05, 0.84)
723.96: (-0.32, 0.14, 0.94)
724.08: (-0.21, 0.16, 0.96)
724.09: (-0.21, 0.16, 0.96)
724.09: (0.85, -0.29, 0.44): 1
724.19: (-0.20, 0.16, 0.97)
724.31: (0.00, 0.11, 0.99)
724.43: (0.29, 0.06, 0.96)
724.54: (0.45, -0.26, 0.85)
724.66: (0.55, -0.56, 0.61)
724.78: (0.69, -0.59, 0.42)
724.89: (0.85, -0.28, 0.45)
725.01: (0.86, -0.19, 0.48)
725.01: (-0.83, -0.43, 0.35): 2
725.01: (0.86, -0.19, 0.48)
725.13: (0.86, -0.23, 0.45)
725.24: (0.87, -0.37, 0.32)
725.36: (0.77, -0.64, 0.06)
725.46: (0.47, -0.86, -0.21)
725.56: (0.07, -0.93, -0.36)
725.68: (-0.15, -0.84, -0.52)
725.78: (-0.22, -0.71, -0.66)
725.88: (-0.33, -0.58, -0.74)
725.99: (-0.62, -0.26, -0.74)
726.09: (-0.79, 0.03, -0.62)
726.19: (-0.85, 0.23, -0.48)
726.31: (-0.84, 0.50, -0.21)
726.43: (-0.74, 0.61, -0.28)
726.54: (-0.52, 0.74, -0.42)
726.64: (-0.29, 0.85, -0.45)
726.74: (-0.01, 0.90, -0.44)
726.86: (0.27, 0.81, -0.53)
726.98: (0.35, 0.60, -0.72)
727.09: (0.35, 0.57, -0.75)
727.21: (0.35, 0.57, -0.75)
727.31: (0.35, 0.57, -0.75)
727.43: (0.42, 0.37, -0.83)
727.54: (0.58, -0.05, -0.81)
727.66: (0.52, -0.26, -0.81)
727.78: (0.30, -0.39, -0.87)
727.89: (-0.03, -0.64, -0.77)
727.99: (-0.18, -0.72, -0.67)
728.09: (-0.24, -0.77, -0.59)
728.21: (-0.29, -0.90, -0.33)
728.33: (-0.48, -0.88, -0.08)
728.44: (-0.67, -0.74, 0.04)
728.54: (-0.80, -0.56, 0.21)
728.66: (-0.81, -0.33, 0.48)
728.78: (-0.83, -0.30, 0.48)
728.89: (-0.84, -0.44, 0.33)
728.99: (-0.83, -0.45, 0.32)
728.99: (0.83, 0.56, -0.07): 0
729.01: (-0.83, -0.45, 0.32)
729.12: (-0.87, -0.40, 0.28)
729.24: (-0.97, -0.23, 0.06)
729.36: (-0.99, 0.05, -0.12)
729.47: (-0.88, 0.47, -0.10)
729.59: (-0.72, 0.67, -0.16)
729.71: (-0.56, 0.82, -0.15)
729.82: (-0.17, 0.98, 0.11)
729.92: (0.21, 0.92, 0.33)
730.04: (0.53, 0.74, 0.41)
730.16: (0.74, 0.50, 0.45)
730.27: (0.79, 0.41, 0.45)
730.39: (0.93, 0.19, 0.31)
730.51: (0.99, 0.17, -0.03)
730.62: (0.92, 0.38, -0.04)
730.74: (0.87, 0.49, -0.01)
730.82: (0.87, 0.49, -0.02)
730.82: (-0.59, -0.81, 0.01): 0
730.86: (0.87, 0.49, -0.02)
730.97: (0.86, 0.51, -0.04)
731.09: (0.69, 0.71, -0.11)
