391.97: (0.79, -0.16, -0.59)
392.09: (0.54, 0.19, -0.82)
392.21: (0.23, 0.48, -0.85)
392.32: (-0.27, 0.70, -0.66)
392.44: (-0.50, 0.73, -0.47)
392.54: (-0.60, 0.72, -0.35)
392.64: (-0.71, 0.69, -0.14)
392.76: (-0.69, 0.71, -0.17)
392.87: (-0.01, 0.74, -0.67)
392.99: (0.58, 0.32, -0.75)
393.10: (0.78, -0.02, -0.62)
393.21: (0.84, -0.25, -0.48)
393.32: (0.83, -0.53, -0.19)
393.44: (0.70, -0.71, 0.11)
393.55: (0.48, -0.79, 0.37)
393.67: (0.28, -0.81, 0.52)
393.77: (0.22, -0.79, 0.57)
393.89: (0.17, -0.78, 0.60)
393.99: (0.07, -0.76, 0.64)
394.11: (-0.16, -0.65, 0.74)
394.22: (-0.42, -0.48, 0.77)
394.34: (-0.60, -0.24, 0.77)
394.45: (-0.65, -0.05, 0.76)
394.57: (-0.61, 0.09, 0.79)
394.67: (-0.60, 0.13, 0.79)
394.77: (-0.56, -0.03, 0.83)
394.89: (-0.47, -0.61, 0.64)
395.00: (-0.13, -0.92, 0.37)
395.12: (0.52, -0.86, 0.02)
395.24: (0.92, -0.30, -0.27)
395.34: (0.90, 0.22, -0.38)
395.45: (0.83, 0.41, -0.38)
395.55: (0.94, 0.32, -0.13)
395.65: (0.99, 0.14, 0.10)
395.77: (0.99, 0.11, 0.12)
395.89: (0.99, 0.09, 0.13)
395.99: (0.98, 0.02, 0.20)
396.00: (0.98, 0.02, 0.20)
396.00: (-0.44, 0.14, 0.89): 1
396.10: (0.98, 0.02, 0.21)
396.20: (0.98, 0.02, 0.21)
396.30: (0.98, 0.02, 0.21)
396.42: (0.98, 0.02, 0.19)
396.54: (0.98, 0.03, 0.18)
396.64: (0.98, 0.03, 0.18)
396.74: (0.98, 0.03, 0.18)
396.85: (0.98, 0.06, 0.18)
396.95: (0.97, 0.17, 0.20)
397.07: (0.95, 0.21, 0.24)
397.19: (0.86, 0.27, 0.43)
397.29: (0.73, 0.26, 0.63)
397.40: (0.59, 0.26, 0.76)
397.52: (0.50, 0.28, 0.82)
397.64: (0.44, 0.31, 0.84)
397.75: (0.38, 0.36, 0.85)
397.85: (0.32, 0.40, 0.86)
397.97: (0.27, 0.43, 0.86)
398.09: (0.22, 0.46, 0.86)
398.20: (0.19, 0.49, 0.85)
398.30: (0.15, 0.51, 0.85)
398.42: (0.07, 0.51, 0.85)
398.52: (0.00, 0.49, 0.87)
398.64: (-0.11, 0.46, 0.88)
398.75: (-0.22, 0.44, 0.87)
398.87: (-0.30, 0.39, 0.87)
398.99: (-0.37, 0.34, 0.86)
399.09: (-0.39, 0.28, 0.88)
399.15: (-0.40, 0.26, 0.88)
399.15: (-0.53, 0.00, 0.85): 1
399.20: (-0.40, 0.22, 0.89)
399.30: (-0.41, 0.20, 0.89)
399.42: (-0.40, 0.21, 0.89)
399.52: (-0.39, 0.21, 0.89)
399.64: (-0.43, 0.17, 0.89)
399.75: (-0.48, 0.10, 0.87)
399.87: (-0.51, 0.08, 0.85)
399.99: (-0.54, 0.03, 0.84)
399.99: (0.00, 0.77, 0.64): 1
399.99: (-0.54, 0.03, 0.84)
400.09: (-0.55, 0.02, 0.83)
400.19: (-0.55, 0.02, 0.83)
400.30: (-0.55, 0.02, 0.83)
400.40: (-0.55, 0.02, 0.83)
400.50: (-0.55, 0.02, 0.83)
400.62: (-0.55, 0.03, 0.83)
400.74: (-0.61, 0.22, 0.76)
400.85: (-0.64, 0.45, 0.62)
400.97: (-0.62, 0.57, 0.53)
401.09: (-0.56, 0.71, 0.43)
401.20: (-0.45, 0.85, 0.28)
401.32: (-0.36, 0.86, 0.35)
401.44: (-0.25, 0.80, 0.54)
401.55: (-0.12, 0.77, 0.63)
401.67: (0.01, 0.72, 0.69)
401.70: (0.03, 0.71, 0.70)
401.70: (-0.91, 0.37, -0.20): 0
401.77: (0.03, 0.71, 0.70)
401.87: (0.05, 0.67, 0.74)
401.99: (0.10, 0.54, 0.84)
402.10: (0.16, 0.41, 0.90)
402.22: (0.29, 0.23, 0.93)
402.34: (0.44, 0.07, 0.90)
402.45: (0.57, 0.09, 0.81)
402.57: (0.63, 0.15, 0.76)
402.67: (0.63, 0.15, 0.76)
402.77: (0.63, 0.15, 0.76)
402.89: (0.64, 0.16, 0.75)
403.00: (0.67, 0.25, 0.70)
403.10: (0.65, 0.44, 0.62)
403.20: (0.59, 0.63, 0.50)
403.32: (0.51, 0.76, 0.41)
403.44: (0.48, 0.84, 0.25)
403.55: (0.32, 0.95, 0.00)
403.67: (0.16, 0.97, -0.17)
403.79: (-0.02, 0.96, -0.29)
403.90: (-0.15, 0.90, -0.41)
404.00: (-0.26, 0.79, -0.56)
404.12: (-0.42, 0.63, -0.66)
404.22: (-0.48, 0.55, -0.68)
404.32: (-0.56, 0.47, -0.68)
404.44: (-0.66, 0.34, -0.67)
404.55: (-0.68, 0.35, -0.64)
404.67: (-0.68, 0.35, -0.64)
404.79: (-0.75, 0.37, -0.54)
404.90: (-0.83, 0.35, -0.44)
405.02: (-0.87, 0.33, -0.37)
405.14: (-0.91, 0.32, -0.26)
405.25: (-0.92, 0.31, -0.23)
405.29: (-0.92, 0.31, -0.23)
405.29: (0.52, -0.74, 0.43): 1
405.37: (-0.92, 0.31, -0.23)
405.47: (-0.92, 0.31, -0.23)
405.59: (-0.91, 0.32, -0.25)
405.70: (-0.90, 0.37, -0.23)
405.82: (-0.90, 0.37, -0.23)
405.94: (-0.90, 0.37, -0.24)
406.05: (-0.92, 0.28, -0.27)
406.17: (-0.95, -0.08, -0.31)
406.29: (-0.89, -0.22, -0.39)
406.40: (-0.84, -0.35, -0.42)
406.52: (-0.70, -0.62, -0.35)
406.64: (-0.40, -0.89, -0.22)
406.75: (-0.04, -1.00, -0.06)
406.85: (0.20, -0.98, 0.04)
406.97: (0.43, -0.88, 0.20)
407.09: (0.54, -0.77, 0.34)
407.20: (0.51, -0.75, 0.42)
407.24: (0.51, -0.75, 0.42)
407.24: (-0.03, 0.87, 0.48): 0
407.30: (0.51, -0.75, 0.42)
407.42: (0.50, -0.75, 0.42)
407.54: (0.50, -0.75, 0.42)
407.64: (0.50, -0.76, 0.42)
407.75: (0.50, -0.76, 0.41)
407.87: (0.61, -0.64, 0.47)
407.97: (0.81, -0.24, 0.53)
408.09: (0.82, -0.19, 0.55)
408.19: (0.82, -0.19, 0.55)
408.30: (0.82, -0.19, 0.55)
408.42: (0.82, -0.18, 0.54)
