374.91: (0.01, 0.99, 0.11)
375.03: (0.30, 0.95, 0.13)
375.14: (0.62, 0.78, -0.08)
375.24: (0.76, 0.50, -0.42)
375.34: (0.82, 0.05, -0.56)
375.46: (0.92, 0.09, -0.39)
375.58: (0.92, 0.26, -0.28)
375.68: (0.92, 0.26, -0.28)
375.68: (-0.68, -0.66, 0.32): 2
375.69: (0.92, 0.26, -0.28)
375.79: (0.93, 0.26, -0.26)
375.91: (0.90, 0.30, -0.31)
376.01: (0.90, 0.30, -0.31)
376.13: (0.90, 0.30, -0.31)
376.23: (0.90, 0.13, -0.42)
376.34: (0.75, -0.18, -0.64)
376.46: (0.60, -0.41, -0.69)
376.57: (0.48, -0.71, -0.52)
376.69: (0.31, -0.80, -0.51)
376.79: (0.18, -0.93, -0.31)
376.89: (0.36, -0.93, -0.01)
377.01: (0.73, -0.60, 0.32)
377.12: (0.75, -0.30, 0.59)
377.22: (0.71, -0.10, 0.70)
377.34: (0.65, 0.11, 0.75)
377.46: (0.94, 0.11, 0.33)
377.56: (0.78, -0.25, -0.58)
377.67: (0.18, -0.36, -0.91)
377.77: (-0.32, -0.34, -0.89)
377.89: (-0.76, -0.31, -0.57)
378.01: (-0.96, -0.27, -0.10)
378.11: (-0.92, -0.20, 0.32)
378.21: (-0.72, -0.21, 0.67)
378.32: (-0.58, -0.28, 0.76)
378.44: (-0.71, -0.56, 0.42)
378.56: (-0.72, -0.62, 0.32)
378.57: (-0.72, -0.62, 0.32)
378.57: (0.96, 0.07, 0.27): 1
378.67: (-0.72, -0.62, 0.32)
378.77: (-0.66, -0.59, 0.46)
378.89: (-0.58, -0.61, 0.54)
379.01: (-0.42, -0.60, 0.68)
379.11: (-0.24, -0.60, 0.76)
379.21: (-0.03, -0.79, 0.62)
379.32: (0.16, -0.94, 0.30)
379.44: (0.34, -0.82, 0.45)
379.56: (0.57, -0.57, 0.59)
379.66: (0.66, -0.18, 0.73)
379.77: (0.38, 0.23, 0.90)
379.89: (0.06, 0.35, 0.93)
380.01: (0.47, 0.28, 0.84)
380.12: (0.73, 0.18, 0.66)
380.24: (0.82, 0.07, 0.57)
380.34: (0.87, 0.04, 0.49)
380.46: (0.93, 0.05, 0.36)
380.49: (0.94, 0.05, 0.33)
380.49: (0.16, 0.48, -0.86): 1
380.57: (0.95, 0.06, 0.31)
380.67: (0.92, 0.20, 0.32)
380.79: (0.91, 0.34, 0.25)
380.89: (0.89, 0.44, 0.10)
381.01: (0.77, 0.63, -0.07)
381.12: (0.50, 0.83, -0.25)
381.22: (0.24, 0.91, -0.35)
381.34: (0.03, 0.90, -0.43)
381.44: (-0.10, 0.83, -0.54)
381.56: (-0.15, 0.66, -0.74)
381.67: (0.09, 0.59, -0.80)
381.79: (0.21, 0.52, -0.83)
381.86: (0.21, 0.51, -0.83)
381.86: (0.92, 0.20, -0.34): 2
381.89: (0.21, 0.51, -0.84)
382.01: (0.10, 0.55, -0.83)
382.12: (-0.12, 0.55, -0.82)
382.24: (-0.29, 0.49, -0.82)
382.36: (-0.57, 0.51, -0.65)
382.47: (-0.76, 0.47, -0.45)
382.57: (-0.82, 0.34, -0.45)
382.69: (-0.87, 0.09, -0.48)
382.81: (-0.88, -0.15, -0.46)
382.92: (-0.84, -0.37, -0.40)
383.04: (-0.76, -0.55, -0.34)
383.16: (-0.62, -0.71, -0.34)
383.26: (-0.46, -0.82, -0.33)
383.37: (-0.26, -0.93, -0.26)
383.47: (-0.11, -0.97, -0.22)
383.59: (-0.08, -0.66, -0.74)
383.71: (-0.33, -0.23, -0.92)
383.82: (-0.45, 0.47, -0.76)
383.94: (-0.19, 0.93, -0.30)
384.06: (0.10, 0.99, 0.05)
384.16: (0.33, 0.89, 0.31)
384.27: (0.48, 0.65, 0.59)
384.39: (0.55, 0.18, 0.82)
384.51: (0.52, -0.35, 0.78)
384.61: (0.45, -0.68, 0.57)
384.72: (0.42, -0.89, 0.19)
384.84: (0.46, -0.86, -0.22)
384.96: (0.38, -0.58, -0.72)
385.07: (0.16, -0.20, -0.97)
385.17: (-0.01, -0.05, -1.00)
385.29: (-0.25, -0.29, -0.93)
385.41: (-0.43, -0.69, -0.58)
385.51: (-0.45, -0.89, -0.08)
385.62: (-0.31, -0.80, 0.51)
385.72: (-0.16, -0.57, 0.81)
385.84: (0.09, -0.21, 0.97)
385.94: (0.34, 0.14, 0.93)
386.06: (0.66, 0.48, 0.58)
386.17: (0.84, 0.54, 0.09)
386.27: (0.90, 0.38, -0.22)
386.39: (0.92, 0.20, -0.35)
386.49: (0.94, 0.16, -0.29)
386.49: (0.37, -0.67, -0.64): 0
386.51: (0.94, 0.16, -0.29)
386.62: (0.94, 0.16, -0.29)
386.74: (0.93, 0.11, -0.34)
386.84: (0.93, 0.07, -0.37)
386.96: (0.92, 0.05, -0.39)
387.07: (0.70, -0.40, -0.58)
387.19: (0.05, -0.82, -0.58)
387.31: (-0.27, -0.88, -0.38)
387.42: (0.02, -0.86, -0.51)
387.52: (0.17, -0.81, -0.56)
387.64: (0.22, -0.77, -0.60)
387.76: (0.32, -0.70, -0.64)
387.77: (0.33, -0.70, -0.64)
387.77: (-0.37, -0.13, 0.92): 0
387.86: (0.26, -0.73, -0.64)
387.97: (-0.07, -0.85, -0.52)
388.09: (-0.22, -0.88, -0.43)
388.19: (-0.37, -0.87, -0.32)
388.31: (-0.46, -0.86, -0.22)
388.42: (-0.57, -0.82, -0.01)
388.54: (-0.69, -0.67, 0.28)
388.66: (-0.74, -0.33, 0.58)
388.77: (-0.62, -0.11, 0.78)
388.87: (-0.41, -0.09, 0.91)
388.99: (-0.30, -0.17, 0.94)
389.02: (-0.30, -0.17, 0.94)
389.02: (-0.37, 0.88, -0.30): 2
389.11: (-0.31, -0.15, 0.94)
389.21: (-0.33, -0.05, 0.94)
389.32: (-0.37, 0.16, 0.91)
389.42: (-0.34, 0.19, 0.92)
389.52: (-0.20, 0.34, 0.92)
389.64: (-0.04, 0.61, 0.79)
389.76: (0.03, 0.77, 0.64)
389.87: (0.30, 0.81, 0.50)
389.99: (0.72, 0.60, 0.34)
390.11: (0.92, 0.32, 0.23)
390.21: (0.96, 0.27, 0.12)
390.32: (0.97, 0.23, -0.09)
390.44: (0.95, 0.04, -0.31)
390.56: (0.84, -0.19, -0.50)
390.67: (0.80, -0.17, -0.58)
390.77: (0.83, 0.29, -0.48)
390.89: (0.63, 0.75, -0.20)
391.01: (0.40, 0.91, 0.08)
391.11: (0.06, 0.95, 0.32)
391.22: (-0.31, 0.85, 0.42)
391.34: (-0.27, 0.84, 0.48)
391.46: (-0.23, 0.82, 0.52)
391.56: (-0.16, 0.86, 0.49)
391.67: (-0.26, 0.96, 0.14)
391.77: (-0.25, 0.97, 0.00)
391.89: (-0.29, 0.95, -0.11)
391.99: (-0.38, 0.89, -0.26)
392.02: (-0.39, 0.88, -0.27)
392.02: (0.53, -0.13, -0.84): 1
392.11: (-0.39, 0.88, -0.28)
392.22: (-0.33, 0.88, -0.36)
392.34: (-0.20, 0.88, -0.43)
392.46: (-0.08, 0.88, -0.47)
392.57: (0.14, 0.88, -0.44)
392.69: (0.51, 0.86, -0.07)
392.81: (0.78, 0.61, 0.13)
392.92: (0.95, 0.25, 0.20)
393.04: (0.93, -0.13, 0.35)
393.15: (0.83, -0.36, 0.43)
393.27: (0.68, -0.57, 0.47)
393.37: (0.50, -0.67, 0.54)
393.49: (0.39, -0.59, 0.71)
393.59: (0.43, -0.16, 0.89)
393.70: (0.31, 0.40, 0.86)
393.80: (0.08, 0.76, 0.64)
393.92: (-0.17, 0.94, 0.29)
394.04: (-0.34, 0.94, -0.02)
394.15: (-0.54, 0.78, -0.32)
394.25: (-0.64, 0.58, -0.50)
394.37: (-0.49, 0.59, -0.65)
394.47: (-0.02, 0.69, -0.72)
394.59: (0.43, 0.67, -0.60)
394.70: (0.82, 0.47, -0.33)
394.82: (0.97, 0.24, -0.07)
394.92: (0.97, 0.16, 0.17)
395.04: (0.84, 0.12, 0.52)
395.15: (0.63, 0.09, 0.77)
395.27: (0.41, -0.22, 0.89)
395.39: (0.19, -0.25, 0.95)
395.50: (-0.11, -0.13, 0.98)
395.62: (-0.47, -0.01, 0.88)
395.72: (-0.75, -0.10, 0.66)
395.84: (-0.89, -0.06, 0.44)
395.95: (-0.96, 0.18, 0.23)
396.05: (-0.97, 0.22, -0.10)
396.15: (-0.88, 0.32, -0.35)
396.27: (-0.69, 0.30, -0.65)
396.39: (-0.39, 0.39, -0.83)
396.50: (-0.18, 0.34, -0.92)
396.60: (-0.40, 0.06, -0.91)
396.72: (-0.81, -0.25, -0.53)
396.84: (-0.88, -0.29, -0.37)
396.95: (-0.51, -0.35, -0.79)
397.05: (-0.10, -0.25, -0.96)
397.17: (-0.02, -0.12, -0.99)
397.29: (-0.02, -0.12, -0.99)
397.39: (-0.02, -0.12, -0.99)
397.50: (0.30, -0.23, -0.93)
397.60: (0.46, -0.21, -0.86)
397.72: (0.48, -0.19, -0.86)
397.74: (0.48, -0.19, -0.86)
397.74: (0.80, 0.60, 0.06): 2
397.84: (0.48, -0.19, -0.85)
397.94: (0.51, -0.23, -0.83)
398.05: (0.60, -0.40, -0.69)
398.17: (0.54, -0.39, -0.74)
398.29: (0.50, -0.34, -0.79)
398.40: (0.50, -0.34, -0.79)
398.50: (0.50, -0.34, -0.79)
398.60: (0.50, -0.34, -0.79)
398.72: (0.43, -0.25, -0.87)
398.82: (0.37, 0.11, -0.92)
398.94: (0.21, 0.59, -0.78)
399.05: (0.13, 0.89, -0.43)
399.15: (-0.09, 1.00, -0.03)
399.27: (-0.28, 0.94, 0.18)
399.39: (-0.43, 0.77, 0.46)
399.49: (-0.26, 0.71, 0.65)
399.60: (0.44, 0.84, 0.32)
399.72: (0.73, 0.66, 0.17)
399.84: (0.76, 0.63, 0.16)
399.89: (0.76, 0.63, 0.16)
399.89: (-1.00, 0.03, 0.06): 1
399.94: (0.76, 0.63, 0.16)
400.05: (0.77, 0.63, 0.09)
400.15: (0.87, 0.45, -0.20)
400.25: (0.88, 0.31, -0.36)
