3/28/2023 1:57:54 PM
Mode: Stereo
White time (s): [1.782837, 1.050049, 0.8665771, 0.5831299, 0.9830322, 0.6999512, 2.81604, 0.5333252, 0.5996094, 1.41626, 1.349854, 1.899292, 0.7337646, 1.016479, 1.516479, 0.9831543, 1.383545, 2.365845, 1.149658, 2.366455, 2.199829, 1.349487, 2.283081, 1.133057, 1.499756, 0.6330566, 1.099731, 2.299438, 0.7332764, 0.5333252]
Shot time (s): [1.099731, 0.6499023, 1.150024, 2.666016, 1.349731, 0.916748, 1.016235, 1.399902, 2.549194, 1.799927, 2.432983, 1.216309, 1.082886, 2.599731, 5.015625, 1.416382, 5.832031, 2.348999, 1.899536, 2.333008, 0.7832031, 1.183105, 3.81604, 2.832764, 2.966064, 1.683594, 2.549561, 1.249756, 2.749512, 3.766113]
Step time (s): [0.9499512, 1.683105, 5.381714, 0.7333984, 1.049805, 0.7663574, 1.483032, 1.98291, 1.766357, 1.216675, 2.16626, 0.7664795, 0.6003418, 2.782593, 2.382813, 3.365967, 2.132813, 4.465698, 2.582764, 1.832764, 2.282837, 1.41626, 1.716431, 1.73291, 2.949219, 0.7327881, 0.8165283, 0.7995605, 2.099487, 2.149658]
White horz (deg): [229.7125, 154.3875, 88.20499, 33.005, 63.59499, 36.74249, 227.355, 3.047499, 34.2125, 139.2075, 115.69, 138.5749, 29.49749, 88.55001, 90.5625, 62.21499, 94.875, 234.715, 82.51249, 173.9375, 353.2798, 115.7475, 293.365, 63.42249, 176.64, 60.605, 140.1275, 324.8175, 39.9625, 6.957499]
Shot horz (deg): [206.3675, 38.0075, 128.5125, 278.3, 121.3825, 57.615, 59.1675, 125.465, 269.3874, 163.3, 271.285, 96.14, 48.58751, 181.6425, 586.9025, 151.225, 1047.477, 231.7825, 114.885, 164.8525, 20.5275, 49.96749, 430.2151, 189.635, 463.0473, 202.17, 281.1749, 164.105, 245.985, 172.27]
Step horz (deg): [67.61999, 269.7899, 807.8746, 11.155, 52.21, 33.2925, 79.57999, 174.915, 170.1425, 51.175, 88.83752, 51.86499, 12.075, 283.9349, 150.5925, 62.1, 72.68001, 310.0399, 266.4549, 62.27249, 127.765, 91.82748, 208.955, 181.125, 326.83, 52.49749, 44.10249, 20.5275, 170.66, 286.6375]
White vert (deg): [23.69, 39.96249, 37.605, 16.7325, 16.3875, 6.842498, 220.1674, 17.71, 16.9625, 34.2125, 66.12501, 107.065, 38.0075, 53.9925, 122.82, 36.0525, 60.14499, 207.6325, 61.2375, 366.1026, 261.5675, 36.11, 291.41, 76.24499, 50.19749, 26.91, 87.05499, 165.945, 47.265, 26.105]
Shot vert (deg): [21.6775, 29.67, 71.18499, 187.45, 74.6925, 40.82499, 27.37, 64.975, 203.0325, 86.76749, 141.565, 38.295, 62.32999, 100.97, 560.165, 61.75499, 667.3447, 162.8975, 116.4375, 65.55001, 51.92249, 52.1525, 535.67, 353.7401, 255.7599, 100.7975, 159.7925, 78.77499, 205.9649, 476.0424]
Step vert (deg): [84.06501, 71.75999, 499.5023, 17.4225, 53.7625, 47.43749, 84.87001, 184.345, 61.92749, 51.34749, 158.815, 41.745, 20.815, 189.4625, 272.7799, 307.05, 234.5425, 369.84, 244.835, 224.9399, 219.7075, 154.2725, 211.255, 181.47, 245.18, 26.91, 33.98249, 36.8575, 166.3475, 215.9125]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
1336.64: (0.10, -0.99, 0.03): 2
1336.64: (0.79, -0.39, -0.48)
1336.74: (0.79, -0.39, -0.48)
1336.84: (0.79, -0.39, -0.48)
1336.96: (0.83, -0.50, -0.25)
1337.07: (0.59, -0.75, 0.30)
1337.19: (0.30, -0.75, 0.58)
1337.31: (0.24, -0.77, 0.60)
1337.42: (0.21, -0.93, 0.29)
1337.54: (0.10, -0.98, 0.19)
1337.59: (0.10, -0.98, 0.19)
1337.59: (-0.87, 0.45, -0.19): 0
1337.65: (0.10, -0.98, 0.19)
1337.77: (0.10, -0.98, 0.19)
1337.89: (0.13, -0.98, 0.13)
1337.99: (0.14, -0.98, 0.13)
1338.10: (0.14, -0.98, 0.13)
1338.22: (0.68, -0.73, 0.07)
1338.34: (1.00, 0.05, 0.03)
1338.45: (0.63, 0.78, 0.01)
1338.57: (0.01, 1.00, 0.00)
1338.69: (-0.15, 0.99, -0.02)
1338.80: (-0.23, 0.97, 0.02)
1338.92: (-0.23, 0.97, 0.02)
1339.04: (-0.23, 0.97, 0.02)
1339.15: (-0.47, 0.88, -0.05)
1339.27: (-0.77, 0.63, -0.11)
1339.37: (-0.80, 0.58, -0.12)
1339.37: (0.93, 0.35, -0.09): 1
1339.39: (-0.81, 0.58, -0.12)
1339.50: (-0.82, 0.57, -0.11)
1339.62: (-0.81, 0.57, -0.11)
1339.74: (-0.82, 0.57, -0.01)
1339.85: (-0.39, 0.92, 0.08)
1339.97: (0.38, 0.92, 0.07)
1340.09: (0.94, 0.35, 0.04)
1340.19: (0.96, -0.28, -0.05)
1340.29: (0.94, -0.34, -0.07)
1340.40: (0.99, 0.08, -0.06)
1340.47: (0.97, 0.25, -0.07)
1340.47: (0.93, -0.34, 0.15): 1
1340.52: (0.97, 0.25, -0.07)
1340.64: (0.97, 0.25, -0.07)
1340.75: (0.99, 0.17, -0.01)
1340.87: (0.95, -0.24, 0.21)
1340.99: (0.89, -0.38, 0.24)
1341.10: (0.94, -0.30, 0.14)
1341.12: (0.94, -0.30, 0.14)
1341.12: (-0.29, 0.95, 0.08): 2
1341.22: (0.94, -0.30, 0.14)
1341.34: (0.94, -0.31, 0.15)
1341.45: (0.94, -0.31, 0.16)
1341.57: (0.69, -0.67, 0.27)
1341.69: (0.08, -0.98, 0.19)
1341.80: (-0.16, -0.97, 0.16)
1341.92: (-0.05, -0.93, 0.37)
1342.04: (0.61, -0.62, 0.50)
1342.14: (0.91, 0.10, 0.41)
1342.25: (0.52, 0.86, 0.02)
1342.37: (0.30, 0.94, -0.14)
1342.47: (0.22, 0.96, -0.16)
1342.59: (0.01, 0.99, -0.12)
1342.70: (-0.18, 0.98, 0.00)
1342.80: (-0.19, 0.98, 0.01)
1342.80: (0.86, 0.02, 0.51): 1
1342.82: (-0.20, 0.98, 0.00)
1342.94: (-0.23, 0.97, 0.00)
1343.05: (-0.17, 0.98, -0.01)
1343.17: (-0.06, 0.98, -0.19)
1343.29: (0.13, 0.91, -0.40)
1343.40: (0.50, 0.78, -0.37)
1343.52: (0.93, 0.37, 0.01)
1343.64: (0.94, -0.09, 0.34)
1343.74: (0.84, -0.28, 0.47)
1343.85: (0.86, -0.10, 0.50)
1343.95: (0.86, -0.01, 0.50)
1343.95: (-1.00, -0.01, -0.01): 0
1343.95: (0.86, -0.01, 0.50)
1344.07: (0.86, -0.01, 0.50)
1344.19: (0.84, -0.05, 0.55)
