500.85: (0.57, 0.52, -0.64)
500.97: (0.74, -0.15, -0.66)
501.07: (0.61, -0.67, -0.42)
501.17: (0.43, -0.89, -0.15)
501.29: (0.27, -0.96, 0.00)
501.40: (0.08, -0.98, 0.20)
501.50: (-0.14, -0.95, 0.29)
501.62: (-0.33, -0.95, 0.02)
501.74: (-0.38, -0.89, -0.25)
501.85: (-0.38, -0.82, -0.43)
501.97: (-0.34, -0.76, -0.55)
502.09: (-0.19, -0.64, -0.74)
502.20: (0.05, -0.43, -0.90)
502.32: (-0.17, -0.37, -0.91)
502.42: (-0.71, -0.43, -0.56)
502.54: (-0.86, -0.32, -0.40)
502.65: (-0.84, -0.31, -0.44)
502.77: (-0.92, -0.31, -0.23)
502.89: (-0.95, -0.30, -0.13)
503.00: (-0.96, -0.28, 0.03)
503.12: (-0.96, -0.29, 0.00)
503.24: (-0.82, -0.32, -0.47)
503.34: (-0.51, -0.31, -0.80)
503.45: (0.06, -0.30, -0.95)
503.57: (0.46, -0.19, -0.86)
503.69: (0.64, -0.15, -0.75)
503.79: (0.76, -0.16, -0.63)
503.90: (0.95, -0.03, -0.30)
504.02: (0.99, 0.12, 0.12)
504.14: (0.95, 0.17, 0.27)
504.24: (0.95, 0.17, 0.27)
504.35: (0.96, 0.15, 0.24)
504.47: (0.94, 0.12, 0.33)
504.55: (0.93, 0.12, 0.33)
504.55: (-0.98, -0.08, -0.19): 2
504.57: (0.93, 0.12, 0.33)
504.69: (0.94, 0.13, 0.33)
504.80: (0.93, 0.14, 0.33)
504.90: (0.93, 0.14, 0.34)
505.02: (0.93, 0.15, 0.34)
505.14: (0.93, 0.32, 0.18)
505.25: (0.92, 0.38, 0.10)
505.37: (0.92, 0.38, 0.11)
505.47: (0.92, 0.38, 0.11)
505.59: (0.93, 0.33, 0.18)
505.70: (0.92, 0.21, 0.32)
505.82: (0.89, 0.18, 0.41)
505.92: (0.76, 0.25, 0.60)
506.04: (0.76, 0.23, 0.61)
506.15: (0.78, 0.24, 0.58)
506.27: (0.68, 0.28, 0.68)
506.39: (0.15, 0.39, 0.91)
506.49: (-0.28, 0.44, 0.85)
506.60: (-0.64, 0.43, 0.64)
506.72: (-0.85, 0.34, 0.41)
506.82: (-0.90, 0.28, 0.33)
506.94: (-0.96, 0.15, 0.22)
507.04: (-0.96, 0.15, 0.22)
507.15: (-0.96, 0.18, 0.23)
507.27: (-0.99, -0.02, -0.13)
507.39: (-0.99, -0.01, -0.17)
507.50: (-0.99, 0.03, -0.12)
507.50: (-0.42, -0.38, 0.82): 0
507.50: (-0.99, 0.03, -0.12)
507.60: (-0.99, 0.03, -0.12)
507.70: (-0.99, 0.03, -0.12)
507.82: (-0.99, 0.03, -0.12)
507.94: (-0.99, 0.03, -0.12)
508.05: (-0.92, 0.22, 0.31)
508.15: (-0.54, 0.39, 0.74)
508.27: (-0.32, 0.44, 0.84)
508.39: (-0.35, 0.44, 0.83)
508.50: (-0.13, 0.46, 0.88)
508.62: (0.53, 0.38, 0.76)
508.74: (0.78, 0.28, 0.56)
508.85: (0.87, 0.20, 0.45)
508.95: (0.97, 0.06, 0.23)
509.07: (0.99, 0.02, 0.13)
509.19: (0.99, 0.04, 0.15)
509.30: (0.98, 0.13, 0.17)
509.40: (0.86, 0.49, 0.15)
509.52: (0.67, 0.74, 0.07)
509.62: (0.51, 0.86, -0.01)
509.74: (0.42, 0.91, -0.03)
509.85: (0.63, 0.71, 0.31)
509.95: (0.73, 0.39, 0.57)
510.07: (0.74, 0.10, 0.66)
510.19: (0.75, -0.08, 0.66)
510.29: (0.75, -0.29, 0.59)
510.40: (0.68, -0.62, 0.40)
510.50: (0.62, -0.68, 0.39)
510.62: (0.77, -0.38, 0.52)
510.74: (0.48, -0.12, 0.87)
510.84: (0.09, 0.10, 0.99)
510.95: (-0.32, 0.20, 0.92)
511.07: (-0.49, 0.20, 0.85)
511.19: (-0.52, -0.14, 0.84)
511.29: (-0.49, -0.26, 0.83)
511.40: (-0.48, -0.27, 0.84)
511.40: (-0.86, 0.45, 0.24): 2
511.40: (-0.48, -0.27, 0.84)
511.52: (-0.47, -0.28, 0.83)
511.62: (-0.49, -0.30, 0.82)
511.74: (-0.49, -0.30, 0.82)
511.85: (-0.66, -0.26, 0.70)
511.95: (-0.71, -0.21, 0.68)
512.07: (-0.65, -0.17, 0.74)
512.19: (-0.64, -0.16, 0.75)
512.29: (-0.72, -0.08, 0.69)
512.40: (-0.90, 0.18, 0.39)
512.52: (-0.91, 0.28, 0.30)
512.64: (-0.89, 0.35, 0.28)
512.67: (-0.89, 0.37, 0.27)
512.67: (-0.28, 0.96, -0.03): 1
512.74: (-0.89, 0.37, 0.27)
512.85: (-0.92, 0.36, 0.12)
512.97: (-0.93, 0.34, 0.14)
513.07: (-0.93, 0.32, 0.16)
513.18: (-0.93, 0.32, 0.17)
513.30: (-0.92, 0.34, 0.18)
513.40: (-0.72, 0.31, 0.63)
513.52: (-0.14, 0.25, 0.96)
513.62: (-0.13, 0.25, 0.96)
513.73: (-0.16, 0.27, 0.95)
513.85: (-0.18, 0.30, 0.94)
513.95: (-0.12, 0.32, 0.94)
514.07: (-0.17, 0.35, 0.92)
514.18: (-0.28, 0.46, 0.84)
514.30: (-0.21, 0.67, 0.71)
514.42: (-0.22, 0.69, 0.69)
514.53: (-0.22, 0.69, 0.69)
514.65: (-0.39, 0.77, 0.50)
514.77: (-0.47, 0.84, 0.27)
514.88: (-0.41, 0.89, 0.20)
514.98: (-0.34, 0.94, 0.07)
515.03: (-0.33, 0.94, 0.04)
515.03: (0.87, -0.47, -0.16): 0
515.10: (-0.33, 0.94, 0.03)
515.22: (-0.32, 0.95, -0.01)
515.33: (-0.35, 0.94, 0.00)
515.43: (-0.35, 0.94, 0.00)
515.53: (-0.35, 0.94, 0.00)
515.65: (-0.32, 0.95, 0.06)
515.77: (-0.07, 0.84, 0.54)
515.88: (0.31, 0.45, 0.84)
515.98: (0.51, 0.16, 0.85)
516.10: (0.62, -0.08, 0.78)
516.22: (0.61, -0.07, 0.79)
516.33: (0.59, -0.01, 0.81)
516.45: (0.79, -0.34, 0.51)
516.55: (0.81, -0.58, 0.10)
516.65: (0.73, -0.68, -0.01)
516.77: (0.82, -0.57, -0.05)
516.87: (0.86, -0.50, -0.06)
516.90: (0.87, -0.49, -0.07)
516.90: (-0.22, 0.90, -0.37): 2
516.98: (0.87, -0.49, -0.07)
517.10: (0.87, -0.49, -0.07)
517.22: (0.87, -0.49, -0.07)
517.32: (0.87, -0.49, -0.07)
517.43: (0.87, -0.50, -0.07)
517.55: (0.86, -0.50, -0.07)
517.67: (0.88, -0.47, -0.01)
517.78: (0.90, -0.05, 0.43)
517.90: (0.49, 0.50, 0.71)
518.02: (0.20, 0.67, 0.72)
