3/28/2023 1:40:46 PM
Mode: Stereo
White time (s): [1.565918, 1.699646, 3.716339, 1.433258, 1.183044, 2.166412, 4.849274, 3.682678, 1.599365, 1.283112, 3.165802, 0.9664612, 1.383087, 3.066223, 1.899475, 1.532928, 1.133057, 1.832947, 1.382874, 4.932281, 4.348785, 6.498901, 1.466187, 1.332886, 1.182983, 0.6668396, 3.265839, 1.63266, 3.749207, 1.716614]
Shot time (s): [0.9334717, 1.650146, 1.815857, 4.115753, 3.365814, 4.049225, 1.399994, 0.5832214, 1.566345, 3.499512, 3.432098, 1.699524, 1.61615, 3.049316, 0.5499878, 6.06543, 1.749847, 1.733032, 1.333069, 1.449585, 0.6832275, 0.6165466, 5.049286, 1.799835, 4.748779, 2.05011, 1.466309, 1.599823, 1.78299, 1.865906]
Step time (s): [3.698853, 1.64978, 3.215851, 0.7331543, 1.766296, 2.699432, 2.066437, 0.7666016, 1.616455, 1.266754, 0.6500854, 1.416382, 4.899078, 0.5497742, 1.91626, 3.766052, 2.066589, 2.432953, 1.583008, 2.099701, 1.583069, 1.499664, 3.682678, 2.532593, 1.866333, 1.782776, 4.699219, 1.882904, 0.5334778, 2.232666]
White horz (deg): [74.19502, 152.2376, 338.3422, 157.2726, 94.9525, 229.8525, 267.0923, 320.2924, 136.8475, 109.3925, 257.1651, 58.0925, 113.62, 231.9425, 151.2875, 133.9025, 76.8075, 185.5825, 129.01, 401.8974, 475.3324, 564.9648, 130.055, 111.6725, 95.57, 5.3675, 269.135, 191.9475, 385.0824, 169.8125]
Shot horz (deg): [8.597499, 125.9225, 104.7375, 229.8526, 287.8976, 417.0974, 112.5275, 11.115, 187.2925, 393.1573, 315.02, 183.8725, 136.1825, 254.3625, 4.465, 650.1796, 166.63, 183.825, 103.93, 100.415, 31.3975, 2.565, 532.6173, 177.0325, 402.325, 215.8875, 123.5, 155.0875, 191.6625, 189.525]
Step horz (deg): [353.2574, 132.6201, 260.3475, 7.2675, 141.0275, 235.7426, 186.1051, 35.72, 110.295, 59.70749, 34.0575, 88.25499, 500.4125, 23.4175, 171.1425, 284.05, 234.1751, 190.9975, 123.88, 145.065, 95.52251, 99.65499, 399.5699, 218.595, 183.9675, 131.5275, 435.8124, 146.3, 10.45, 218.2625]
White vert (deg): [48.82999, 49.35249, 192.2325, 20.425, 20.3775, 89.4425, 397.3849, 232.7975, 38.42751, 28.1675, 154.1375, 35.1025, 38.2375, 273.03, 72.77, 40.8025, 10.3075, 61.75, 38.665, 270.9401, 261.82, 519.2222, 39.33, 32.7275, 15.105, 35.53, 287.66, 67.78251, 240.2076, 24.415]
Shot vert (deg): [36.5275, 45.03, 39.33, 397.3375, 250.135, 224.1051, 35.2925, 11.97, 28.07249, 317.1575, 276.4499, 65.54999, 48.4025, 187.8625, 25.555, 403.3224, 38.14249, 51.3, 34.4375, 26.7425, 11.97, 7.22, 216.0301, 57.2375, 379.1926, 110.865, 43.13, 35.4825, 37.57249, 24.9375]
Step vert (deg): [76.57003, 59.4225, 108.49, 38.5225, 45.695, 180.0725, 72.2, 35.0075, 22.04, 26.41, 6.2225, 18.90499, 290.4625, 16.2925, 33.0125, 251.37, 73.34001, 25.22249, 24.89, 28.88, 15.96, 8.36, 229.14, 148.4376, 75.81001, 56.4775, 271.4151, 15.5325, 21.7075, 59.66]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
268.52: (0.50, -0.35, 0.79): 1
268.52: (0.03, 0.01, 1.00)
268.63: (0.03, 0.01, 1.00)
268.73: (0.03, 0.01, 1.00)
268.83: (0.03, 0.01, 1.00)
268.95: (0.15, -0.02, 0.99)
269.07: (0.31, -0.12, 0.94)
269.18: (0.39, -0.23, 0.89)
269.30: (0.45, -0.27, 0.85)
269.40: (0.50, -0.33, 0.80)
269.45: (0.51, -0.34, 0.79)
269.45: (-0.57, -0.61, 0.55): 0
269.50: (0.51, -0.35, 0.79)
269.62: (0.50, -0.33, 0.80)
269.72: (0.49, -0.32, 0.81)
269.83: (0.46, -0.31, 0.83)
269.93: (0.43, -0.25, 0.87)
270.05: (0.45, -0.17, 0.88)
270.17: (0.24, -0.47, 0.85)
270.27: (0.18, -0.55, 0.81)
270.38: (0.18, -0.55, 0.81)
270.48: (0.13, -0.60, 0.79)
270.60: (-0.15, -0.71, 0.69)
270.72: (-0.40, -0.64, 0.65)
270.83: (-0.60, -0.48, 0.64)
270.95: (-0.65, -0.48, 0.59)
271.02: (-0.64, -0.50, 0.58)
271.02: (0.33, 0.86, 0.40): 1
271.05: (-0.64, -0.50, 0.58)
271.17: (-0.64, -0.50, 0.58)
271.27: (-0.64, -0.51, 0.58)
271.38: (-0.64, -0.51, 0.58)
271.50: (-0.54, -0.45, 0.71)
271.62: (-0.22, -0.23, 0.95)
271.73: (0.36, 0.23, 0.90)
271.85: (0.44, 0.30, 0.84)
271.97: (0.44, 0.30, 0.85)
272.08: (0.44, 0.25, 0.86)
272.20: (0.44, 0.52, 0.73)
272.30: (0.51, 0.70, 0.51)
272.42: (0.50, 0.72, 0.49)
272.53: (0.41, 0.82, 0.41)
272.65: (0.32, 0.87, 0.37)
272.67: (0.32, 0.87, 0.37)
272.67: (0.87, 0.37, -0.34): 1
272.75: (0.32, 0.87, 0.37)
272.85: (0.32, 0.87, 0.37)
272.97: (0.30, 0.87, 0.38)
273.08: (0.29, 0.87, 0.40)
273.20: (0.30, 0.86, 0.40)
273.32: (0.31, 0.86, 0.40)
273.43: (0.31, 0.86, 0.40)
273.55: (0.33, 0.88, 0.35)
273.67: (0.40, 0.91, 0.06)
273.78: (0.47, 0.71, -0.52)
273.90: (0.47, 0.60, -0.65)
274.02: (0.56, 0.72, -0.41)
274.13: (0.69, 0.66, -0.29)
274.23: (0.74, 0.57, -0.36)
274.35: (0.77, 0.47, -0.43)
274.47: (0.81, 0.45, -0.39)
274.48: (0.81, 0.44, -0.38)
274.48: (-0.92, 0.15, 0.36): 0
274.58: (0.81, 0.44, -0.38)
274.68: (0.81, 0.43, -0.39)
274.78: (0.81, 0.43, -0.39)
274.90: (0.81, 0.44, -0.38)
275.02: (0.78, 0.59, -0.20)
275.13: (0.50, 0.83, 0.25)
275.25: (0.15, 0.86, 0.48)
275.37: (-0.30, 0.61, 0.73)
275.48: (-0.52, 0.42, 0.74)
275.60: (-0.52, 0.42, 0.74)
275.70: (-0.53, 0.41, 0.74)
275.82: (-0.81, 0.17, 0.56)
275.93: (-0.85, 0.11, 0.51)
276.05: (-0.90, 0.11, 0.42)
276.17: (-0.92, 0.16, 0.35)
276.18: (-0.92, 0.16, 0.35)
276.18: (0.98, -0.02, -0.19): 0
276.27: (-0.92, 0.16, 0.35)
276.37: (-0.92, 0.17, 0.36)
276.48: (-0.91, 0.17, 0.37)
276.60: (-0.91, 0.18, 0.37)
