3/30/2023 3:54:25 PM
Mode: Mono
White time (s): [10.19794, 1.199341, 1.999695, 0.6664429, 0.8329468, 1.216492, 3.232727, 1.049805, 4.532593, 0.5995483, 1.716309, 2.649719, 2.76593, 1.99939, 3.599426, 0.4328613, 0.5, 3.316284, 0.3497314, 3.732544, 2.849121, 0.75, 3.049377, 0.866394, 0.750061, 1.566406, 3.016418, 1.582947, 1.749878, 1.732971]
Shot time (s): [1.133118, 2.999268, 1.966431, 3.516357, 5.132141, 1.266296, 3.516174, 0.9499512, 0.9329224, 2.216248, 2.066101, 0.5828247, 2.88269, 1.166443, 3.116089, 6.165649, 0.1832886, 1.666199, 4.015869, 1.916016, 2.949463, 2.115906, 1.300049, 0.866272, 1.616516, 2.24939, 2.166138, 0.8161011, 2.382813, 2.032898]
Step time (s): [9.914978, 0.5831909, 3.299683, 2.799072, 2.249573, 2.966431, 2.916077, 2.23291, 2.282715, 0.3999023, 2.332458, 2.999634, 0.7998657, 0.4833984, 1.450073, 1.199463, 0.8497925, 2.916321, 2.782959, 3.099609, 2.482666, 0.5999146, 1.200134, 3.282776, 1.183533, 2.69928, 3.415894, 0.5332031, 1.566589, 4.266113]
White horz (deg): [1163.939, 101.6024, 215.6024, 66.54745, 73.52994, 171.2849, 413.6771, 220.7324, 879.6517, 51.58496, 306.6598, 469.822, 549.0521, 179.2649, 637.6872, 29.63998, 31.34998, 403.9872, 17.66999, 525.2546, 481.2221, 42.74997, 551.4743, 66.68994, 68.25745, 187.1023, 406.4095, 190.9498, 231.5623, 315.0672]
Shot horz (deg): [71.67744, 224.1523, 142.9274, 603.2022, 761.6617, 222.8698, 512.8571, 85.21493, 149.1974, 321.6222, 323.9023, 20.51999, 585.6744, 98.60992, 326.0396, 1343.347, 6.839996, 373.6348, 702.0969, 333.1647, 437.7597, 252.7947, 220.4473, 72.81744, 221.0173, 258.3522, 363.0898, 53.72245, 269.4673, 299.2497]
Step horz (deg): [856.2817, 3.277498, 267.3298, 218.3098, 127.9649, 580.1169, 548.197, 266.3323, 289.9874, 6.839996, 344.9922, 470.1071, 73.38745, 51.44247, 254.7898, 232.7023, 124.2599, 213.4648, 328.3198, 613.0346, 413.8197, 91.62743, 132.5249, 452.5796, 130.1024, 588.5245, 482.2196, 19.66499, 217.3123, 575.6995]
White vert (deg): [834.6218, 152.6174, 123.1199, 63.83996, 70.53745, 84.64492, 386.1746, 66.68993, 672.4567, 70.82246, 171.7123, 326.4673, 359.8122, 251.6548, 619.7324, 39.89998, 23.93999, 329.7446, 21.23249, 393.5847, 473.5271, 69.68244, 430.3498, 64.69494, 80.36993, 238.1174, 329.7448, 158.3174, 189.5249, 169.1473]
Shot vert (deg): [34.48497, 90.6299, 71.24994, 424.0796, 590.5195, 136.5149, 366.6522, 116.5649, 185.2499, 306.8022, 266.1897, 67.82994, 414.2472, 175.9874, 415.8146, 1055.497, 3.134998, 159.7424, 552.4722, 97.61237, 210.0448, 188.9549, 92.62492, 61.41745, 130.6724, 174.8473, 158.3173, 111.4349, 93.62237, 186.5323]
Step vert (deg): [602.917, 16.10249, 90.48736, 196.3649, 108.4424, 303.6673, 330.4572, 234.1273, 147.0598, 20.80499, 232.4173, 506.4446, 65.26495, 22.37249, 139.7924, 154.7549, 59.13745, 229.7098, 211.6123, 398.1447, 203.9173, 31.06498, 121.9799, 461.8421, 48.16497, 394.7246, 248.9473, 13.82249, 68.68494, 473.3846]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
747.60: (0.33, 0.60, -0.73): 1
747.60: (0.67, -0.24, -0.70)
747.72: (0.67, -0.23, -0.70)
747.84: (0.60, -0.19, -0.78)
747.95: (0.40, 0.02, -0.92)
748.07: (0.20, 0.22, -0.96)
748.19: (0.02, 0.34, -0.94)
748.30: (-0.04, 0.37, -0.93)
748.42: (0.08, 0.43, -0.90)
748.52: (0.32, 0.55, -0.77)
748.64: (0.32, 0.54, -0.78)
748.74: (0.31, 0.55, -0.77)
748.74: (-0.99, -0.16, -0.01): 2
748.75: (0.31, 0.56, -0.77)
748.87: (0.31, 0.56, -0.77)
748.99: (0.31, 0.56, -0.77)
749.10: (0.32, 0.57, -0.75)
749.20: (0.33, 0.58, -0.75)
749.30: (0.34, 0.57, -0.75)
749.42: (0.44, 0.49, -0.76)
749.54: (0.44, 0.49, -0.76)
749.64: (0.36, 0.59, -0.72)
749.74: (0.09, 0.77, -0.63)
749.85: (-0.31, 0.83, -0.46)
749.95: (-0.55, 0.80, -0.26)
750.07: (-0.71, 0.70, 0.00)
750.19: (-0.76, 0.62, 0.17)
750.30: (-0.76, 0.62, 0.17)
750.42: (-0.76, 0.62, 0.17)
750.52: (-0.81, 0.53, 0.25)
750.64: (-0.82, 0.36, 0.44)
750.75: (-0.76, 0.21, 0.61)
750.87: (-0.66, 0.05, 0.75)
750.99: (-0.41, -0.41, 0.81)
751.10: (-0.17, -0.72, 0.68)
751.22: (-0.17, -0.73, 0.67)
751.34: (-0.18, -0.72, 0.67)
751.44: (-0.14, -0.89, 0.44)
751.55: (-0.07, -0.97, 0.23)
751.67: (0.07, -1.00, 0.00)
751.79: (0.04, -0.99, -0.10)
751.89: (0.04, -0.95, -0.30)
752.00: (-0.05, -0.88, -0.47)
752.12: (-0.02, -0.79, -0.61)
752.22: (0.06, -0.78, -0.62)
752.34: (0.06, -0.78, -0.62)
752.45: (0.06, -0.78, -0.62)
752.55: (0.14, -0.68, -0.72)
752.67: (0.26, -0.46, -0.85)
752.79: (0.37, -0.16, -0.91)
752.89: (0.36, -0.01, -0.93)
753.00: (0.42, 0.25, -0.87)
753.12: (0.49, 0.30, -0.82)
753.22: (0.49, 0.30, -0.82)
753.34: (0.46, 0.30, -0.84)
753.45: (0.56, 0.50, -0.67)
753.55: (0.66, 0.62, -0.43)
753.65: (0.71, 0.70, -0.11)
753.77: (0.70, 0.68, 0.23)
753.89: (0.66, 0.51, 0.54)
754.00: (0.61, 0.23, 0.76)
754.12: (0.63, -0.17, 0.76)
754.24: (0.69, -0.51, 0.51)
754.34: (0.70, -0.67, 0.22)
754.45: (0.67, -0.74, 0.01)
754.57: (0.59, -0.79, -0.13)
754.67: (0.55, -0.82, -0.17)
754.79: (0.81, -0.59, 0.04)
754.90: (0.79, 0.03, 0.62)
755.02: (0.39, 0.50, 0.77)
755.14: (0.19, 0.69, 0.70)
755.25: (0.04, 0.88, 0.48)
755.35: (-0.23, 0.95, 0.20)
755.47: (-0.40, 0.91, -0.04)
755.57: (-0.46, 0.86, -0.23)
755.69: (-0.43, 0.79, -0.45)
755.80: (-0.36, 0.69, -0.63)
755.92: (-0.15, 0.59, -0.79)
756.04: (0.11, 0.37, -0.92)
756.15: (0.38, -0.01, -0.92)
756.27: (0.54, -0.22, -0.81)
756.37: (0.66, -0.37, -0.66)
756.49: (0.78, -0.46, -0.44)
756.60: (0.87, -0.48, -0.10)
756.72: (0.89, -0.41, 0.17)
756.84: (0.90, -0.32, 0.29)
756.94: (0.90, -0.18, 0.41)
757.05: (0.87, 0.06, 0.49)
757.17: (0.77, 0.30, 0.56)
757.29: (0.68, 0.39, 0.63)
757.40: (0.56, 0.46, 0.69)
757.52: (0.36, 0.53, 0.77)
757.64: (0.03, 0.47, 0.88)
757.74: (-0.44, 0.25, 0.86)
757.85: (-0.72, -0.03, 0.70)
757.97: (-0.85, -0.21, 0.48)
758.09: (-0.85, -0.21, 0.48)
758.20: (-0.84, -0.21, 0.50)
758.32: (-0.94, -0.18, 0.29)
758.44: (-0.97, -0.17, 0.14)
758.55: (-0.98, -0.16, 0.13)
758.65: (-0.98, -0.16, 0.09)
758.65: (-1.00, 0.03, 0.01): 2
758.65: (-0.98, -0.16, 0.09)
758.77: (-0.99, -0.15, 0.08)
758.89: (-0.99, -0.14, 0.08)
759.00: (-0.99, -0.14, 0.08)
759.10: (-1.00, -0.01, 0.03)
759.20: (-0.99, 0.10, 0.00)
759.24: (-1.00, 0.10, 0.00)
759.24: (0.29, 0.84, 0.46): 2
759.30: (-1.00, 0.10, 0.00)
759.42: (-0.99, 0.11, 0.00)
759.54: (-0.99, 0.11, 0.00)
759.65: (-1.00, 0.10, 0.00)
759.77: (-1.00, 0.08, 0.01)
759.89: (-0.94, -0.27, -0.22)
760.00: (-0.47, -0.67, -0.58)
760.12: (-0.31, -0.65, -0.70)
760.24: (-0.31, -0.65, -0.70)
760.35: (-0.31, -0.66, -0.69)
760.45: (0.15, -0.61, -0.78)
760.57: (0.52, -0.45, -0.73)
760.69: (0.64, -0.36, -0.68)
760.80: (0.55, -0.39, -0.74)
760.92: (0.55, -0.39, -0.74)
761.04: (0.61, -0.36, -0.71)
761.14: (0.91, 0.04, -0.42)
761.24: (0.92, 0.37, -0.14)
761.35: (0.88, 0.47, -0.11)
761.45: (0.88, 0.46, -0.11)
761.57: (0.87, 0.48, -0.10)
761.67: (0.71, 0.71, 0.04)
761.79: (0.54, 0.80, 0.28)
761.90: (0.54, 0.78, 0.31)
762.02: (0.45, 0.85, 0.29)
762.14: (0.30, 0.91, 0.27)
762.25: (0.28, 0.90, 0.33)
762.37: (0.37, 0.83, 0.41)
762.49: (0.38, 0.83, 0.41)
762.54: (0.38, 0.82, 0.43)
762.54: (0.50, -0.02, -0.87): 2
762.60: (0.39, 0.81, 0.43)
762.72: (0.38, 0.82, 0.43)
762.84: (0.38, 0.82, 0.43)
762.95: (0.38, 0.82, 0.43)
763.07: (0.38, 0.82, 0.43)
763.19: (0.38, 0.82, 0.43)
763.30: (0.22, 0.92, 0.31)
763.40: (-0.04, 0.99, 0.11)
763.50: (-0.30, 0.94, -0.14)
763.62: (-0.46, 0.85, -0.25)
763.74: (-0.44, 0.85, -0.29)
763.85: (-0.44, 0.85, -0.29)
763.97: (-0.53, 0.72, -0.44)
764.09: (-0.58, 0.00, -0.81)
764.20: (-0.50, -0.08, -0.86)
764.32: (-0.53, 0.01, -0.85)
764.42: (-0.38, 0.03, -0.92)
764.52: (0.17, 0.18, -0.97)
764.63: (0.81, 0.31, -0.49)
764.75: (0.94, 0.25, -0.25)
764.85: (0.77, 0.17, -0.61)
764.95: (0.41, 0.08, -0.91)
765.07: (0.20, 0.07, -0.98)
765.18: (0.41, 0.02, -0.91)
765.28: (0.52, -0.08, -0.85)
765.33: (0.52, -0.08, -0.85)
765.33: (-0.99, 0.16, 0.01): 2
765.38: (0.52, -0.07, -0.85)
765.50: (0.51, -0.09, -0.85)
765.62: (0.50, -0.04, -0.86)
765.72: (0.48, -0.04, -0.88)
765.83: (0.42, -0.02, -0.91)
765.95: (0.46, 0.22, -0.86)
766.05: (0.10, 0.69, -0.72)
766.15: (-0.17, 0.63, -0.76)
766.27: (-0.17, 0.63, -0.76)
766.38: (-0.17, 0.62, -0.76)
766.50: (-0.21, 0.66, -0.72)
766.62: (-0.70, 0.61, -0.36)
766.73: (-0.83, 0.46, -0.33)
766.85: (-0.83, 0.46, -0.33)
766.95: (-0.83, 0.46, -0.33)
767.07: (-0.96, 0.28, -0.01)
767.18: (-0.99, 0.13, 0.11)
767.28: (-0.99, 0.14, 0.08)
767.40: (-0.99, 0.16, 0.02)
767.52: (-0.98, 0.18, -0.06)
767.58: (-0.98, 0.19, -0.07)
767.58: (0.99, -0.02, 0.10): 1
767.63: (-0.98, 0.19, -0.07)
767.73: (-0.98, 0.19, -0.08)
767.83: (-0.98, 0.19, -0.08)
767.95: (-0.98, 0.17, -0.06)
768.07: (-0.99, 0.17, -0.04)
768.18: (-0.99, 0.16, 0.02)
768.30: (-0.97, -0.13, 0.18)
768.42: (-0.78, -0.55, 0.30)
768.52: (-0.67, -0.69, 0.30)
768.62: (-0.66, -0.71, 0.23)
768.73: (-0.66, -0.71, 0.23)
768.83: (-0.65, -0.72, 0.24)
768.95: (-0.21, -0.88, 0.42)
769.07: (0.23, -0.90, 0.38)
