155.99: (0.00, -0.15, 0.99)
156.11: (0.13, -0.22, 0.97)
156.22: (0.14, -0.20, 0.97)
156.34: (0.10, -0.18, 0.98)
156.46: (0.16, -0.35, 0.92)
156.57: (0.22, -0.48, 0.85)
156.69: (0.24, -0.50, 0.83)
156.79: (0.25, -0.51, 0.82)
156.84: (0.25, -0.51, 0.82)
156.84: (-0.99, -0.04, 0.13): 1
156.91: (0.25, -0.51, 0.82)
157.02: (0.25, -0.51, 0.82)
157.14: (0.25, -0.51, 0.82)
157.24: (0.25, -0.51, 0.82)
157.36: (0.25, -0.44, 0.86)
157.47: (0.23, -0.35, 0.91)
157.59: (0.22, -0.34, 0.91)
157.71: (0.19, -0.22, 0.96)
157.82: (0.15, -0.05, 0.99)
157.94: (0.07, 0.13, 0.99)
158.06: (0.01, 0.25, 0.97)
158.16: (-0.05, 0.39, 0.92)
158.27: (-0.14, 0.56, 0.82)
158.39: (-0.19, 0.62, 0.76)
158.51: (-0.25, 0.72, 0.65)
158.61: (-0.29, 0.79, 0.54)
158.71: (-0.32, 0.84, 0.44)
158.81: (-0.35, 0.87, 0.36)
158.92: (-0.38, 0.91, 0.15)
159.04: (-0.42, 0.90, -0.06)
159.16: (-0.43, 0.89, -0.17)
159.26: (-0.41, 0.86, -0.31)
159.37: (-0.40, 0.82, -0.41)
159.47: (-0.40, 0.82, -0.41)
159.59: (-0.37, 0.82, -0.44)
159.71: (-0.24, 0.90, -0.35)
159.82: (-0.22, 0.96, -0.15)
159.94: (-0.46, 0.82, 0.35)
160.05: (-0.28, 0.82, 0.49)
160.16: (-0.06, 0.89, 0.45)
160.27: (0.14, 0.92, 0.36)
160.39: (0.28, 0.89, 0.37)
160.50: (0.43, 0.84, 0.34)
160.62: (0.62, 0.73, 0.28)
160.74: (0.64, 0.69, 0.33)
160.84: (0.16, 0.87, 0.46)
160.95: (-0.27, 0.83, 0.49)
161.06: (-0.39, 0.78, 0.49)
161.17: (-0.49, 0.73, 0.48)
161.29: (-0.74, 0.55, 0.39)
161.41: (-0.92, 0.31, 0.24)
161.52: (-0.99, 0.07, 0.14)
161.64: (-0.98, -0.18, 0.05)
161.75: (-0.99, -0.05, 0.11)
161.87: (-0.98, 0.08, 0.16)
161.99: (-0.99, 0.06, 0.15)
162.00: (-0.99, 0.06, 0.15)
162.00: (0.73, -0.22, -0.64): 2
162.10: (-0.99, 0.05, 0.15)
162.22: (-0.99, 0.05, 0.13)
162.32: (-0.99, 0.05, 0.13)
162.42: (-0.99, 0.05, 0.13)
162.54: (-0.99, 0.05, 0.13)
162.65: (-0.99, 0.05, 0.13)
162.77: (-0.99, 0.05, 0.11)
162.87: (-0.99, 0.05, 0.11)
162.97: (-0.99, 0.05, 0.11)
163.09: (-0.98, 0.18, -0.10)
163.20: (-0.94, 0.27, -0.22)
163.32: (-0.82, 0.40, -0.40)
163.42: (-0.71, 0.48, -0.52)
163.54: (-0.58, 0.53, -0.61)
163.65: (-0.44, 0.54, -0.72)
163.77: (-0.27, 0.54, -0.80)
163.89: (-0.07, 0.48, -0.88)
164.00: (0.13, 0.44, -0.89)
164.12: (0.33, 0.40, -0.86)
164.24: (0.50, 0.35, -0.79)
164.35: (0.57, 0.28, -0.77)
164.47: (0.48, 0.14, -0.87)
164.59: (0.55, -0.03, -0.83)
164.69: (0.71, -0.08, -0.70)
164.80: (0.80, -0.08, -0.59)
