3/30/2023 12:33:40 PM
Mode: Mono
White time (s): [1.716187, 1.316406, 0.8831787, 1.016418, 2.615906, 2.616333, 2.516113, 0.9329834, 2.766174, 2.399536, 3.515747, 3.766052, 1.549866, 0.9663696, 2.499268, 1.349854, 1.766846, 5.931763, 0.6333008, 1.982727, 3.265991, 0.7832031, 3.616272, 4.365784, 1.766296, 3.749573, 2.566162, 2.432556, 0.9832764, 3.466003]
Shot time (s): [1.08313, 4.865723, 4.648987, 0.7998657, 1.433472, 2.365784, 0.9498291, 2.849304, 3.282959, 2.516479, 1.799255, 4.149353, 2.566162, 2.765991, 5.815491, 4.732422, 0.8666382, 3.61554, 0.866272, 5.482117, 1.933044, 1.716125, 0.7833862, 0.583252, 1.549744, 2.132935, 1.216431, 1.066711, 3.549194, 1.349915]
Step time (s): [1.632751, 3.532837, 2.599243, 1.14978, 1.199768, 1.049988, 2.666199, 1.366394, 1.099976, 5.615356, 1.682983, 0.7831421, 1.166321, 1.899719, 0.5499268, 1.266602, 0.666626, 2.165955, 2.332825, 7.215454, 4.999023, 2.13269, 7.432007, 1.650085, 1.582581, 3.46582, 2.516052, 4.332214, 1.449707, 1.083069]
White horz (deg): [99.53999, 58.43249, 57.855, 23.0475, 195.9825, 288.7499, 231.7351, 70.29751, 265.545, 211.89, 449.9774, 440.5275, 65.205, 43.83751, 264.915, 148.89, 162.3825, 579.6002, 23.31, 164.0625, 308.6476, 24.93749, 405.8775, 646.0649, 119.7525, 239.8725, 210.6825, 233.31, 33.6, 279.7726]
Shot horz (deg): [49.08749, 565.6874, 724.605, 33.7575, 27.50999, 166.11, 42.42, 311.1675, 399.0525, 267.0675, 103.2675, 309.2774, 194.25, 249.1125, 564.1652, 677.04, 30.0825, 615.3526, 36.3825, 601.4926, 120.54, 140.07, 45.93749, 10.4475, 163.4326, 290.5875, 122.325, 58.0125, 265.65, 109.7775]
Step horz (deg): [76.12499, 230.0025, 210.42, 36.8025, 60.53251, 46.41, 173.9325, 101.535, 17.01, 608.2121, 91.2975, 27.1425, 86.94001, 86.7825, 18.95249, 143.325, 26.9325, 319.8299, 135.1875, 743.9778, 484.7849, 151.4625, 804.2479, 189.9975, 74.12999, 309.225, 69.61497, 376.7925, 96.495, 44.46751]
White vert (deg): [89.24999, 128.0475, 20.73749, 47.0925, 90.6675, 206.01, 204.9599, 16.065, 174.6151, 131.67, 244.6501, 470.9775, 35.805, 25.82999, 108.99, 103.1625, 156.0825, 311.22, 7.507499, 110.04, 272.1599, 45.2025, 390.2848, 297.5175, 109.935, 254.3626, 139.2301, 179.9175, 13.7025, 290.9026]
Shot vert (deg): [32.13, 480.0076, 319.7774, 30.2925, 51.44999, 151.6201, 30.39749, 171.045, 209.7375, 141.9075, 146.2125, 412.4401, 198.0301, 333.4274, 676.725, 532.1396, 14.6475, 308.1749, 41.37, 413.6476, 266.7525, 136.3425, 34.01999, 2.9925, 121.0125, 116.1825, 59.5875, 74.9175, 170.7826, 76.12498]
Step vert (deg): [57.22501, 224.7525, 147.9975, 64.8375, 22.20749, 21.05249, 272.4226, 53.70749, 35.85749, 419.055, 34.33498, 27.56249, 43.1025, 46.56749, 12.6, 72.86998, 35.64749, 145.8976, 152.565, 651.735, 417.3224, 129.57, 597.0298, 78.33, 186.5325, 124.005, 146.4225, 367.7625, 110.775, 67.25252]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
543.98: (0.97, -0.22, 0.01): 2
543.98: (0.34, -0.82, -0.45)
544.10: (0.34, -0.82, -0.45)
544.21: (0.34, -0.82, -0.45)
544.33: (0.41, -0.77, -0.49)
544.45: (0.51, -0.71, -0.49)
544.56: (0.69, -0.55, -0.48)
544.66: (0.76, -0.29, -0.58)
544.76: (0.77, -0.14, -0.62)
544.88: (0.78, -0.02, -0.63)
545.00: (0.85, 0.00, -0.53)
545.11: (0.93, -0.11, -0.34)
545.23: (0.95, -0.18, -0.27)
545.35: (0.95, -0.21, -0.22)
545.46: (0.97, -0.23, -0.12)
545.56: (0.97, -0.25, -0.03)
545.61: (0.97, -0.25, -0.02)
545.61: (-0.57, -0.72, 0.40): 0
545.68: (0.97, -0.25, -0.02)
545.79: (0.96, -0.26, -0.01)
545.91: (0.96, -0.26, -0.01)
546.03: (0.96, -0.28, -0.03)
546.14: (0.92, -0.37, -0.16)
546.26: (0.82, -0.49, -0.31)
546.36: (0.71, -0.58, -0.40)
546.48: (0.50, -0.72, -0.48)
546.59: (0.20, -0.85, -0.50)
546.71: (-0.06, -0.91, -0.41)
546.83: (-0.31, -0.94, -0.16)
546.93: (-0.50, -0.86, 0.08)
547.04: (-0.62, -0.75, 0.23)
547.16: (-0.61, -0.72, 0.32)
547.28: (-0.58, -0.71, 0.39)
547.33: (-0.58, -0.71, 0.39)
547.33: (-0.42, 0.56, -0.71): 2
547.38: (-0.58, -0.71, 0.39)
547.48: (-0.58, -0.71, 0.39)
547.58: (-0.59, -0.71, 0.39)
547.69: (-0.60, -0.71, 0.36)
547.81: (-0.51, -0.84, 0.19)
547.93: (-0.41, -0.91, 0.01)
548.03: (-0.34, -0.93, -0.14)
548.14: (-0.27, -0.93, -0.25)
548.26: (-0.14, -0.93, -0.34)
548.38: (-0.02, -0.92, -0.39)
548.48: (0.14, -0.92, -0.38)
548.59: (0.42, -0.85, -0.31)
548.71: (0.66, -0.71, -0.25)
548.81: (0.80, -0.57, -0.18)
548.93: (0.92, -0.38, -0.09)
549.04: (0.98, -0.18, -0.03)
549.14: (0.99, 0.06, -0.09)
549.26: (0.88, 0.34, -0.32)
549.36: (0.66, 0.49, -0.57)
549.48: (0.37, 0.47, -0.80)
549.59: (0.18, 0.24, -0.95)
549.71: (-0.14, -0.17, -0.98)
549.83: (-0.41, -0.32, -0.85)
549.93: (-0.43, -0.17, -0.89)
550.04: (-0.58, 0.24, -0.78)
550.16: (-0.51, 0.31, -0.81)
550.28: (-0.51, 0.31, -0.81)
550.39: (-0.51, 0.31, -0.81)
550.49: (-0.51, 0.30, -0.80)
550.61: (-0.50, 0.36, -0.78)
550.73: (-0.48, 0.48, -0.73)
550.84: (-0.44, 0.55, -0.71)
550.86: (-0.43, 0.56, -0.70)
550.86: (0.71, 0.68, 0.21): 2
550.96: (-0.43, 0.57, -0.70)
551.08: (-0.43, 0.59, -0.68)
551.19: (-0.41, 0.70, -0.59)
551.31: (-0.45, 0.79, -0.41)
551.41: (-0.54, 0.76, -0.35)
551.51: (-0.58, 0.72, -0.39)
551.61: (-0.57, 0.69, -0.45)
551.73: (-0.53, 0.61, -0.59)
551.84: (-0.50, 0.53, -0.69)
551.96: (-0.40, 0.42, -0.82)
552.08: (-0.22, 0.58, -0.78)
552.19: (0.14, 0.72, -0.68)
552.29: (0.50, 0.67, -0.55)
552.41: (0.77, 0.43, -0.46)
552.51: (0.87, 0.20, -0.45)
