3/30/2023 7:15:09 PM
Mode: Default
White time (s): [1.532776, 3.116028, 0.6669006, 2.682373, 2.499512, 1.866455, 3.99884, 1.183258, 1.56665, 1.299438, 7.315216, 3.032715, 2.766144, 3.716064, 1.816467, 0.6331482, 0.6000061, 1.849609, 1.28302, 1.399384, 1.482758, 3.632904, 0.8665161, 0.5, 1.783203, 1.116455, 1.166443, 0.6495056, 0.5831299, 1.966553]
Shot time (s): [0.7167969, 1.233246, 1.498993, 1.333496, 1.733032, 0.5831909, 2.199493, 3.049683, 1.549683, 1.966309, 1.749634, 2.76593, 1.066223, 1.283417, 0.9331665, 1.216187, 0.5499573, 1.916504, 1.249939, 1.099365, 1.666321, 1.583038, 0.7498169, 1.982941, 2.766174, 1.28302, 1.483032, 2.86673, 2.965912, 2.233154]
Step time (s): [0.7165222, 1.449677, 1.849518, 0.8334961, 0.9998169, 3.582611, 2.516418, 1.866058, 2.832581, 1.333069, 0.583374, 0.5665283, 1.533234, 1.799561, 1.066437, 1.783203, 0.8330994, 1.116333, 1.999664, 0.7827759, 0.4666748, 3.64917, 2.882538, 3.5159, 2.716583, 3.415527, 3.632629, 2.76593, 0.5998535, 0.5167236]
White horz (deg): [164.2724, 328.9123, 41.52748, 287.8747, 156.1873, 167.7024, 436.8344, 99.46995, 159.1274, 151.6549, 624.8716, 190.3649, 131.5648, 406.0872, 159.25, 29.39998, 13.71999, 198.6948, 122.1324, 108.9025, 74.96996, 371.5423, 109.3924, 8.942494, 270.9698, 99.46996, 117.3549, 32.46249, 30.62498, 211.6799]
Shot horz (deg): [29.03248, 139.7724, 165.9874, 146.7549, 207.8823, 10.90249, 215.5999, 172.7249, 161.5775, 123.6024, 185.7099, 334.6698, 119.8049, 132.9124, 51.93997, 133.6474, 10.04499, 151.5324, 117.3549, 102.1649, 162.1899, 192.5698, 26.94998, 191.2223, 263.9873, 66.76245, 144.4274, 314.9472, 259.6998, 200.8999]
Step horz (deg): [57.32996, 221.4798, 206.1674, 65.29247, 35.40247, 373.0121, 260.3123, 184.6074, 255.1674, 141.8549, 3.062498, 20.82498, 119.6824, 153.9824, 41.40498, 120.1724, 27.19498, 60.63745, 222.7048, 16.78249, 16.65999, 330.7495, 83.54494, 190.1199, 363.0897, 238.1398, 363.8246, 265.7022, 26.21498, 10.90249]
White vert (deg): [71.90745, 195.8774, 21.43749, 127.8899, 162.8024, 84.89244, 222.3374, 35.64747, 52.91998, 49.85746, 516.7043, 218.7848, 84.89245, 239.7323, 120.4174, 13.59749, 23.02998, 142.3449, 47.65245, 72.02995, 94.07994, 214.8648, 31.48248, 6.614996, 55.24746, 48.50997, 40.05746, 19.96748, 13.47499, 86.36243]
Shot vert (deg): [17.51749, 32.33998, 38.95497, 56.83995, 93.46745, 17.14999, 123.3574, 201.6349, 72.51993, 104.0025, 79.74744, 205.9223, 30.01248, 66.14996, 49.61248, 52.30747, 19.35499, 130.5849, 48.01996, 31.11497, 44.34495, 75.70494, 36.01497, 29.27747, 92.36492, 98.36744, 67.61998, 120.5399, 116.9874, 91.99743]
Step vert (deg): [32.46248, 37.23996, 159.6174, 15.18999, 41.89498, 207.7598, 104.1249, 34.54496, 171.7448, 58.55496, 20.45749, 19.23249, 61.73995, 89.91494, 45.07998, 94.69244, 19.84499, 49.61245, 67.12996, 30.25748, 6.369997, 181.4223, 270.1124, 253.0848, 138.1799, 86.23994, 169.9073, 274.0323, 19.47749, 13.35249]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
323.16: (0.91, 0.26, -0.33): 1
323.16: (0.99, -0.16, 0.01)
323.26: (0.99, -0.16, 0.00)
323.37: (0.99, -0.16, 0.00)
323.49: (0.99, 0.01, -0.17)
323.61: (0.95, 0.14, -0.26)
323.72: (0.94, 0.19, -0.29)
323.82: (0.90, 0.26, -0.35)
323.87: (0.89, 0.28, -0.36)
323.87: (-0.88, 0.10, -0.46): 0
323.92: (0.89, 0.28, -0.36)
324.04: (0.89, 0.28, -0.35)
324.16: (0.93, 0.21, -0.31)
324.27: (0.94, 0.04, -0.35)
324.37: (0.77, -0.05, -0.63)
324.49: (0.36, 0.03, -0.93)
324.61: (0.01, 0.22, -0.98)
324.72: (-0.21, 0.19, -0.96)
324.82: (-0.26, 0.07, -0.96)
324.94: (-0.67, -0.01, -0.74)
325.04: (-0.94, 0.02, -0.34)
325.16: (-0.95, 0.15, -0.26)
325.27: (-0.93, 0.14, -0.34)
325.39: (-0.88, 0.06, -0.47)
325.41: (-0.88, 0.05, -0.47)
325.41: (-0.90, 0.42, -0.11): 2
325.50: (-0.88, 0.05, -0.47)
325.61: (-0.87, 0.08, -0.49)
325.72: (-0.93, 0.33, -0.16)
325.82: (-0.85, 0.52, 0.05)
325.94: (-0.85, 0.53, 0.00)
326.04: (-0.88, 0.43, -0.21)
326.12: (-0.88, 0.37, -0.29)
326.12: (-0.12, 0.95, 0.29): 0
326.15: (-0.88, 0.37, -0.30)
326.26: (-0.88, 0.38, -0.29)
326.37: (-0.88, 0.44, -0.20)
326.49: (-0.80, 0.56, 0.22)
326.60: (-0.67, 0.53, 0.52)
326.72: (-0.69, 0.54, 0.49)
326.84: (-0.72, 0.51, 0.48)
326.94: (-0.79, 0.20, 0.58)
327.05: (-0.80, 0.05, 0.59)
327.15: (-0.79, -0.03, 0.61)
327.25: (-0.78, -0.10, 0.62)
327.37: (-0.74, -0.34, 0.58)
327.49: (-0.59, -0.58, 0.55)
327.59: (-0.60, -0.70, 0.40)
327.70: (-0.83, -0.52, -0.20)
327.82: (-0.81, -0.19, -0.56)
327.94: (-0.82, -0.08, -0.57)
328.04: (-0.80, 0.14, -0.58)
328.15: (-0.46, 0.63, -0.62)
328.27: (0.09, 0.93, -0.36)
328.39: (0.35, 0.93, -0.14)
328.49: (0.56, 0.82, -0.10)
328.60: (0.75, 0.64, -0.15)
328.72: (0.69, 0.71, -0.14)
328.84: (0.30, 0.95, -0.03)
328.95: (0.08, 1.00, 0.01)
329.07: (-0.01, 1.00, 0.07)
329.19: (-0.07, 0.98, 0.21)
329.24: (-0.08, 0.97, 0.23)
329.24: (-0.87, -0.30, -0.40): 1
329.29: (-0.08, 0.97, 0.24)
329.40: (-0.08, 0.97, 0.24)
329.52: (-0.04, 0.97, 0.25)
329.64: (-0.14, 0.96, 0.26)
329.75: (-0.52, 0.85, 0.05)
329.85: (-0.77, 0.62, -0.18)
329.97: (-0.93, 0.08, -0.35)
330.09: (-0.78, -0.38, -0.50)
330.20: (-0.69, -0.44, -0.58)
330.30: (-0.77, -0.37, -0.52)
330.42: (-0.85, -0.31, -0.42)
330.47: (-0.85, -0.32, -0.42)
330.47: (-0.03, -0.92, -0.39): 2
330.54: (-0.85, -0.32, -0.42)
330.64: (-0.86, -0.32, -0.40)
330.75: (-0.87, -0.30, -0.39)
330.87: (-0.95, 0.06, -0.32)
330.99: (-0.83, 0.55, -0.14)
331.10: (-0.57, 0.82, 0.03)
331.22: (-0.84, 0.54, -0.07)
331.34: (-0.94, -0.13, -0.31)
