3/28/2023 1:22:37 PM
Mode: Mono
White time (s): [2.182739, 1.716248, 3.016235, 3.965637, 3.51593, 1.866394, 0.8997192, 1.183105, 1.283203, 1.016113, 3.13269, 2.099548, 2.199646, 4.115723, 2.849243, 0.6331177, 0.7332764, 1.516418, 2.799438, 0.6333008, 3.749146, 0.9831543, 3.282715, 0.9498291, 0.4667969, 3.765747, 2.33252, 5.432495, 0.8166504, 5.765625]
Shot time (s): [3.132385, 1.233215, 2.099304, 2.882996, 1.999695, 2.382751, 2.865967, 2.999146, 0.5667114, 3.132874, 2.749512, 2.949463, 1.349792, 1.599609, 0.6998901, 1.199829, 5.882202, 1.749695, 2.149414, 0.9331055, 0.4832764, 5.2323, 3.632935, 1.533325, 2.332764, 3.865967, 2.899292, 1.932739, 1.766479, 2.582764]
Step time (s): [1.933167, 1.416382, 2.965881, 0.8000488, 6.265747, 1.282837, 1.349792, 2.982666, 3.032532, 2.466125, 2.500061, 4.61554, 0.7000122, 1.41626, 2.516174, 0.71698, 0.8163452, 5.132385, 2.133423, 1.349304, 0.666687, 2.799377, 2.115967, 1.716309, 2.832886, 3.515991, 2.649292, 4.182251, 0.8498535, 1.916138]
White horz (deg): [343.7499, 214.3899, 397.5948, 456.06, 505.4498, 146.74, 44.33001, 163.405, 181.225, 37.45501, 347.5999, 206.36, 261.965, 642.7849, 403.26, 23.65, 29.865, 132.88, 304.1499, 18.48, 582.6697, 53.68, 526.7349, 52.195, 15.4, 574.8597, 282.37, 737.4949, 20.68, 1175.075]
Shot horz (deg): [342.5399, 210.43, 191.9499, 437.6898, 300.025, 373.89, 319.825, 348.095, 1.595, 285.01, 493.845, 335.8298, 53.23999, 178.86, 18.81, 42.46001, 902.0549, 213.6749, 229.7349, 105.71, 4.235, 706.5297, 474.8151, 143.66, 110.77, 725.1751, 297.9899, 195.03, 206.7999, 288.64]
Step horz (deg): [371.855, 145.2, 392.8099, 47.245, 918.7745, 141.5699, 164.175, 365.7498, 371.3049, 325.9298, 290.785, 692.0649, 23.705, 140.7449, 237.545, 26.4, 21.615, 625.185, 229.625, 70.01502, 24.86, 350.0749, 273.68, 257.455, 322.3549, 610.8299, 384.8899, 631.1797, 32.615, 255.4199]
White vert (deg): [203.4999, 171.1599, 320.9799, 518.7047, 328.0749, 95.25997, 32.12001, 61.32501, 71.39001, 52.745, 310.255, 142.56, 148.555, 222.42, 257.125, 7.699999, 20.295, 64.90001, 221.265, 13.86, 294.525, 23.1, 192.115, 7.259998, 1.595, 370.0949, 206.745, 398.9146, 20.79, 348.0399]
Shot vert (deg): [297.4948, 47.52001, 209.055, 378.9501, 266.9149, 184.8549, 295.6249, 253.605, 5.995, 337.2599, 289.9601, 209.4399, 33.11, 81.67503, 21.01, 21.89001, 659.3397, 93.17001, 131.34, 11.99, 25.355, 388.85, 202.4, 40.75504, 260.205, 186.12, 185.185, 72.48997, 175.34, 184.0299]
Step vert (deg): [102.08, 40.15001, 302.1151, 6.104998, 959.8596, 40.70001, 146.135, 149.325, 195.635, 207.075, 279.07, 554.9501, 21.23, 92.23501, 127.875, 8.304998, 21.23, 494.5601, 212.41, 29.42501, 24.365, 143.9899, 153.835, 70.84, 240.9549, 277.585, 179.6851, 440.3301, 22.88, 120.285]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
888.74: (0.34, 0.86, 0.38): 1
888.74: (0.26, 0.47, -0.84)
888.86: (0.26, 0.47, -0.84)
888.96: (0.26, 0.47, -0.84)
889.08: (0.37, 0.38, -0.85)
889.19: (0.38, 0.08, -0.92)
889.31: (0.26, -0.06, -0.96)
889.43: (-0.28, -0.10, -0.96)
889.54: (-0.38, 0.01, -0.93)
889.64: (-0.37, 0.03, -0.93)
889.74: (-0.56, 0.14, -0.81)
889.86: (0.07, 0.15, -0.99)
889.98: (0.76, 0.10, -0.64)
890.09: (0.95, 0.04, -0.31)
890.21: (0.99, 0.04, -0.15)
890.33: (0.99, 0.04, -0.16)
890.44: (0.97, 0.04, -0.23)
890.56: (0.71, 0.70, 0.06)
890.68: (-0.39, 0.83, 0.40)
890.79: (-0.54, -0.08, 0.84)
890.91: (-0.16, -0.15, 0.97)
891.03: (-0.34, 0.48, 0.81)
891.14: (-0.32, 0.60, 0.73)
891.26: (-0.23, 0.70, 0.68)
891.38: (-0.15, 0.82, 0.55)
891.48: (-0.04, 0.90, 0.43)
891.59: (0.21, 0.89, 0.41)
891.69: (0.23, 0.89, 0.39)
891.81: (0.29, 0.88, 0.37)
891.88: (0.29, 0.88, 0.37)
891.88: (-0.37, 0.69, -0.62): 1
891.93: (0.29, 0.88, 0.37)
892.04: (0.29, 0.88, 0.37)
892.14: (0.29, 0.88, 0.37)
892.26: (0.16, 0.99, 0.01)
892.38: (-0.36, 0.65, -0.67)
892.49: (-0.76, -0.12, -0.64)
892.59: (-0.85, -0.18, -0.49)
892.69: (-0.68, 0.26, -0.68)
892.81: (-0.33, 0.67, -0.67)
892.93: (-0.25, 0.71, -0.66)
893.04: (-0.36, 0.67, -0.64)
893.11: (-0.36, 0.67, -0.64)
893.11: (0.17, -0.32, -0.93): 1
893.14: (-0.36, 0.67, -0.64)
893.24: (-0.36, 0.68, -0.64)
893.36: (-0.36, 0.68, -0.64)
893.48: (-0.40, 0.65, -0.65)
893.59: (-0.76, 0.22, -0.62)
893.71: (-0.84, -0.52, -0.15)
893.83: (-0.84, -0.47, -0.27)
893.94: (-0.64, -0.71, -0.30)
894.06: (-0.38, -0.89, 0.26)
894.18: (-0.45, -0.82, 0.34)
894.28: (-0.50, -0.87, 0.02)
894.39: (0.12, -0.75, -0.64)
894.51: (0.51, -0.25, -0.82)
894.61: (0.59, 0.02, -0.81)
894.73: (0.52, -0.03, -0.85)
894.84: (0.41, -0.17, -0.90)
894.96: (0.27, -0.16, -0.95)
895.08: (0.22, -0.18, -0.96)
895.19: (0.23, -0.25, -0.94)
895.21: (0.23, -0.25, -0.94)
895.21: (-0.96, -0.23, -0.18): 2
895.29: (0.23, -0.25, -0.94)
895.41: (0.23, -0.25, -0.94)
895.53: (0.20, -0.19, -0.96)
895.64: (-0.14, 0.04, -0.99)
895.76: (-0.42, 0.13, -0.90)
895.88: (-0.73, 0.30, -0.62)
895.98: (-0.90, 0.42, -0.13)
896.08: (-0.75, 0.41, 0.51)
896.19: (-0.11, -0.05, 0.99)
896.31: (0.10, -0.45, 0.89)
896.43: (-0.70, -0.21, 0.68)
896.54: (-0.99, 0.10, 0.04)
896.66: (-0.91, 0.10, -0.41)
896.76: (-0.92, -0.15, -0.36)
896.88: (-0.93, -0.35, -0.06)
896.98: (-0.95, -0.28, -0.11)
