3/28/2023 1:51:48 PM
Mode: Default
White time (s): [0.866333, 0.7993774, 0.9832764, 1.249634, 1.716248, 0.7996216, 1.999512, 0.6998291, 0.8497925, 2.316284, 0.4996338, 1.782837, 2.582642, 5.099243, 2.08313, 0.5, 2.31604, 1.983032, 0.7330322, 1.483398, 1.616211, 2.049805, 1.499756, 1.899414, 1.366333, 1.116455, 1.099854, 1.683105, 0.5999756, 1.41626]
Shot time (s): [2.915955, 1.249939, 1.100037, 2.599121, 1.416321, 1.782898, 0.7001343, 2.882751, 0.7666016, 1.849792, 0.7667236, 0.9831543, 1.549622, 3.749268, 2.166382, 0.7667236, 1.599487, 1.16626, 1.483154, 2.382568, 1.316284, 0.9001465, 1.782593, 1.449951, 1.74939, 1.516479, 2.716309, 4.649048, 1.932861, 1.233154]
Step time (s): [1.799438, 1.516541, 0.8167114, 2.699646, 1.733032, 2.082825, 1.866394, 2.516174, 1.749756, 2.049438, 2.465942, 2.132813, 1.083252, 3.082886, 2.949097, 0.800293, 1.566162, 2.816284, 0.8331299, 1.182983, 1.499756, 1.366699, 3.532715, 1.399536, 2.133057, 2.215942, 2.382813, 1.08313, 1.91626, 2.799438]
White horz (deg): [51.06, 34.5, 35.2475, 102.0625, 186.76, 41.85999, 133.8025, 20.125, 21.3325, 174.0525, 12.19, 168.015, 113.9075, 366.2174, 174.685, 13.915, 189.865, 157.665, 27.715, 130.0075, 133.285, 185.15, 123.855, 129.375, 151.3975, 92.17252, 66.81497, 173.88, 22.0225, 114.4825]
Shot horz (deg): [247.1925, 95.68, 94.47248, 181.47, 154.905, 160.2525, 15.0075, 212.4625, 16.1, 117.4725, 19.6075, 48.64499, 131.7325, 249.895, 171.8675, 8.394999, 148.12, 131.215, 121.9, 145.3025, 97.86501, 40.70999, 171.58, 154.79, 251.045, 98.21001, 205.9075, 358.1099, 196.0175, 93.61]
Step horz (deg): [108.445, 102.9825, 17.135, 277.955, 161.1725, 236.2675, 145.475, 145.3025, 127.4775, 143.0025, 130.41, 190.6125, 59.16749, 299.6899, 258.6924, 9.8325, 121.7275, 196.4775, 45.54, 79.92498, 95.67998, 118.6225, 387.665, 110.6875, 123.6825, 180.4925, 191.9349, 35.19, 175.95, 245.4675]
White vert (deg): [12.2475, 19.2625, 39.3875, 15.6975, 95.0475, 31.2225, 88.55, 5.52, 23.46, 102.2925, 9.487497, 57.5575, 188.5425, 402.5, 71.70248, 13.3975, 79.86747, 50.82999, 13.3975, 42.26249, 55.66, 99.41748, 26.68, 102.4075, 72.105, 41.22749, 40.99749, 61.1225, 11.845, 75.2675]
Shot vert (deg): [69.805, 28.6925, 54.05, 147.2, 70.495, 52.95749, 14.4325, 224.825, 13.57, 118.2775, 12.9375, 32.775, 60.835, 220.2825, 99.35999, 18.4575, 60.72, 22.1375, 14.37499, 106.0875, 41.97499, 10.465, 69.45999, 45.02248, 92.8625, 48.7025, 144.095, 413.2523, 87.62999, 51.40499]
Step vert (deg): [35.18999, 35.01749, 15.18, 147.6025, 88.78001, 122.935, 130.3525, 92.57502, 100.5675, 71.06999, 147.9475, 93.66749, 41.515, 211.485, 263.8676, 32.085, 78.77498, 162.035, 18.86, 68.42501, 36.455, 64.86, 208.7825, 45.36749, 65.37751, 131.3299, 137.7125, 39.445, 73.02499, 119.6]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
974.66: (0.79, -0.18, -0.59): 1
974.66: (-0.79, 0.61, -0.08)
974.76: (-0.79, 0.61, -0.08)
974.88: (-0.79, 0.61, -0.08)
974.99: (-0.79, 0.61, -0.08)
975.11: (-0.79, 0.61, -0.08)
975.21: (-0.79, 0.61, -0.08)
975.33: (-0.79, 0.61, -0.08)
975.44: (-0.79, 0.61, -0.08)
975.56: (-0.79, 0.61, -0.08)
975.66: (-0.79, 0.61, -0.08)
975.78: (-0.79, 0.61, -0.08)
975.89: (-0.79, 0.61, -0.08)
976.01: (-0.79, 0.61, -0.08)
976.11: (-0.79, 0.61, -0.08)
976.23: (-0.79, 0.61, -0.08)
976.34: (-0.79, 0.61, -0.08)
976.46: (-0.61, 0.79, -0.02)
976.56: (-0.10, 0.99, -0.07)
976.68: (0.27, 0.96, -0.09)
976.78: (0.52, 0.83, -0.20)
976.89: (0.88, 0.33, -0.35)
976.99: (0.83, -0.40, -0.38)
977.11: (0.39, -0.87, -0.30)
977.23: (0.55, -0.68, -0.48)
977.34: (0.80, -0.25, -0.54)
977.44: (0.78, -0.30, -0.55)
977.54: (0.76, -0.34, -0.55)
977.58: (0.76, -0.34, -0.55)
977.58: (-0.75, -0.60, -0.26): 2
977.64: (0.76, -0.33, -0.55)
977.76: (0.77, -0.32, -0.56)
977.88: (0.77, -0.32, -0.56)
977.99: (0.77, -0.31, -0.56)
978.09: (0.77, -0.28, -0.57)
978.21: (0.77, -0.28, -0.57)
978.33: (0.78, -0.27, -0.57)
978.44: (0.78, -0.27, -0.57)
978.56: (0.41, -0.69, -0.59)
978.66: (0.06, -0.81, -0.58)
978.76: (-0.06, -0.84, -0.53)
978.88: (-0.34, -0.87, -0.36)
978.99: (-0.43, -0.78, -0.45)
979.11: (-0.53, -0.71, -0.46)
979.23: (-0.71, -0.66, -0.24)
979.34: (-0.73, -0.65, -0.22)
979.38: (-0.73, -0.64, -0.24)
979.38: (0.72, -0.40, -0.57): 2
979.46: (-0.73, -0.64, -0.24)
979.58: (-0.73, -0.64, -0.24)
979.69: (-0.67, -0.68, -0.29)
979.79: (-0.67, -0.68, -0.29)
979.91: (-0.67, -0.68, -0.29)
980.03: (-0.74, -0.62, -0.27)
980.13: (-0.64, -0.66, -0.40)
980.24: (-0.17, -0.67, -0.72)
980.36: (0.12, -0.51, -0.85)
980.48: (0.25, -0.40, -0.88)
980.59: (0.40, -0.41, -0.82)
980.69: (0.61, -0.46, -0.65)
980.81: (0.61, -0.43, -0.66)
980.89: (0.64, -0.39, -0.66)
980.89: (0.99, 0.11, -0.11): 0
980.93: (0.64, -0.40, -0.66)
981.03: (0.64, -0.40, -0.66)
981.13: (0.63, -0.42, -0.66)
981.24: (0.73, -0.36, -0.58)
981.36: (0.95, -0.05, -0.31)
981.48: (0.94, -0.05, -0.34)
981.58: (0.93, -0.07, -0.36)
981.69: (0.96, -0.04, -0.27)
981.76: (0.98, 0.04, -0.21)
981.76: (0.02, 0.92, 0.39): 1
981.81: (0.98, 0.08, -0.19)
981.91: (0.98, 0.08, -0.19)
982.03: (0.98, 0.05, -0.17)
982.13: (0.98, 0.05, -0.17)
982.24: (0.98, 0.05, -0.17)
982.36: (0.97, 0.23, 0.12)
982.47: (0.75, 0.53, 0.39)
982.58: (0.61, 0.68, 0.40)
982.69: (0.35, 0.82, 0.46)
982.79: (0.12, 0.87, 0.48)
