3/28/2023 1:47:38 PM
Mode: Mono
White time (s): [2.432861, 1.999634, 2.782471, 1.11676, 0.9995728, 0.6834106, 6.815369, 1.016296, 0.6000366, 1.86615, 1.532959, 0.9000244, 0.3833618, 1.382996, 2.782715, 0.6832275, 1.132996, 2.566406, 3.399536, 0.9998779, 0.9830933, 0.6668091, 3.082886, 2.599243, 0.8999023, 2.316223, 0.7331543, 0.7994385, 0.6334229, 1.866211]
Shot time (s): [3.482544, 1.666443, 0.4332886, 1.949646, 2.299622, 1.566162, 3.69928, 2.082886, 0.8163452, 0.7832031, 1.966431, 7.381714, 0.7831421, 2.882813, 1.266235, 2.132813, 0.5828247, 1.932556, 1.633057, 4.382813, 1.016296, 3.299072, 1.999329, 0.3500366, 2.183044, 1.499756, 5.582397, 2.616089, 3.199463, 2.749329]
Step time (s): [3.082581, 2.582825, 1.299866, 4.032471, 2.782776, 2.499634, 0.5497437, 1.716431, 0.6831665, 1.39978, 1.566345, 1.59967, 2.250183, 1.832825, 2.283447, 1.949219, 0.5333862, 0.8996582, 3.948853, 1.333252, 1.566406, 1.766174, 5.082153, 4.898926, 4.449219, 1.466553, 1.899597, 2.416199, 1.78302, 1.249939]
White horz (deg): [281.4849, 342.7599, 367.8875, 34.4375, 61.93999, 83.60001, 870.5319, 35.38751, 8.5975, 274.0275, 217.6925, 112.2425, 3.705, 137.465, 314.0224, 61.51249, 110.105, 387.7425, 489.2023, 173.945, 89.775, 49.68501, 442.0349, 224.1051, 64.2675, 343.7574, 85.26251, 14.06, 14.2975, 145.73]
Shot horz (deg): [304.8549, 243.6276, 3.4675, 278.54, 314.83, 235.315, 470.1551, 341.6674, 24.4625, 15.39, 288.8, 690.4123, 115.2825, 386.8399, 156.845, 345.8476, 54.43501, 264.86, 190.0475, 574.9398, 109.155, 492.1472, 322.1926, 1.8525, 347.985, 189.9525, 866.2101, 341.5724, 446.1673, 219.9251]
Step horz (deg): [415.9576, 316.4925, 146.87, 528.1047, 290.5575, 319.2, 45.885, 221.1125, 59.185, 165.6326, 242.7725, 256.3575, 165.3475, 254.5525, 300.1049, 268.28, 33.535, 61.1325, 511.3849, 122.3125, 158.08, 224.2475, 855.522, 703.9972, 534.7548, 165.6326, 212.3726, 152.8076, 125.875, 158.46]
White vert (deg): [165.2051, 28.83249, 211.8975, 174.0875, 77.28254, 36.005, 666.6144, 141.5975, 80.9875, 73.19753, 32.9175, 25.1275, 8.407499, 63.4125, 122.93, 88.16001, 25.935, 131.3375, 104.025, 23.465, 6.0325, 8.265, 221.065, 335.8725, 67.35501, 44.6025, 24.13, 95.57001, 55.48, 145.6351]
Shot vert (deg): [337.1075, 108.7275, 3.705, 31.92, 94.5725, 23.655, 260.11, 70.01498, 142.0725, 79.8475, 53.86501, 957.4097, 13.965, 80.60752, 68.63752, 83.315, 24.795, 65.88251, 15.96, 326.1348, 45.22001, 360.715, 35.245, 3.42, 39.6625, 23.085, 387.2674, 158.3175, 138.035, 301.4825]
Step vert (deg): [419.425, 58.235, 42.94001, 266.285, 161.025, 105.1175, 40.85001, 44.12749, 19.5225, 36.29, 52.58251, 52.48749, 285.5225, 44.93501, 69.68251, 104.5, 12.16, 24.5575, 278.1601, 65.21751, 30.685, 41.3725, 296.4474, 164.9201, 415.0075, 61.13251, 99.2275, 234.3651, 174.3725, 63.935]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
697.30: (-0.19, -0.90, 0.38): 0
697.30: (-0.39, 0.49, -0.78)
697.40: (-0.39, 0.49, -0.78)
697.52: (-0.39, 0.49, -0.78)
697.63: (-0.39, 0.49, -0.78)
697.73: (-0.36, 0.48, -0.80)
697.85: (0.06, 0.24, -0.97)
697.95: (0.47, -0.06, -0.88)
698.07: (0.76, -0.10, -0.65)
698.18: (0.88, 0.35, -0.33)
698.30: (0.50, 0.86, -0.11)
698.41: (-0.19, 0.97, -0.14)
698.53: (-0.48, 0.88, -0.01)
698.65: (-0.48, 0.88, -0.01)
698.75: (-0.45, 0.89, -0.04)
698.86: (-0.66, 0.65, 0.38)
698.98: (-0.57, -0.19, 0.80)
699.10: (-0.28, -0.58, 0.77)
699.21: (-0.18, -0.72, 0.67)
699.31: (-0.22, -0.72, 0.65)
699.43: (-0.23, -0.71, 0.67)
699.53: (-0.24, -0.75, 0.62)
699.65: (-0.11, -0.93, 0.36)
699.73: (-0.11, -0.93, 0.35)
699.73: (-0.85, -0.35, -0.39): 1
699.75: (-0.11, -0.93, 0.35)
699.86: (-0.10, -0.93, 0.35)
699.98: (-0.09, -0.94, 0.34)
700.10: (-0.09, -0.93, 0.34)
700.21: (-0.01, -0.94, 0.35)
700.33: (0.19, -0.84, 0.51)
700.43: (0.18, -0.84, 0.51)
700.55: (0.16, -0.84, 0.53)
700.66: (0.16, -0.96, 0.22)
700.78: (0.17, -0.92, -0.36)
700.90: (0.19, -0.76, -0.63)
701.00: (0.30, -0.51, -0.80)
701.11: (0.76, -0.47, -0.44)
701.23: (0.87, -0.48, 0.07)
701.33: (0.88, -0.39, 0.28)
701.45: (0.97, -0.24, 0.06)
701.56: (0.87, -0.14, -0.47)
701.68: (0.82, -0.15, -0.55)
701.80: (0.83, -0.18, -0.54)
701.91: (0.72, 0.32, -0.62)
702.01: (0.15, 0.89, -0.44)
702.13: (-0.11, 0.95, -0.28)
702.25: (-0.10, 0.95, -0.29)
702.35: (-0.09, 0.95, -0.30)
702.46: (-0.39, 0.91, -0.14)
702.58: (-0.89, 0.44, -0.12)
702.70: (-0.91, 0.07, -0.41)
702.81: (-0.69, -0.32, -0.65)
702.91: (-0.54, -0.55, -0.64)
703.03: (-0.71, -0.58, -0.39)
703.15: (-0.82, -0.43, -0.37)
703.21: (-0.83, -0.42, -0.37)
703.21: (0.81, 0.41, -0.42): 1
703.26: (-0.83, -0.42, -0.37)
703.38: (-0.83, -0.41, -0.37)
703.50: (-0.88, -0.26, -0.40)
703.61: (-0.88, 0.31, -0.36)
703.73: (-0.60, 0.71, -0.36)
703.85: (0.01, 0.63, -0.78)
703.96: (0.75, -0.03, -0.66)
704.08: (0.82, -0.57, -0.01)
704.20: (0.82, -0.58, -0.02)
704.31: (0.82, -0.57, -0.02)
704.43: (0.92, -0.02, -0.38)
704.55: (0.81, 0.29, -0.51)
704.66: (0.81, 0.29, -0.51)
704.76: (0.83, 0.32, -0.46)
704.88: (0.80, 0.44, -0.41)
704.88: (-0.95, 0.14, 0.29): 2
704.88: (0.80, 0.44, -0.41)
705.00: (0.80, 0.44, -0.41)
705.11: (0.80, 0.44, -0.41)
705.23: (0.79, 0.45, -0.41)
705.35: (0.82, 0.43, -0.38)
705.46: (0.99, -0.01, 0.13)
705.56: (0.45, -0.68, 0.58)
705.68: (-0.39, -0.74, 0.54)
705.80: (-0.35, -0.78, 0.53)
