3/30/2023 12:29:59 PM
Mode: Default
White time (s): [0.9996033, 1.816345, 2.882935, 2.516144, 2.632843, 0.8996277, 2.249847, 0.9503174, 2.816162, 2.082489, 2.249573, 1.516479, 2.199554, 0.9498291, 0.8164978, 4.749054, 0.8500366, 2.182922, 2.082947, 3.94931, 1.449341, 0.7499695, 1.066315, 1.999603, 1.449921, 1.816406, 0.6835327, 1.583008, 1.616272, 2.41626]
Shot time (s): [2.832581, 1.682983, 1.33316, 5.132172, 2.566437, 1.682709, 1.21637, 0.7001953, 2.432556, 2.083008, 1.066071, 2.399719, 3.365662, 2.36618, 2.066101, 1.366211, 2.516174, 4.46579, 1.799622, 3.899261, 2.082397, 1.849976, 0.6665344, 0.98349, 1.466034, 1.216309, 1.199402, 1.583008, 1.416504, 2.815796]
Step time (s): [2.182922, 1.849854, 1.149475, 2.199615, 0.7331848, 2.066193, 1.133301, 1.416229, 0.7664795, 4.399139, 5.365601, 1.016754, 1.133026, 3.4328, 4.849182, 0.866333, 0.7666016, 4.115723, 2.182922, 2.099548, 1.816284, 5.732208, 2.949402, 1.616791, 3.565979, 1.266235, 5.132324, 1.916443, 0.6830444, 0.6000366]
White horz (deg): [3.045, 115.3425, 222.8625, 136.8675, 183.6975, 32.76001, 227.325, 29.39999, 258.7725, 164.1675, 260.7675, 53.445, 212.9925, 43.99499, 47.56499, 554.7672, 32.0775, 202.7551, 197.2425, 537.1798, 164.4299, 38.79749, 43.1025, 129.5175, 154.77, 197.61, 14.9625, 128.6775, 24.20249, 266.7]
Shot horz (deg): [244.9125, 149.415, 34.2825, 472.4473, 147.7875, 148.155, 77.38499, 11.445, 147.7875, 153.93, 50.7675, 219.2925, 286.0725, 253.4175, 200.445, 80.745, 215.0925, 191.9926, 173.355, 336.8925, 123.7425, 196.56, 18.165, 42.5775, 114.87, 47.8275, 57.33001, 172.6201, 118.0725, 242.235]
Step horz (deg): [128.415, 160.7551, 45.88501, 148.785, 26.67, 184.6951, 19.4775, 89.45998, 26.6175, 411.6524, 567.735, 15.2775, 72.92249, 372.75, 460.5302, 28.19249, 8.924998, 387.24, 43.365, 212.9925, 111.1425, 677.5126, 266.595, 109.4625, 394.485, 94.5525, 660.2924, 107.4675, 20.8425, 16.065]
White vert (deg): [30.135, 69.82499, 123.1125, 119.385, 129.465, 28.5075, 68.19751, 21.05249, 157.605, 97.01998, 139.8075, 132.5625, 118.1775, 31.28999, 8.452496, 235.725, 36.3825, 111.5625, 67.46249, 266.4899, 83.3175, 24.77999, 9.502498, 147.525, 104.055, 59.64001, 21.315, 43.15501, 81.84751, 143.6925]
Shot vert (deg): [145.4775, 60.5325, 37.2225, 376.6351, 168.63, 44.57251, 45.465, 5.249999, 123.27, 56.75249, 20.57999, 89.45995, 242.8125, 179.6025, 97.70248, 67.41, 111.5625, 280.0349, 108.57, 127.05, 129.2025, 83.00251, 16.4325, 39.89999, 93.24001, 36.3825, 38.0625, 73.29, 52.55249, 155.5575]
Step vert (deg): [123.165, 69.7725, 60.2175, 52.8675, 10.4475, 116.655, 42.9975, 54.60001, 21.6825, 286.6501, 371.2274, 65.4675, 62.94748, 226.905, 349.2301, 37.06499, 36.96, 256.3576, 66.14999, 90.77252, 77.64749, 206.5875, 163.4326, 65.4675, 206.3775, 99.4875, 330.9074, 65.25751, 6.615, 9.450001]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
350.93: (0.33, -0.94, 0.13): 0
350.93: (0.11, -0.94, -0.31)
351.03: (0.11, -0.94, -0.31)
351.15: (0.11, -0.94, -0.31)
351.27: (0.15, -0.96, -0.22)
351.38: (0.22, -0.97, -0.09)
351.50: (0.24, -0.97, -0.05)
351.60: (0.28, -0.96, 0.01)
351.72: (0.33, -0.94, 0.10)
351.83: (0.34, -0.93, 0.15)
351.93: (0.34, -0.93, 0.15)
351.93: (-1.00, -0.04, -0.06): 0
351.95: (0.34, -0.93, 0.15)
352.05: (0.34, -0.93, 0.15)
352.17: (0.34, -0.93, 0.16)
352.27: (0.38, -0.90, 0.20)
352.38: (0.43, -0.86, 0.28)
352.50: (0.42, -0.82, 0.38)
352.62: (0.29, -0.83, 0.48)
352.73: (0.06, -0.88, 0.48)
352.83: (-0.24, -0.87, 0.43)
352.95: (-0.55, -0.80, 0.23)
353.07: (-0.70, -0.71, 0.11)
353.18: (-0.83, -0.56, -0.02)
353.30: (-0.92, -0.38, -0.08)
353.42: (-0.98, -0.22, 0.01)
353.52: (-1.00, -0.08, 0.01)
353.63: (-1.00, -0.05, -0.05)
353.73: (-1.00, -0.06, -0.06)
353.75: (-1.00, -0.06, -0.06)
353.75: (0.62, -0.44, 0.65): 0
353.85: (-1.00, -0.06, -0.07)
353.95: (-1.00, -0.05, -0.06)
354.07: (-1.00, -0.04, -0.01)
354.18: (-0.98, -0.15, 0.15)
354.30: (-0.90, -0.30, 0.32)
354.40: (-0.78, -0.43, 0.45)
354.52: (-0.51, -0.65, 0.57)
354.63: (-0.21, -0.79, 0.58)
354.73: (0.03, -0.88, 0.48)
354.85: (0.19, -0.92, 0.34)
354.97: (0.37, -0.92, 0.13)
355.08: (0.58, -0.81, -0.12)
355.20: (0.74, -0.57, -0.36)
355.30: (0.75, -0.57, -0.34)
355.42: (0.75, -0.57, -0.34)
355.53: (0.75, -0.57, -0.34)
355.65: (0.77, -0.45, -0.45)
355.77: (0.84, -0.23, -0.50)
355.88: (0.91, -0.08, -0.40)
355.98: (0.95, -0.03, -0.30)
356.10: (1.00, 0.04, -0.03)
356.22: (0.98, -0.04, 0.21)
356.33: (0.86, -0.29, 0.42)
356.43: (0.78, -0.40, 0.47)
356.55: (0.75, -0.42, 0.51)
356.63: (0.72, -0.40, 0.57)
356.63: (-0.56, 0.73, -0.39): 1
356.67: (0.71, -0.40, 0.59)
356.78: (0.69, -0.40, 0.60)
356.88: (0.69, -0.40, 0.60)
357.00: (0.65, -0.37, 0.66)
357.12: (0.56, -0.23, 0.80)
357.23: (0.29, -0.10, 0.95)
357.35: (0.08, -0.21, 0.98)
357.47: (0.14, -0.13, 0.98)
357.57: (0.37, 0.13, 0.92)
357.68: (0.68, 0.36, 0.64)
357.80: (0.88, 0.45, 0.17)
357.92: (0.88, 0.43, -0.20)
358.03: (0.81, 0.38, -0.44)
358.15: (0.60, 0.28, -0.75)
358.27: (0.38, 0.42, -0.83)
358.37: (0.38, 0.43, -0.82)
358.48: (0.38, 0.43, -0.82)
358.60: (0.37, 0.43, -0.82)
358.72: (0.18, 0.50, -0.85)
358.83: (-0.22, 0.57, -0.79)
358.93: (-0.49, 0.54, -0.68)
359.05: (-0.67, 0.55, -0.49)
359.17: (-0.58, 0.71, -0.40)
359.28: (-0.51, 0.75, -0.41)
359.38: (-0.54, 0.72, -0.44)
359.47: (-0.58, 0.70, -0.41)
