3/30/2023 7:03:33 PM
Mode: Mono
White time (s): [1.483215, 0.6328125, 3.116089, 7.315369, 1.91626, 1.932922, 4.249329, 1.966187, 0.5501709, 1.599609, 0.8164063, 2.183167, 2.399536, 3.382996, 1.23291, 3.732422, 2.049744, 1.399841, 2.38269, 2.416077, 3.266296, 0.6003418, 2.099182, 2.649475, 1.516357, 1.46637, 2.51593, 4.399414, 0.4998779, 2.782959]
Shot time (s): [1.599915, 0.6497192, 1.782898, 1.266235, 0.5998535, 1.366577, 0.9163208, 2.349304, 0.4832764, 0.6497192, 5.931641, 1.199768, 1.116089, 0.7827759, 1.749695, 5.049194, 3.866394, 0.5661011, 6.881958, 2.949463, 1.649658, 1.999512, 2.799805, 4.08252, 1.932861, 4.065674, 1.249939, 0.6662598, 0.9330444, 2.499268]
Step time (s): [2.599609, 2.599487, 1.949463, 3.915833, 1.633057, 2.266541, 1.133057, 4.199097, 2.266235, 1.599915, 0.5502319, 1.333191, 3.882568, 2.433105, 2.399597, 1.083008, 1.633057, 0.5661011, 0.4664917, 1.533203, 3.849304, 8.798035, 4.782227, 4.332825, 4.34906, 3.715698, 3.6828, 1.282959, 2.666138, 5.499207]
White horz (deg): [172.0198, 36.54248, 428.0522, 1087.345, 171.7849, 225.8348, 624.8647, 282.7049, 13.62999, 171.1974, 42.06499, 156.5099, 223.6023, 264.1398, 166.3799, 394.9172, 92.12004, 145.5824, 249.9223, 377.2922, 428.4046, 36.89498, 160.505, 331.8198, 212.9098, 105.8675, 338.6348, 378.1145, 2.937498, 273.7749]
Shot horz (deg): [99.75746, 25.37998, 170.3748, 72.2625, 13.04249, 266.9599, 81.07497, 264.8448, 7.989995, 47.93997, 834.1317, 112.8, 164.7349, 37.59999, 197.6349, 608.2968, 470.3522, 21.50249, 686.5513, 452.9622, 261.6723, 219.8424, 309.9648, 462.7147, 252.7423, 358.3744, 91.64996, 34.07499, 38.06998, 255.0923]
Step horz (deg): [319.4823, 345.9199, 110.3325, 402.6719, 126.195, 173.0774, 91.06247, 404.5522, 209.2673, 138.0624, 32.19498, 147.9324, 469.2948, 308.4373, 198.2224, 29.60998, 232.1798, 7.167496, 13.27749, 98.46496, 288.9321, 796.0609, 477.2845, 529.1016, 467.532, 307.6149, 203.8624, 179.3048, 264.8447, 446.1471]
White vert (deg): [52.52248, 18.91749, 180.4798, 789.2466, 71.08749, 120.3199, 290.1074, 85.18751, 19.62249, 52.7575, 21.38499, 112.6824, 158.1549, 198.2223, 23.73499, 430.4022, 136.4174, 64.50748, 166.7324, 188.5874, 238.0548, 14.45249, 168.1423, 261.7898, 30.31498, 161.4449, 62.03999, 293.2798, 10.33999, 135.7124]
Shot vert (deg): [70.85248, 14.92249, 91.17998, 41.71249, 15.50999, 50.05499, 16.68499, 177.0724, 12.45499, 16.91999, 460.2474, 68.97247, 38.77499, 24.90998, 169.3174, 578.5694, 383.4024, 16.68499, 728.9698, 186.4724, 58.75, 56.28248, 310.4346, 204.5674, 58.16248, 339.5749, 18.79999, 19.97499, 21.61999, 60.15999]
Step vert (deg): [132.0699, 191.6424, 85.53999, 437.4522, 141.8224, 91.29752, 41.00749, 258.5, 157.3324, 95.05744, 26.08498, 32.42999, 359.9023, 167.0848, 140.4125, 24.67498, 133.8324, 5.757497, 13.86499, 143.1149, 325.9448, 961.5013, 330.8798, 293.75, 357.5523, 338.6346, 272.0123, 26.55499, 148.4024, 348.0349]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
811.91: (0.59, 0.67, 0.45): 0
811.91: (0.40, -0.35, -0.85)
812.03: (0.40, -0.35, -0.85)
812.14: (0.40, -0.35, -0.85)
812.24: (0.38, -0.36, -0.85)
812.36: (0.44, -0.26, -0.86)
812.48: (0.58, 0.24, -0.78)
812.58: (0.58, 0.67, -0.47)
812.69: (0.23, 0.96, 0.12)
812.81: (0.01, 0.85, 0.53)
812.93: (0.01, 0.83, 0.56)
813.03: (0.41, 0.82, 0.39)
813.14: (0.48, 0.80, 0.36)
813.24: (0.51, 0.76, 0.40)
813.34: (0.57, 0.72, 0.41)
813.39: (0.59, 0.70, 0.40)
813.39: (-0.03, 0.79, 0.62): 0
813.46: (0.59, 0.70, 0.40)
813.58: (0.58, 0.71, 0.40)
813.69: (0.46, 0.75, 0.47)
813.81: (0.04, 0.79, 0.62)
813.93: (0.00, 0.77, 0.64)
814.03: (0.02, 0.76, 0.65)
814.03: (-1.00, 0.00, 0.00): 1
814.04: (0.02, 0.76, 0.65)
814.14: (0.02, 0.76, 0.65)
814.26: (0.02, 0.76, 0.65)
814.38: (0.00, 0.76, 0.65)
814.49: (-0.14, 0.73, 0.67)
814.61: (-0.19, 0.78, 0.60)
814.71: (-0.33, 0.73, 0.59)
814.83: (-0.67, 0.57, 0.47)
814.94: (-0.85, 0.22, 0.48)
815.06: (-0.84, -0.21, 0.50)
815.16: (-0.83, -0.24, 0.50)
815.28: (-0.97, -0.16, 0.17)
815.38: (-0.99, -0.13, 0.05)
815.49: (-0.99, -0.10, 0.06)
815.61: (-1.00, 0.05, 0.05)
815.62: (-1.00, 0.07, 0.04)
815.62: (0.57, -0.10, 0.81): 0
815.72: (-1.00, 0.08, 0.03)
815.84: (-1.00, 0.05, 0.03)
815.96: (-0.98, -0.20, 0.06)
816.07: (-0.87, -0.49, 0.01)
816.19: (-0.88, -0.48, -0.01)
816.31: (-0.88, -0.48, -0.01)
816.42: (-0.97, -0.18, 0.18)
816.54: (-0.60, 0.64, 0.48)
816.66: (-0.14, 0.86, 0.49)
816.77: (0.38, 0.84, 0.38)
816.89: (0.45, 0.82, 0.35)
817.01: (0.68, 0.72, 0.09)
817.11: (0.91, 0.40, -0.14)
817.22: (0.95, -0.10, -0.31)
817.34: (0.86, -0.20, -0.47)
817.44: (0.71, -0.34, -0.61)
817.54: (0.71, -0.47, -0.53)
817.66: (0.71, -0.62, -0.33)
817.77: (0.76, -0.64, -0.08)
817.89: (0.71, -0.65, 0.26)
818.01: (0.66, -0.51, 0.55)
818.12: (0.71, 0.22, 0.67)
818.24: (0.45, 0.68, 0.57)
818.36: (0.56, 0.43, 0.71)
818.46: (0.62, 0.11, 0.77)
818.57: (0.67, -0.12, 0.74)
818.69: (0.63, -0.16, 0.76)
818.74: (0.62, -0.15, 0.77)
818.74: (-0.87, 0.38, 0.31): 0
818.81: (0.61, -0.15, 0.77)
818.92: (0.61, -0.14, 0.78)
819.04: (0.68, 0.01, 0.74)
819.16: (0.72, 0.03, 0.69)
819.27: (0.72, 0.03, 0.69)
819.37: (0.71, 0.20, 0.68)
819.49: (0.64, 0.65, 0.41)
819.61: (0.56, 0.82, 0.05)
819.72: (0.56, 0.80, -0.22)
819.82: (0.65, 0.68, -0.34)
819.94: (0.93, 0.17, -0.33)
820.06: (0.78, -0.62, -0.01)
820.16: (0.38, -0.90, 0.22)
820.27: (0.14, -0.86, 0.49)
820.39: (0.18, -0.90, 0.39)
820.49: (0.36, -0.89, 0.27)
820.61: (0.71, -0.43, 0.56)
