3/30/2023 12:26:39 PM
Mode: Stereo
White time (s): [4.349136, 5.098793, 3.332924, 1.766464, 5.29895, 1.416382, 3.016113, 3.166458, 3.782669, 0.6328125, 1.433044, 3.049454, 2.199753, 6.74855, 1.816315, 8.165405, 1.266342, 0.4667358, 4.865677, 2.082932, 1.250122, 1.832642, 1.249603, 2.166107, 1.799683, 3.948975, 5.215607, 2.299133, 0.733429, 4.699005]
Shot time (s): [1.899643, 2.715996, 5.19902, 1.949631, 2.849854, 1.732864, 4.232559, 4.399185, 1.449692, 0.7498016, 3.882965, 1.066223, 1.016617, 0.8166962, 0.8830719, 2.6828, 1.74942, 1.549347, 2.749542, 2.565948, 4.465546, 1.416656, 6.798798, 1.849548, 1.882874, 2.749542, 1.832672, 0.8663025, 3.915924, 1.799652]
Step time (s): [1.616409, 0.733078, 1.582642, 1.199768, 3.465729, 1.666382, 2.066025, 1.832596, 1.732986, 1.349915, 3.649246, 3.266113, 0.7997589, 1.000046, 4.865738, 0.7164764, 1.049591, 2.266052, 2.132904, 2.649414, 0.7997742, 4.632721, 0.7663879, 2.033081, 2.982941, 3.865784, 0.7501526, 2.983185, 3.965851, 1.98291]
White horz (deg): [538.8076, 579.5472, 332.0099, 225.435, 641.9702, 36.2775, 232.68, 380.3626, 410.0775, 17.115, 66.62251, 359.9924, 327.7574, 550.7249, 134.2425, 737.7299, 54.8625, 1.26, 315.2627, 94.2375, 35.2275, 136.29, 36.645, 176.715, 104.6325, 296.4675, 447.93, 163.485, 17.32499, 245.9627]
Shot horz (deg): [84.20999, 271.7401, 714.6298, 141.015, 197.19, 43.05001, 603.1201, 324.0301, 116.445, 25.83, 510.9825, 18.32249, 25.25249, 22.73249, 29.085, 373.3276, 129.15, 106.1025, 187.1625, 159.4425, 294.5775, 81.5325, 572.67, 117.3375, 147.5775, 209.4226, 146.16, 24.045, 287.0175, 90.9825]
Step horz (deg): [115.3425, 15.33, 128.415, 73.605, 307.5976, 163.1176, 110.8275, 96.65251, 85.995, 63.78749, 349.65, 245.1225, 12.285, 40.0575, 279.4574, 3.99, 55.75501, 132.825, 126.525, 229.8975, 23.41499, 285.915, 19.3725, 119.0175, 212.3625, 296.3625, 23.8875, 172.1475, 300.7725, 176.2951]
White vert (deg): [469.56, 592.6729, 306.8625, 141.9075, 442.9425, 145.005, 254.3625, 197.4525, 269.1151, 13.125, 49.8225, 338.6773, 136.3426, 687.3823, 171.5701, 952.2975, 106.26, 1.26, 345.2402, 88.35751, 74.9175, 176.1375, 116.3925, 125.6325, 81.795, 335.0551, 681.66, 54.915, 29.82, 493.5525]
Shot vert (deg): [90.40499, 313.215, 597.7126, 142.7476, 132.615, 62.42252, 378.5248, 204.6974, 88.35748, 37.27501, 335.6851, 85.995, 41.00249, 31.815, 21.26249, 215.9325, 136.5526, 142.1175, 205.275, 131.8275, 282.2402, 106.7325, 688.0128, 59.95498, 56.07, 284.7074, 119.2275, 37.85251, 443.9401, 174.51]
Step vert (deg): [118.335, 14.6475, 54.18, 34.965, 352.1175, 44.36251, 95.60249, 159.8625, 115.92, 103.1625, 390.1799, 413.0701, 63.62999, 26.40749, 324.66, 23.3625, 50.61, 136.29, 180.075, 147.2625, 40.635, 485.0476, 17.1675, 109.305, 188.1075, 190.1026, 32.13, 321.9823, 290.9025, 186.3226]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
110.50: (0.95, -0.19, 0.25): 1
110.50: (0.02, 0.04, 1.00)
110.60: (0.02, 0.04, 1.00)
110.71: (0.02, 0.04, 1.00)
110.82: (0.02, 0.04, 1.00)
110.92: (0.02, 0.04, 1.00)
111.03: (0.10, 0.04, 0.99)
111.15: (0.34, 0.02, 0.94)
111.26: (0.31, -0.17, 0.93)
111.36: (0.34, -0.50, 0.80)
111.48: (0.51, -0.60, 0.62)
111.60: (0.79, -0.46, 0.41)
111.71: (0.87, -0.18, 0.46)
111.83: (0.90, -0.12, 0.43)
111.93: (0.95, -0.19, 0.25)
112.05: (0.97, -0.14, 0.18)
112.15: (0.97, -0.10, 0.20)
112.26: (0.96, -0.11, 0.25)
112.38: (0.96, -0.11, 0.25)
112.40: (0.96, -0.11, 0.25)
112.40: (-0.31, 0.94, 0.17): 0
112.48: (0.96, -0.11, 0.25)
112.60: (0.96, -0.11, 0.25)
112.70: (0.95, -0.07, 0.29)
112.81: (0.85, 0.14, 0.51)
112.93: (0.60, 0.33, 0.73)
113.05: (0.40, 0.12, 0.91)
113.16: (0.09, -0.30, 0.95)
113.26: (-0.17, -0.72, 0.67)
113.38: (-0.26, -0.95, 0.18)
113.50: (-0.31, -0.83, -0.46)
113.61: (-0.27, -0.70, -0.66)
113.73: (-0.27, -0.71, -0.65)
113.83: (-0.27, -0.71, -0.65)
113.95: (-0.16, -0.65, -0.74)
114.06: (0.21, -0.18, -0.96)
114.18: (0.00, 0.33, -0.94)
114.30: (-0.59, 0.15, -0.80)
114.40: (-0.79, -0.25, -0.56)
114.51: (-0.74, -0.65, -0.17)
114.63: (-0.27, -0.96, 0.10)
114.73: (0.25, -0.97, 0.09)
114.85: (0.71, -0.70, -0.10)
114.96: (0.68, -0.32, -0.66)
115.06: (0.41, 0.37, -0.83)
115.18: (0.18, 0.68, -0.71)
115.30: (0.18, 0.68, -0.71)
115.41: (0.26, 0.65, -0.71)
115.53: (0.29, 0.69, -0.66)
115.63: (-0.10, 0.87, -0.48)
115.75: (-0.61, 0.77, -0.19)
115.86: (-0.90, 0.43, -0.02)
115.98: (-0.86, 0.45, 0.26)
116.08: (-0.67, 0.62, 0.40)
116.20: (-0.51, 0.79, 0.35)
116.31: (-0.51, 0.83, 0.21)
116.41: (-0.44, 0.87, 0.21)
116.53: (-0.37, 0.90, 0.24)
116.65: (-0.35, 0.91, 0.21)
116.75: (-0.33, 0.92, 0.18)
116.75: (-0.73, 0.13, -0.67): 2
116.76: (-0.33, 0.93, 0.18)
116.88: (-0.34, 0.92, 0.18)
116.98: (-0.37, 0.92, 0.15)
117.10: (-0.38, 0.92, 0.10)
117.20: (-0.60, 0.80, -0.10)
117.31: (-0.93, 0.24, -0.29)
117.43: (-0.78, 0.07, -0.62)
117.55: (-0.33, 0.33, -0.88)
117.66: (-0.36, 0.46, -0.81)
117.78: (-0.56, 0.45, -0.69)
117.90: (-0.59, 0.46, -0.66)
118.01: (-0.63, 0.34, -0.70)
118.13: (-0.67, 0.21, -0.71)
118.23: (-0.72, 0.17, -0.67)
118.35: (-0.73, 0.18, -0.66)
118.36: (-0.73, 0.18, -0.66)
118.36: (0.88, 0.47, 0.01): 0
118.45: (-0.73, 0.18, -0.66)
118.55: (-0.70, 0.21, -0.68)
118.66: (-0.56, 0.42, -0.71)
118.78: (-0.33, 0.67, -0.66)
118.88: (-0.15, 0.92, -0.37)
