3/28/2023 6:33:53 PM
Mode: Default
White time (s): [2.265961, 3.249451, 1.432831, 4.648926, 2.082672, 3.266235, 1.583191, 0.7828674, 2.066223, 4.265747, 3.099396, 3.615723, 2.033112, 3.165741, 2.532959, 6.248535, 2.832489, 3.266052, 5.932159, 1.266541, 3.915924, 0.7500305, 8.69812, 2.016174, 4.866028, 3.182678, 1.049927, 2.316223, 0.7001343, 2.849548]
Shot time (s): [1.033142, 2.782593, 0.9332275, 3.049622, 1.58313, 1.749664, 1.882965, 1.416595, 4.016083, 1.666199, 2.915802, 1.933105, 0.8829956, 5.299103, 2.299286, 3.599365, 1.366394, 3.03302, 3.115997, 2.432953, 2.782776, 0.8161316, 2.066315, 0.7496948, 0.75, 0.8329468, 2.932922, 2.066101, 4.482422, 1.399414]
Step time (s): [2.749481, 3.332581, 1.016541, 2.599579, 2.283051, 2.766296, 2.715973, 3.599152, 2.199585, 3.965729, 3.332886, 0.9831238, 0.7165833, 2.449493, 4.349121, 0.7167969, 2.715973, 0.8334045, 0.7000427, 4.099396, 5.49884, 2.666199, 2.932739, 2.816101, 4.449127, 5.448914, 3.83252, 0.7496338, 6.049011, 0.6499023]
White horz (deg): [160.515, 215.325, 128.52, 236.5875, 88.01996, 209.0474, 96.99747, 18.36, 142.29, 392.1751, 171.315, 224.6399, 114.21, 249.1426, 166.995, 315.4949, 137.7, 165.78, 445.0276, 16.875, 237.2625, 10.26, 593.9327, 101.1825, 253.3274, 135.4724, 49.61248, 171.72, 25.5825, 165.1724]
Shot horz (deg): [15.4575, 259.8749, 42.25499, 218.4975, 163.8899, 29.96999, 89.57249, 111.645, 228.3525, 64.52998, 183.465, 108.27, 26.52749, 396.63, 164.295, 244.6875, 40.56749, 181.2375, 193.3875, 128.5875, 125.7524, 34.425, 51.83999, 16.875, 23.8275, 9.517498, 174.96, 105.5025, 248.6025, 52.64999]
Step horz (deg): [203.3776, 217.1475, 34.01999, 87.34497, 112.7925, 149.7825, 152.1449, 209.925, 150.3225, 298.5526, 213.2325, 32.6025, 0.7424998, 125.55, 244.0124, 8.774999, 121.23, 26.12249, 13.2975, 227.8799, 298.2824, 116.5049, 210.195, 159.0976, 271.7549, 293.9625, 240.4349, 22.47749, 369.8322, 10.53]
White vert (deg): [85.52246, 193.7924, 42.1875, 194.1975, 59.46748, 42.45749, 78.16499, 17.685, 80.39246, 84.03745, 94.49994, 162.81, 27.06749, 119.1375, 86.87246, 269.3923, 67.09494, 109.0125, 203.9174, 34.62749, 117.4499, 15.8625, 357.8176, 57.37499, 238.7475, 179.2124, 20.99249, 74.24995, 19.30499, 104.2875]
Shot vert (deg): [29.63249, 104.6925, 10.4625, 114.0074, 26.45999, 61.08748, 94.70248, 48.59998, 114.9525, 37.8, 143.0324, 103.275, 32.19749, 217.8224, 71.2125, 114.5474, 85.18497, 170.3024, 119.5424, 64.19248, 126.1574, 21.12749, 43.46999, 22.20749, 12.555, 23.01749, 100.7775, 101.115, 254.5425, 60.88499]
Step vert (deg): [71.88747, 144.7875, 12.7575, 104.9625, 106.2449, 123.2549, 50.69249, 156.8699, 60.8175, 236.52, 134.865, 20.85749, 13.095, 136.8225, 128.5199, 9.112498, 54.94498, 22.95, 6.412498, 146.7449, 139.185, 78.97497, 71.68498, 57.23998, 146.8125, 224.3699, 177.12, 21.2625, 258.7275, 10.665]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
319.86: (-0.91, 0.14, 0.40): 1
319.86: (-0.98, -0.08, -0.16)
319.96: (-0.98, -0.08, -0.16)
320.07: (-0.98, -0.07, -0.16)
320.19: (-0.98, -0.07, -0.16)
320.31: (-0.99, -0.05, 0.10)
320.41: (-0.97, 0.00, 0.23)
320.52: (-0.97, 0.01, 0.26)
320.64: (-0.96, 0.04, 0.28)
320.76: (-0.94, 0.11, 0.31)
320.86: (-0.94, 0.13, 0.32)
320.89: (-0.94, 0.13, 0.32)
320.89: (0.78, -0.43, 0.46): 2
320.96: (-0.94, 0.14, 0.32)
321.07: (-0.95, 0.14, 0.29)
321.19: (-0.96, 0.16, 0.25)
321.31: (-0.96, 0.22, 0.15)
321.41: (-0.96, 0.29, 0.03)
321.52: (-0.91, 0.37, -0.19)
321.64: (-0.88, 0.40, -0.25)
321.74: (-0.92, 0.34, -0.18)
321.86: (-0.99, 0.12, 0.09)
321.97: (-0.96, -0.05, 0.28)
322.09: (-0.90, -0.17, 0.40)
322.21: (-0.81, -0.32, 0.49)
322.32: (-0.74, -0.39, 0.55)
322.44: (-0.74, -0.39, 0.55)
322.54: (-0.56, -0.61, 0.56)
322.66: (-0.23, -0.85, 0.46)
322.77: (-0.03, -0.93, 0.37)
322.89: (0.22, -0.90, 0.36)
323.01: (0.42, -0.79, 0.46)
323.12: (0.54, -0.62, 0.57)
323.24: (0.56, -0.58, 0.59)
323.34: (0.62, -0.57, 0.54)
323.44: (0.71, -0.53, 0.46)
323.56: (0.75, -0.49, 0.44)
323.64: (0.75, -0.49, 0.44)
323.64: (0.50, 0.51, -0.70): 2
323.67: (0.75, -0.49, 0.44)
323.79: (0.75, -0.49, 0.44)
323.91: (0.74, -0.53, 0.42)
324.02: (0.67, -0.60, 0.44)
324.14: (0.59, -0.64, 0.49)
324.24: (0.46, -0.74, 0.49)
324.36: (0.20, -0.88, 0.44)
324.46: (0.16, -0.86, 0.48)
324.57: (0.14, -0.84, 0.53)
324.69: (0.71, -0.61, 0.35)
324.81: (0.81, -0.52, 0.27)
324.91: (0.81, -0.53, 0.25)
325.02: (0.81, -0.53, 0.25)
325.14: (0.81, -0.53, 0.25)
325.24: (0.81, -0.53, 0.25)
325.36: (0.83, -0.47, 0.28)
325.47: (0.95, -0.18, 0.24)
325.57: (0.96, 0.06, 0.28)
325.67: (0.89, 0.24, 0.39)
325.79: (0.72, 0.43, 0.55)
325.91: (0.55, 0.65, 0.53)
326.02: (0.42, 0.79, 0.45)
326.14: (0.23, 0.96, 0.18)
326.24: (0.18, 0.96, -0.19)
326.36: (0.42, 0.81, -0.40)
326.47: (0.59, 0.70, -0.41)
326.57: (0.61, 0.68, -0.40)
326.69: (0.55, 0.61, -0.57)
326.81: (0.54, 0.51, -0.67)
326.91: (0.54, 0.52, -0.67)
326.97: (0.53, 0.52, -0.67)
326.97: (-0.54, 0.71, 0.44): 1
327.02: (0.53, 0.52, -0.67)
327.12: (0.52, 0.53, -0.67)
327.22: (0.52, 0.53, -0.67)
327.34: (0.52, 0.49, -0.69)
327.46: (0.68, 0.52, -0.51)
327.56: (0.79, 0.62, -0.01)
327.67: (0.62, 0.60, 0.51)
327.77: (0.42, 0.54, 0.73)
327.89: (0.29, 0.46, 0.84)
328.01: (0.41, 0.47, 0.78)
328.12: (0.41, 0.47, 0.78)
328.24: (0.41, 0.47, 0.78)
328.35: (0.22, 0.40, 0.89)
328.46: (-0.14, 0.20, 0.97)
