3/27/2023 3:20:22 PM
Mode: Default
White time (s): [0.8332672, 1.066483, 2.832458, 3.615952, 2.299591, 2.099564, 4.149033, 2.066238, 0.8000336, 2.583084, 1.466431, 1.749786, 1.133133, 1.366852, 1.33287, 1.199921, 0.5335693, 2.749542, 0.9329834, 0.6498718, 1.149933, 2.98291, 1.866119, 1.116333, 1.033081, 2.116119, 2.349274, 2.683197, 2.815979, 0.6335449]
Shot time (s): [1.616226, 3.133148, 1.499634, 0.5498657, 5.382141, 1.033005, 0.9329987, 1.316315, 1.765747, 1.366455, 0.4333649, 0.7162628, 1.366257, 2.165955, 1.316437, 4.58255, 1.682922, 2.39917, 5.932098, 1.082916, 1.349579, 1.53302, 0.8665466, 0.7330322, 1.016571, 1.449707, 0.6833191, 2.316071, 1.78302, 1.599548]
Step time (s): [2.6828, 1.7827, 0.7162018, 0.4667816, 3.716095, 3.215729, 2.449753, 1.499802, 2.94931, 0.8163605, 4.18251, 2.049911, 3.399216, 1.149551, 2.082977, 1.516418, 0.6997375, 2.482849, 0.3997803, 2.799591, 5.182465, 1.632843, 2.416107, 1.416595, 6.04892, 2.149261, 0.5836182, 2.915741, 4.315826, 2.116119]
White horz (deg): [29.88999, 39.89999, 242.6899, 279.37, 90.85992, 150.9901, 386.6099, 80.84995, 28.62999, 170.38, 55.50997, 166.6, 109.83, 120.19, 55.22998, 57.81998, 12.81, 199.01, 43.53999, 45.28998, 128.8699, 266.63, 217.4199, 98.35001, 104.58, 109.8999, 167.79, 130.8999, 196.1399, 38.56999]
Shot horz (deg): [64.04996, 235.13, 113.96, 23.45, 447.09, 48.36999, 39.68998, 101.71, 128.5199, 83.78996, 9.239998, 26.88, 130.8299, 84.34995, 72.58997, 404.32, 116.83, 144.5501, 554.54, 79.51997, 130.48, 184.66, 53.26998, 25.68999, 122.9199, 110.3899, 21.98, 180.81, 121.9399, 101.08]
Step horz (deg): [186.97, 135.8, 24.70999, 22.47, 294.8399, 152.25, 151.83, 28.90999, 179.6199, 48.78999, 203.2101, 127.1199, 152.53, 58.02999, 127.5399, 110.6, 21.41999, 281.1899, 8.399999, 183.2599, 531.5101, 150.64, 257.8799, 91.76995, 423.2199, 159.8799, 6.929999, 173.95, 273.6999, 106.3999]
White vert (deg): [15.19, 50.81998, 111.9299, 203.91, 87.42996, 112.3499, 204.26, 112.91, 33.94999, 112.63, 70.20998, 48.01997, 22.67999, 37.51998, 39.61999, 54.59998, 20.3, 39.75995, 32.19999, 10.01, 21.48999, 213.5, 98.48994, 32.61999, 23.38, 79.93996, 91.97996, 73.49997, 129.29, 10.77999]
Shot vert (deg): [81.19996, 114.3099, 53.82996, 16.03, 298.6199, 32.61999, 31.00999, 24.84999, 57.74998, 34.29999, 5.949998, 40.73999, 45.56998, 104.51, 61.73998, 221.3399, 41.92999, 84.13993, 256.5499, 45.70999, 97.57993, 45.42999, 10.08, 30.45, 29.11999, 44.58998, 16.59, 92.53991, 73.56997, 81.82996]
Step vert (deg): [79.30993, 69.01997, 29.96, 5.879998, 190.9599, 191.6599, 56.55997, 59.70998, 182.28, 8.469997, 227.2899, 55.08998, 222.4599, 26.88, 76.57994, 37.23998, 14.49, 108.2199, 6.159999, 150.92, 238.9101, 43.60997, 89.24992, 62.08998, 314.7899, 94.42995, 23.73, 146.44, 188.2999, 128.8]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
165.80: (0.44, -0.79, -0.42): 2
165.80: (0.00, 0.02, 1.00)
165.92: (0.00, 0.02, 1.00)
166.02: (0.00, 0.02, 1.00)
166.14: (-0.02, -0.04, 1.00)
166.25: (-0.05, -0.07, 1.00)
166.37: (-0.05, -0.07, 1.00)
166.47: (-0.05, -0.07, 1.00)
166.59: (-0.10, -0.18, 0.98)
166.70: (-0.25, -0.43, 0.87)
166.82: (-0.38, -0.62, 0.68)
166.94: (-0.49, -0.73, 0.47)
167.05: (-0.53, -0.79, 0.30)
167.17: (-0.56, -0.83, -0.02)
167.29: (-0.51, -0.84, -0.17)
167.40: (-0.28, -0.78, -0.56)
167.52: (-0.13, -0.57, -0.81)
167.62: (-0.08, -0.54, -0.84)
167.74: (0.04, -0.57, -0.82)
167.85: (0.20, -0.44, -0.88)
167.95: (0.30, -0.45, -0.84)
168.05: (0.26, -0.70, -0.67)
168.15: (0.28, -0.73, -0.62)
168.27: (0.37, -0.74, -0.56)
168.39: (0.44, -0.73, -0.52)
168.49: (0.46, -0.73, -0.50)
168.49: (0.16, -0.99, -0.07): 0
168.50: (0.46, -0.73, -0.50)
168.62: (0.44, -0.75, -0.49)
168.72: (0.45, -0.75, -0.49)
168.82: (0.45, -0.75, -0.49)
168.92: (0.35, -0.83, -0.43)
169.04: (0.17, -0.95, -0.27)
169.15: (0.18, -0.96, -0.22)
169.27: (0.16, -0.98, -0.14)
169.32: (0.16, -0.98, -0.13)
169.32: (0.99, 0.07, -0.12): 2
169.37: (0.17, -0.98, -0.13)
169.48: (0.16, -0.98, -0.12)
169.60: (0.19, -0.97, -0.14)
169.70: (0.21, -0.97, -0.14)
169.82: (0.19, -0.97, -0.13)
169.93: (0.37, -0.87, -0.34)
170.03: (0.56, -0.57, -0.61)
170.15: (0.65, -0.28, -0.70)
170.27: (0.74, 0.06, -0.67)
170.38: (0.69, 0.36, -0.63)
170.48: (0.68, 0.49, -0.55)
170.60: (0.88, 0.30, -0.37)
170.70: (0.95, 0.16, -0.26)
170.82: (0.95, 0.15, -0.27)
170.92: (0.97, 0.12, -0.19)
171.03: (0.99, 0.08, -0.12)
171.10: (0.99, 0.07, -0.11)
171.10: (0.14, -0.19, -0.97): 1
171.15: (0.99, 0.06, -0.11)
171.25: (0.99, 0.06, -0.11)
171.37: (0.99, 0.05, -0.12)
171.48: (0.99, 0.06, -0.13)
171.60: (0.98, 0.11, -0.18)
171.70: (0.95, 0.14, -0.28)
171.82: (0.84, 0.20, -0.50)
171.92: (0.63, 0.36, -0.69)
172.02: (0.52, 0.41, -0.75)
172.13: (0.44, 0.37, -0.82)
172.25: (0.31, 0.37, -0.88)
172.35: (0.27, 0.17, -0.95)
172.47: (0.27, 0.01, -0.96)
172.58: (0.21, -0.07, -0.97)
172.70: (0.14, -0.24, -0.96)
172.72: (0.14, -0.25, -0.96)
172.72: (0.94, -0.16, -0.30): 0
172.82: (0.14, -0.27, -0.95)
172.92: (0.17, -0.26, -0.95)
173.03: (0.17, -0.26, -0.95)
173.13: (0.17, -0.26, -0.95)
173.25: (0.28, -0.33, -0.90)
173.37: (0.59, -0.49, -0.65)
173.47: (0.74, -0.41, -0.53)
173.58: (0.85, -0.34, -0.41)
173.70: (0.92, -0.21, -0.33)
173.78: (0.93, -0.22, -0.31)
173.78: (0.74, 0.47, 0.47): 1
173.82: (0.93, -0.22, -0.31)
173.93: (0.93, -0.22, -0.31)
