3/31/2023 6:12:25 PM
Mode: Mono
White time (s): [1.033264, 3.382629, 1.582825, 5.38208, 0.9828491, 3.182861, 2.483032, 2.199585, 2.19989, 2.416565, 2.21637, 2.216309, 1.915955, 2.499756, 5.4151, 1.999512, 1.383301, 1.59967, 2.63269, 1.849548, 2.349548, 3.866394, 3.432617, 2.566345, 9.981628, 6.515381, 5.415588, 2.516113, 7.798645, 3.582947]
Shot time (s): [3.71582, 0.7830811, 1.049744, 2.482727, 4.216003, 2.616211, 1.566162, 2.083252, 1.582581, 1.183105, 4.332397, 4.965454, 3.516296, 1.249878, 1.599487, 11.33142, 1.766541, 2.182922, 2.315735, 1.749756, 1.599548, 1.466553, 5.615234, 3.116333, 1.849304, 3.03302, 6.59845, 1.583069, 4.399109, 2.216187]
Step time (s): [2.299561, 1.033203, 2.316101, 1.183228, 2.433289, 0.8995361, 5.282349, 7.082275, 4.015442, 2.599609, 2.832703, 1.433289, 3.732117, 1.24939, 4.499146, 2.166199, 2.199585, 2.199829, 5.482239, 0.6994629, 1.582764, 1.966248, 1.599854, 2.666138, 2.432678, 10.29785, 2.832764, 1.466431, 1.149475, 1.649719]
White horz (deg): [30.27748, 215.7374, 132.1649, 562.2372, 17.24249, 200.475, 194.1225, 188.3474, 152.7074, 262.3499, 141.075, 166.0724, 172.59, 155.925, 614.6249, 199.5674, 115.665, 88.19245, 270.435, 125.2349, 318.7798, 579.645, 217.1399, 226.2974, 1630.199, 1021.35, 838.5297, 359.8648, 1709.152, 403.1772]
Shot horz (deg): [283.7998, 16.16999, 22.43999, 136.2899, 495.0824, 288.0073, 46.36498, 119.5424, 99.98996, 55.10995, 444.5098, 547.7997, 359.3698, 81.09747, 120.0375, 2058.539, 133.155, 222.3375, 323.3999, 202.3725, 146.3549, 109.3124, 836.137, 657.0298, 251.9549, 434.1149, 1027.372, 118.0574, 747.9446, 228.1949]
Step horz (deg): [155.6774, 45.37499, 183.645, 51.31497, 135.2175, 15.17999, 531.3823, 854.617, 493.1023, 310.4474, 336.6824, 124.9049, 373.5598, 68.72247, 607.1998, 206.7449, 239.0024, 183.6449, 721.4615, 34.15499, 73.42496, 242.3024, 165.9075, 239.085, 188.3474, 1406.79, 286.4398, 154.8524, 27.71999, 57.74996]
White vert (deg): [31.76249, 143.5499, 86.45997, 446.9023, 24.17249, 202.2074, 192.9675, 64.84494, 85.71746, 165.2474, 140.2499, 142.3124, 96.44247, 217.9649, 391.2148, 84.97495, 69.79498, 74.08495, 199.9799, 26.23498, 115.5825, 221.0173, 246.345, 206.0849, 777.9751, 243.5398, 251.9548, 90.25496, 439.9718, 213.9224]
Shot vert (deg): [153.1199, 18.80999, 36.62998, 73.67245, 331.5673, 103.1249, 18.06749, 172.8374, 60.38999, 33.16498, 341.5499, 311.1899, 215.7374, 50.48997, 51.39748, 1156.072, 57.50246, 114.3449, 127.215, 50.32497, 52.05748, 81.75746, 222.5023, 107.0024, 30.02998, 161.6174, 280.0872, 42.32246, 207.8174, 77.46745]
Step vert (deg): [111.7874, 9.404994, 117.2324, 26.15248, 124.9874, 30.60749, 419.6772, 623.1226, 330.0823, 118.4699, 191.7299, 61.95747, 119.1299, 23.51249, 363.4124, 99.41246, 58.90496, 97.51493, 433.7022, 14.84999, 93.47246, 100.32, 31.59748, 210.3749, 83.48994, 1101.127, 114.3449, 41.24999, 38.52747, 211.5299]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
752.74: (-0.99, -0.07, 0.08): 2
752.74: (0.36, 0.92, 0.12)
752.84: (0.36, 0.92, 0.12)
752.95: (0.37, 0.92, 0.11)
753.07: (0.37, 0.92, 0.11)
753.19: (0.37, 0.92, 0.11)
753.29: (0.27, 0.96, 0.04)
753.40: (-0.06, 1.00, 0.00)
753.52: (-0.23, 0.96, -0.13)
753.64: (-0.45, 0.75, -0.48)
753.75: (-0.43, 0.69, -0.58)
753.87: (-0.50, 0.71, -0.49)
753.99: (-0.74, 0.57, -0.37)
754.09: (-0.94, 0.15, -0.29)
754.19: (-0.95, -0.10, -0.28)
754.30: (-0.88, -0.15, -0.45)
754.42: (-0.86, -0.24, -0.45)
754.54: (-0.96, -0.08, -0.25)
754.64: (-0.99, 0.02, -0.13)
754.75: (-1.00, 0.05, -0.07)
754.87: (-1.00, 0.01, 0.06)
754.97: (-0.99, -0.02, 0.11)
755.04: (-0.99, -0.02, 0.11)
755.04: (0.67, 0.49, 0.56): 1
755.09: (-0.99, -0.02, 0.11)
755.20: (-0.99, -0.04, 0.10)
755.30: (-0.99, -0.06, 0.10)
755.42: (-0.99, -0.06, 0.10)
755.54: (-0.96, -0.18, 0.20)
755.65: (-0.87, -0.37, 0.33)
755.77: (-0.77, -0.56, 0.32)
755.87: (-0.55, -0.80, 0.24)
755.99: (-0.34, -0.92, 0.20)
756.10: (-0.12, -0.98, 0.14)
756.22: (0.15, -0.98, -0.10)
756.34: (0.05, -0.85, -0.53)
756.44: (0.06, -0.75, -0.66)
756.55: (0.31, -0.75, -0.58)
756.67: (0.51, -0.61, -0.61)
756.79: (0.73, -0.30, -0.61)
756.90: (0.91, 0.15, -0.39)
757.02: (0.97, 0.19, -0.16)
757.14: (0.97, 0.12, -0.21)
757.25: (0.97, 0.12, -0.21)
757.37: (0.97, 0.12, -0.21)
757.49: (0.98, 0.12, -0.15)
757.59: (0.93, 0.26, 0.25)
757.70: (0.66, 0.47, 0.58)
757.80: (0.61, 0.51, 0.60)
757.92: (0.63, 0.52, 0.58)
758.04: (0.62, 0.46, 0.63)
758.15: (0.64, 0.41, 0.66)
758.25: (0.66, 0.39, 0.64)
758.35: (0.76, 0.31, 0.57)
758.47: (0.74, 0.36, 0.57)
758.57: (0.67, 0.47, 0.57)
758.69: (0.65, 0.50, 0.58)
758.75: (0.65, 0.50, 0.58)
758.75: (0.98, -0.06, 0.16): 2
758.80: (0.65, 0.50, 0.58)
758.90: (0.65, 0.50, 0.58)
759.02: (0.66, 0.49, 0.57)
759.14: (0.76, 0.39, 0.52)
759.25: (0.93, 0.16, 0.33)
759.35: (0.95, 0.13, 0.28)
759.47: (0.95, 0.13, 0.30)
759.59: (0.97, 0.05, 0.25)
759.70: (0.98, -0.04, 0.18)
759.79: (0.98, -0.04, 0.19)
759.79: (0.97, -0.12, -0.21): 1
759.80: (0.98, -0.04, 0.19)
759.92: (0.98, -0.04, 0.19)
760.04: (0.98, -0.04, 0.19)
760.15: (0.99, -0.07, 0.13)
760.27: (0.99, -0.11, -0.07)
760.39: (0.98, -0.10, -0.16)
760.49: (0.97, -0.10, -0.21)
760.57: (0.97, -0.10, -0.23)
760.57: (-0.73, 0.58, -0.36): 2
760.60: (0.97, -0.10, -0.23)
760.70: (0.97, -0.10, -0.23)
760.82: (0.97, -0.12, -0.22)
760.94: (0.96, -0.17, -0.23)
761.05: (0.97, -0.15, -0.17)
761.17: (0.99, -0.11, 0.03)
761.29: (0.99, -0.08, 0.14)
761.40: (0.88, 0.16, 0.44)
761.52: (0.64, 0.42, 0.64)
761.64: (0.42, 0.65, 0.63)
761.74: (0.29, 0.87, 0.40)
761.85: (0.19, 0.97, 0.13)
761.97: (-0.16, 0.99, -0.05)
762.09: (-0.54, 0.83, -0.10)
762.19: (-0.77, 0.64, -0.01)
762.30: (-0.82, 0.55, 0.12)
762.40: (-0.78, 0.63, -0.02)
762.52: (-0.73, 0.66, -0.18)
762.62: (-0.72, 0.65, -0.25)
762.74: (-0.73, 0.61, -0.31)
762.85: (-0.74, 0.58, -0.33)
762.89: (-0.75, 0.58, -0.34)
762.89: (-0.93, 0.30, 0.19): 1
762.97: (-0.75, 0.57, -0.33)
763.07: (-0.76, 0.57, -0.32)
763.19: (-0.76, 0.57, -0.32)
763.30: (-0.82, 0.50, -0.27)
763.42: (-0.92, 0.38, 0.03)
763.52: (-0.90, 0.41, 0.15)
763.64: (-0.90, 0.42, 0.14)
763.75: (-0.91, 0.38, 0.18)
763.87: (-0.92, 0.33, 0.23)
763.93: (-0.92, 0.32, 0.23)
763.93: (-0.87, -0.21, 0.45): 0
763.99: (-0.92, 0.31, 0.23)
764.10: (-0.92, 0.31, 0.23)
764.22: (-0.92, 0.32, 0.23)
764.33: (-0.92, 0.25, 0.30)
764.45: (-0.88, 0.03, 0.48)
764.57: (-0.83, -0.16, 0.53)
764.68: (-0.87, -0.19, 0.46)
764.79: (-0.89, -0.21, 0.41)
764.90: (-0.88, -0.24, 0.41)
764.97: (-0.87, -0.25, 0.42)
764.97: (-0.50, -0.86, 0.12): 2
765.02: (-0.87, -0.25, 0.42)
765.13: (-0.86, -0.25, 0.43)
765.25: (-0.87, -0.24, 0.44)
765.37: (-0.83, -0.36, 0.42)
765.48: (-0.69, -0.60, 0.40)
765.60: (-0.53, -0.77, 0.36)
765.72: (-0.51, -0.80, 0.31)
765.82: (-0.53, -0.82, 0.22)
765.93: (-0.50, -0.86, 0.08)
766.05: (-0.49, -0.87, 0.05)
766.15: (-0.49, -0.87, 0.04)
