4/1/2023 1:11:46 PM
Mode: Default
White time (s): [1.433228, 0.9996948, 2.482819, 0.9662476, 1.216675, 0.6664124, 0.7832947, 1.149872, 1.333405, 2.282532, 1.566345, 1.116455, 1.816315, 0.5829468, 0.9335022, 0.483429, 1.199677, 0.3832703, 1.0336, 1.166687, 1.449707, 3.049469, 1.616455, 0.9332275, 0.9828491, 0.8167419, 1.533325, 0.6497803, 1.08313, 0.5663452]
Shot time (s): [1.399414, 0.4498901, 1.616333, 1.200043, 2.416077, 1.849487, 0.7828979, 1.266571, 0.8334961, 1.149506, 1.366516, 1.049347, 1.266541, 1.783234, 1.133301, 1.36676, 0.9827271, 1.566315, 2.333038, 1.549591, 1.549622, 0.9829102, 1.682678, 2.016113, 0.6167603, 2.082947, 0.6995544, 2.46637, 0.599884, 1.932953]
Step time (s): [2.666168, 1.31636, 1.516113, 3.365829, 5.449432, 0.3999634, 0.8996887, 1.349579, 0.9498901, 0.4998779, 0.8666687, 0.4998169, 1.083191, 0.9665833, 2.133301, 1.149628, 0.5327759, 1.13269, 1.116791, 0.5997009, 0.6995239, 1.34964, 1.083313, 1.799713, 1.899261, 1.616547, 0.4664307, 1.799774, 4.848724, 1.683014]
White horz (deg): [197.505, 108.68, 336.325, 123.42, 162.58, 28.27, 77.11001, 151.91, 140.25, 240.2399, 216.92, 134.585, 251.955, 20.35, 88.76999, 2.31, 162.8, 14.685, 139.645, 178.86, 127.765, 484.055, 237.875, 99.275, 130.24, 65.725, 153.01, 15.895, 162.91, 40.535]
Shot horz (deg): [158.895, 3.795, 237.765, 120.615, 239.085, 183.6999, 45.155, 135.575, 87.83501, 139.26, 140.91, 19.855, 150.37, 162.6899, 146.465, 142.725, 109.065, 164.0099, 301.5651, 196.515, 150.865, 192.6101, 201.0799, 206.745, 25.19, 232.8699, 14.96, 332.475, 5.004999, 181.5]
Step horz (deg): [390.7749, 134.64, 175.285, 582.5599, 781.11, 1.76, 41.03, 96.47, 178.585, 11.33, 129.305, 15.565, 132.99, 134.2, 226.4899, 127.545, 28.545, 111.65, 119.13, 45.75999, 46.75, 133.87, 146.3, 285.945, 216.755, 159.61, 4.73, 278.41, 450.89, 203.28]
White vert (deg): [33.22, 63.14, 242.88, 31.955, 47.85, 40.37, 15.565, 30.14, 51.09499, 227.095, 137.06, 38.995, 95.425, 23.045, 10.78, 8.249999, 69.46499, 5.885, 24.2, 104.335, 112.86, 253.3299, 150.7, 48.235, 44.77001, 27.17, 138.93, 29.755, 58.63, 6.215]
Shot vert (deg): [78.43001, 12.32, 42.075, 67.485, 225.3349, 162.415, 23.485, 93.06, 57.035, 43.33999, 36.3, 68.86, 25.41, 117.15, 40.205, 65.83501, 27.445, 53.075, 158.125, 53.185, 103.51, 38.06001, 57.915, 105.765, 45.925, 67.10001, 27.72, 159.17, 7.81, 180.235]
Step vert (deg): [161.865, 25.63, 46.915, 207.13, 330.495, 1.76, 36.41, 22.055, 22.66, 4.18, 59.565, 2.42, 16.885, 72.43499, 141.295, 42.57, 16.83, 42.735, 22.495, 22.11, 9.954999, 43.01, 53.79, 74.855, 63.415, 50.98499, 1.98, 87.175, 386.2099, 73.92001]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
241.87: (0.81, 0.42, -0.41): 2
241.87: (-0.81, 0.10, -0.57)
241.99: (-0.81, 0.10, -0.57)
242.11: (-0.81, 0.10, -0.58)
242.22: (-0.80, -0.04, -0.59)
242.34: (-0.60, -0.56, -0.57)
242.46: (-0.42, -0.74, -0.52)
242.57: (-0.50, -0.63, -0.59)
242.69: (-0.72, 0.18, -0.67)
242.79: (-0.43, 0.89, -0.17)
242.91: (-0.24, 0.97, 0.02)
243.01: (-0.24, 0.97, 0.02)
243.12: (-0.24, 0.97, 0.02)
243.24: (-0.12, 0.96, 0.27)
243.35: (0.07, 0.37, 0.93)
243.46: (0.10, 0.12, 0.99)
243.56: (0.18, 0.02, 0.98)
243.67: (0.49, -0.30, 0.82)
243.77: (0.60, -0.55, 0.58)
243.89: (0.56, -0.69, 0.46)
244.01: (0.81, -0.59, 0.06)
244.11: (0.99, -0.14, 0.04)
244.22: (0.98, 0.18, 0.10)
244.34: (0.91, 0.42, 0.07)
244.46: (0.86, 0.44, -0.26)
244.54: (0.79, 0.33, -0.51)
244.54: (-0.82, -0.35, -0.45): 2
244.57: (0.79, 0.32, -0.53)
244.69: (0.78, 0.34, -0.52)
244.81: (0.79, 0.35, -0.51)
244.92: (0.79, 0.34, -0.51)
245.02: (0.79, 0.34, -0.51)
245.14: (0.80, 0.33, -0.50)
245.26: (0.78, 0.28, -0.56)
245.37: (0.38, -0.09, -0.92)
245.49: (-0.18, -0.33, -0.93)
245.60: (-0.28, -0.39, -0.88)
245.72: (-0.59, -0.47, -0.66)
245.82: (-0.85, -0.36, -0.38)
245.85: (-0.88, -0.32, -0.35)
245.85: (0.74, 0.66, 0.13): 2
245.94: (-0.87, -0.33, -0.36)
246.05: (-0.86, -0.36, -0.37)
246.17: (-0.86, -0.36, -0.37)
246.27: (-0.86, -0.36, -0.37)
246.39: (-0.86, -0.36, -0.37)
246.49: (-0.86, -0.36, -0.37)
246.60: (-0.86, -0.36, -0.37)
246.72: (-0.82, -0.38, -0.42)
246.84: (-0.16, -0.63, -0.76)
246.95: (0.85, 0.02, -0.53)
247.07: (0.77, 0.62, 0.14)
247.19: (0.77, 0.62, 0.14)
247.30: (0.77, 0.62, 0.14)
247.37: (0.77, 0.62, 0.13)
247.37: (0.66, -0.74, 0.13): 2
247.42: (0.77, 0.62, 0.13)
247.54: (0.77, 0.62, 0.13)
247.65: (0.77, 0.62, 0.13)
247.75: (0.77, 0.62, 0.13)
247.87: (0.77, 0.62, 0.13)
247.99: (0.77, 0.62, 0.13)
248.10: (0.78, 0.61, 0.13)
248.22: (0.87, 0.32, -0.37)
248.34: (0.41, -0.49, -0.77)
248.45: (0.15, -0.63, -0.76)
248.55: (0.01, -0.74, -0.68)
248.67: (-0.31, -0.87, -0.38)
248.79: (-0.32, -0.89, -0.32)
248.90: (0.18, -0.53, -0.83)
249.02: (0.46, 0.27, -0.85)
249.14: (0.67, 0.56, -0.48)
249.25: (0.77, 0.63, 0.00)
249.37: (0.46, 0.53, 0.71)
249.49: (-0.11, 0.14, 0.98)
249.60: (-0.38, -0.22, 0.90)
249.72: (-0.28, -0.61, 0.74)
249.82: (0.07, -0.93, 0.35)
249.94: (0.08, -0.98, 0.18)
250.05: (-0.37, -0.92, -0.13)
250.17: (-0.56, -0.75, -0.35)
250.29: (-0.23, -0.96, -0.17)
250.39: (0.18, -0.98, 0.02)
250.50: (0.42, -0.89, 0.16)
250.62: (0.59, -0.76, 0.26)
250.74: (0.67, -0.70, 0.24)
250.74: (0.78, 0.57, 0.27): 2
250.74: (0.67, -0.70, 0.24)
250.84: (0.67, -0.71, 0.23)
250.94: (0.63, -0.70, 0.34)
251.05: (0.59, -0.68, 0.44)
251.17: (0.59, -0.68, 0.44)
251.27: (0.57, -0.67, 0.47)
251.39: (0.42, -0.87, 0.25)
251.50: (0.21, -0.93, -0.30)
251.62: (0.51, -0.74, 0.44)
251.74: (0.29, 0.48, 0.83)
251.85: (0.11, 0.79, 0.60)
251.97: (0.02, 0.88, 0.47)
252.07: (-0.15, 0.98, 0.13)
252.19: (-0.21, 0.98, -0.04)
252.30: (-0.18, 0.98, -0.02)
252.42: (-0.15, 0.99, 0.01)
252.52: (-0.15, 0.99, 0.01)
252.64: (-0.17, 0.99, 0.02)
252.75: (-0.10, 0.88, 0.47)
