334.45: (0.81, 0.56, -0.19)
334.57: (0.80, 0.56, -0.19)
334.69: (0.80, 0.57, -0.18)
334.80: (0.80, 0.59, -0.06)
334.92: (0.76, 0.59, 0.25)
335.02: (0.72, 0.43, 0.54)
335.12: (0.67, 0.05, 0.74)
335.24: (0.48, -0.43, 0.76)
335.35: (0.66, -0.44, 0.61)
335.47: (0.92, -0.24, 0.32)
335.57: (0.95, -0.24, 0.21)
335.67: (0.95, -0.26, 0.19)
335.77: (0.97, -0.20, 0.13)
335.89: (0.99, -0.12, 0.05)
335.97: (0.99, -0.11, 0.05)
335.97: (-0.74, 0.65, 0.15): 0
336.00: (0.99, -0.11, 0.05)
336.12: (0.99, -0.11, 0.05)
336.24: (0.98, -0.13, 0.14)
336.35: (0.84, -0.25, 0.47)
336.47: (0.64, -0.35, 0.69)
336.59: (0.31, -0.57, 0.76)
336.69: (0.10, -0.76, 0.64)
336.80: (-0.10, -0.94, 0.32)
336.90: (-0.22, -0.98, -0.03)
337.00: (-0.35, -0.88, -0.32)
337.12: (-0.58, -0.61, -0.54)
337.24: (-0.72, -0.28, -0.64)
337.35: (-0.88, 0.14, -0.45)
337.47: (-0.90, 0.44, -0.01)
337.57: (-0.83, 0.49, 0.25)
337.69: (-0.85, 0.50, 0.19)
337.80: (-0.82, 0.56, 0.12)
337.92: (-0.76, 0.62, 0.19)
337.99: (-0.75, 0.63, 0.20)
337.99: (0.52, 0.44, 0.73): 0
338.04: (-0.75, 0.63, 0.20)
338.15: (-0.75, 0.63, 0.21)
338.27: (-0.74, 0.61, 0.28)
338.37: (-0.65, 0.60, 0.47)
338.49: (-0.43, 0.50, 0.75)
338.60: (-0.19, 0.28, 0.94)
338.72: (0.09, 0.10, 0.99)
338.84: (0.25, 0.26, 0.93)
338.95: (0.40, 0.42, 0.82)
339.05: (0.51, 0.40, 0.76)
339.17: (0.53, 0.38, 0.76)
339.19: (0.53, 0.38, 0.76)
339.19: (-0.66, 0.73, 0.21): 1
339.29: (0.53, 0.37, 0.76)
339.40: (0.51, 0.37, 0.78)
339.50: (0.54, 0.27, 0.80)
339.62: (0.54, 0.27, 0.80)
339.74: (0.54, 0.27, 0.80)
339.85: (0.54, 0.27, 0.80)
339.97: (0.57, 0.26, 0.78)
340.09: (0.74, 0.55, 0.40)
340.20: (0.70, 0.70, 0.13)
340.30: (0.67, 0.73, -0.14)
340.42: (0.55, 0.64, -0.54)
340.52: (0.37, 0.43, -0.82)
340.64: (0.18, -0.03, -0.98)
340.75: (0.12, -0.54, -0.83)
340.87: (0.16, -0.88, -0.45)
340.99: (0.35, -0.93, -0.09)
341.10: (0.66, -0.75, 0.03)
341.20: (0.86, -0.51, -0.03)
341.32: (0.98, -0.14, -0.11)
341.44: (0.96, 0.26, -0.14)
341.55: (0.83, 0.56, -0.05)
341.67: (0.66, 0.75, 0.08)
341.79: (0.43, 0.87, 0.25)
341.89: (0.25, 0.82, 0.52)
342.00: (0.09, 0.55, 0.83)
342.12: (-0.03, 0.08, 1.00)
342.22: (-0.05, -0.31, 0.95)
342.34: (0.02, -0.63, 0.77)
342.45: (0.15, -0.86, 0.49)
342.57: (0.31, -0.94, 0.11)
342.67: (0.32, -0.90, -0.31)
342.79: (0.34, -0.64, -0.69)
342.90: (0.39, -0.30, -0.87)
343.00: (0.32, -0.04, -0.95)
343.12: (0.15, 0.31, -0.94)
343.24: (0.34, 0.55, -0.77)
343.35: (0.80, 0.44, -0.41)
343.45: (1.00, 0.02, -0.04)
343.57: (0.74, -0.58, 0.34)
343.69: (-0.13, -0.93, 0.34)
343.79: (-0.86, -0.51, -0.03)
343.90: (-0.94, 0.10, -0.33)
344.00: (-0.79, 0.43, -0.43)
344.12: (-0.59, 0.66, -0.46)
344.24: (-0.37, 0.82, -0.44)
344.35: (-0.46, 0.87, -0.20)
344.47: (-0.64, 0.76, 0.01)
344.57: (-0.67, 0.74, 0.06)
344.69: (-0.64, 0.76, 0.09)
344.80: (-0.64, 0.75, 0.16)
344.80: (0.48, -0.64, -0.60): 2
344.80: (-0.64, 0.75, 0.16)
344.92: (-0.64, 0.75, 0.16)
345.03: (-0.65, 0.75, 0.13)
345.14: (-0.70, 0.71, 0.08)
345.25: (-0.73, 0.69, 0.00)
345.37: (-0.73, 0.68, -0.08)
345.49: (-0.86, 0.49, -0.14)
345.60: (-0.98, 0.16, -0.10)
345.72: (-0.97, -0.22, -0.11)
345.82: (-0.82, -0.54, -0.18)
345.93: (-0.73, -0.66, -0.17)
346.04: (-0.77, -0.63, 0.07)
346.15: (-0.72, -0.58, 0.39)
346.27: (-0.63, -0.42, 0.65)
346.38: (-0.57, -0.17, 0.80)
346.48: (-0.58, 0.21, 0.79)
346.60: (-0.54, 0.69, 0.48)
346.72: (-0.44, 0.89, 0.06)
346.83: (-0.35, 0.85, -0.38)
346.95: (-0.28, 0.64, -0.71)
347.05: (-0.30, 0.41, -0.86)
347.15: (-0.39, 0.18, -0.90)
347.27: (-0.47, -0.09, -0.88)
347.38: (-0.47, -0.29, -0.83)
347.50: (-0.39, -0.50, -0.77)
347.62: (-0.13, -0.76, -0.64)
347.73: (0.17, -0.86, -0.49)
347.83: (0.27, -0.83, -0.49)
347.95: (0.30, -0.78, -0.55)
348.07: (0.40, -0.74, -0.53)
348.18: (0.47, -0.71, -0.52)
348.22: (0.47, -0.71, -0.52)
348.22: (0.96, 0.06, 0.27): 1
348.30: (0.47, -0.71, -0.52)
348.42: (0.47, -0.71, -0.53)
348.52: (0.46, -0.70, -0.54)
348.63: (0.44, -0.70, -0.56)
348.75: (0.18, -0.67, -0.72)
348.87: (-0.07, -0.43, -0.90)
348.98: (-0.11, -0.04, -0.99)
349.10: (-0.04, 0.35, -0.94)
349.20: (0.12, 0.58, -0.81)
349.30: (0.36, 0.66, -0.66)
349.42: (0.56, 0.65, -0.51)
349.53: (0.75, 0.56, -0.35)
349.65: (0.91, 0.40, -0.12)
349.75: (0.96, 0.24, 0.12)
349.87: (0.94, 0.13, 0.32)
349.98: (0.96, 0.13, 0.26)
350.10: (0.97, 0.12, 0.19)
350.18: (0.97, 0.12, 0.19)
350.18: (-0.19, 0.76, 0.62): 2
350.20: (0.97, 0.12, 0.19)
350.32: (0.97, 0.12, 0.19)
350.42: (0.98, 0.12, 0.18)
350.53: (0.93, 0.37, 0.02)
350.65: (0.74, 0.65, -0.18)
350.77: (0.69, 0.66, -0.31)
350.88: (0.69, 0.66, -0.31)
351.00: (0.63, 0.75, -0.21)
351.10: (0.56, 0.83, 0.04)
351.22: (0.61, 0.74, 0.29)
351.33: (0.73, 0.54, 0.42)
351.45: (0.82, 0.32, 0.48)
351.57: (0.88, 0.04, 0.46)
351.68: (0.89, -0.25, 0.37)
351.78: (0.93, -0.30, 0.22)
351.90: (0.97, -0.26, 0.01)
352.02: (0.98, -0.13, -0.14)
352.13: (0.98, -0.12, -0.15)
352.23: (0.98, -0.12, -0.15)
352.35: (0.98, -0.12, -0.15)
352.47: (0.98, -0.12, -0.15)
352.57: (0.98, -0.12, -0.15)
352.68: (0.99, 0.07, -0.15)
352.78: (1.00, -0.05, -0.02)
352.90: (0.91, -0.38, 0.16)
353.02: (0.69, -0.70, 0.16)
353.12: (0.49, -0.87, 0.05)
353.23: (0.26, -0.95, -0.16)
353.33: (0.11, -0.92, -0.38)
353.45: (-0.05, -0.82, -0.57)
353.57: (-0.13, -0.73, -0.67)
353.67: (-0.23, -0.62, -0.75)
353.78: (-0.40, -0.73, -0.55)
353.88: (-0.52, -0.81, -0.28)
354.00: (-0.53, -0.85, 0.02)
354.12: (-0.42, -0.86, 0.30)
354.23: (-0.31, -0.83, 0.46)
354.33: (-0.31, -0.83, 0.46)
354.45: (-0.28, -0.88, 0.38)
354.57: (0.08, -0.98, 0.16)
354.68: (0.79, -0.61, 0.00)
354.78: (0.99, -0.11, -0.12)
354.90: (0.92, 0.39, -0.11)
355.02: (0.64, 0.77, 0.04)
355.13: (0.33, 0.93, 0.18)
355.25: (0.03, 0.96, 0.28)
355.37: (-0.40, 0.86, 0.33)
355.47: (-0.64, 0.68, 0.35)
355.58: (-0.50, 0.74, 0.45)
355.70: (-0.37, 0.76, 0.53)
355.80: (-0.37, 0.76, 0.54)
355.92: (-0.30, 0.77, 0.56)
356.03: (-0.27, 0.78, 0.56)
356.05: (-0.27, 0.78, 0.56)
356.05: (-0.63, 0.69, -0.35): 1
356.13: (-0.26, 0.79, 0.56)
356.25: (-0.26, 0.79, 0.56)
356.37: (-0.38, 0.73, 0.57)
356.48: (-0.59, 0.54, 0.60)
356.60: (-0.70, 0.29, 0.65)
356.72: (-0.76, 0.01, 0.65)
356.83: (-0.79, -0.27, 0.55)
356.93: (-0.83, -0.44, 0.34)
357.05: (-0.86, -0.50, 0.02)
357.17: (-0.87, -0.42, -0.26)
357.27: (-0.90, -0.25, -0.36)
357.37: (-0.93, -0.06, -0.37)
357.47: (-0.93, 0.06, -0.36)
357.57: (-0.93, 0.06, -0.36)
357.68: (-0.93, 0.06, -0.36)
357.80: (-0.93, 0.06, -0.36)
357.92: (-0.93, 0.06, -0.36)
358.03: (-0.87, 0.04, -0.50)
358.13: (-0.63, -0.26, -0.74)
358.25: (-0.11, -0.54, -0.83)
358.37: (0.20, -0.69, -0.70)
358.48: (-0.02, -0.64, -0.77)
358.60: (-0.52, -0.37, -0.77)
358.70: (-0.62, -0.21, -0.75)
358.82: (-0.62, -0.10, -0.78)
358.93: (-0.60, 0.14, -0.79)
359.05: (-0.61, 0.34, -0.71)
359.17: (-0.57, 0.46, -0.67)
359.28: (-0.55, 0.63, -0.54)
359.40: (-0.61, 0.67, -0.42)
359.50: (-0.61, 0.67, -0.41)
359.53: (-0.61, 0.67, -0.41)
359.53: (0.48, -0.55, 0.68): 0
359.62: (-0.61, 0.67, -0.41)
359.73: (-0.61, 0.67, -0.41)
359.83: (-0.60, 0.64, -0.48)
359.95: (-0.52, 0.33, -0.79)
360.07: (-0.38, -0.08, -0.92)
360.18: (-0.24, -0.44, -0.86)
360.30: (-0.15, -0.77, -0.62)
360.42: (-0.06, -0.98, -0.17)
360.52: (-0.13, -0.98, 0.15)
360.62: (-0.30, -0.90, 0.32)
360.73: (-0.52, -0.78, 0.34)
360.85: (-0.66, -0.70, 0.29)
360.97: (-0.53, -0.78, 0.34)
361.08: (0.05, -0.89, 0.46)
361.20: (0.64, -0.65, 0.41)
361.30: (0.91, -0.33, 0.26)
361.42: (0.97, -0.19, 0.17)
361.53: (0.82, -0.40, 0.42)
361.65: (0.65, -0.46, 0.60)
361.75: (0.64, -0.46, 0.61)
361.86: (0.57, -0.55, 0.61)
361.98: (0.52, -0.60, 0.60)
362.00: (0.52, -0.60, 0.60)
362.00: (-0.50, 0.48, 0.72): 0
362.08: (0.52, -0.60, 0.60)
362.20: (0.56, -0.58, 0.59)
362.30: (0.81, -0.40, 0.43)
362.42: (0.98, -0.13, 0.11)
362.53: (0.98, 0.10, -0.18)
362.65: (0.94, 0.26, -0.23)
362.76: (0.84, 0.47, -0.28)
362.86: (0.64, 0.67, -0.38)
362.97: (0.27, 0.80, -0.54)
363.08: (-0.29, 0.68, -0.67)
363.20: (-0.66, 0.33, -0.67)
363.31: (-0.74, -0.01, -0.67)
363.43: (-0.64, -0.25, -0.73)
363.55: (-0.43, -0.44, -0.79)
363.66: (-0.17, -0.57, -0.80)
363.78: (0.08, -0.70, -0.71)
363.88: (0.28, -0.87, -0.41)
364.00: (0.40, -0.91, 0.06)
364.11: (0.15, -0.83, 0.54)
364.23: (-0.21, -0.73, 0.65)
364.35: (-0.52, -0.64, 0.56)
364.45: (-0.78, -0.47, 0.42)
364.56: (-0.95, -0.21, 0.24)
364.68: (-1.00, 0.05, 0.03)
364.80: (-0.95, 0.25, -0.15)
364.90: (-0.88, 0.44, -0.19)
365.01: (-0.79, 0.60, 0.10)
365.13: (-0.71, 0.54, 0.45)
365.25: (-0.61, 0.44, 0.66)
365.36: (-0.53, 0.37, 0.76)
365.43: (-0.53, 0.37, 0.76)
365.43: (-0.53, 0.40, 0.75): 1
365.48: (-0.53, 0.37, 0.76)
365.60: (-0.53, 0.37, 0.76)
365.71: (-0.57, 0.34, 0.75)
365.83: (-0.73, 0.23, 0.65)
365.95: (-0.69, 0.27, 0.67)
366.05: (-0.62, 0.32, 0.72)
366.16: (-0.59, 0.33, 0.74)
366.25: (-0.58, 0.33, 0.75)
366.25: (0.07, -0.87, 0.48): 1
366.28: (-0.58, 0.33, 0.75)
366.38: (-0.58, 0.33, 0.75)
366.50: (-0.61, 0.34, 0.72)
366.61: (-0.71, 0.46, 0.53)
366.73: (-0.70, 0.68, 0.22)
366.85: (-0.71, 0.69, -0.16)
366.96: (-0.74, 0.44, -0.51)
367.08: (-0.73, -0.14, -0.67)
367.18: (-0.54, -0.71, -0.46)
367.30: (-0.05, -1.00, 0.06)
367.41: (0.43, -0.72, 0.55)
367.53: (0.61, -0.30, 0.74)
367.63: (0.55, -0.39, 0.74)
367.75: (0.40, -0.59, 0.70)
367.85: (0.27, -0.69, 0.67)
367.95: (0.22, -0.74, 0.64)
368.06: (0.16, -0.79, 0.59)
368.18: (0.13, -0.82, 0.56)
368.21: (0.13, -0.82, 0.56)
368.21: (0.28, 0.88, -0.39): 2
368.30: (0.12, -0.82, 0.56)
368.41: (0.12, -0.82, 0.56)
368.53: (0.13, -0.83, 0.54)
368.65: (0.23, -0.85, 0.46)
368.76: (0.44, -0.79, 0.42)
368.88: (0.67, -0.61, 0.42)
368.98: (0.79, -0.45, 0.41)
369.10: (0.90, -0.14, 0.42)
369.21: (0.80, 0.31, 0.52)
369.31: (0.56, 0.62, 0.55)
369.43: (0.26, 0.85, 0.47)
369.55: (0.07, 0.95, 0.31)
369.66: (0.07, 1.00, -0.02)
369.78: (0.24, 0.87, -0.43)
369.90: (0.39, 0.64, -0.67)
370.00: (0.40, 0.62, -0.67)
370.11: (0.35, 0.77, -0.54)
370.23: (0.28, 0.85, -0.44)
370.35: (0.26, 0.87, -0.43)
370.41: (0.25, 0.87, -0.42)
