3/28/2023 12:15:08 PM
Mode: Stereo
White time (s): [1.666321, 1.599487, 0.916687, 0.6997986, 2.383026, 0.683197, 0.7500305, 2.966064, 1.049957, 2.249268, 2.732666, 1.299713, 0.8331604, 3.982483, 0.8164368, 1.44989, 1.516235, 1.266235, 1.999573, 1.249756, 0.7162476, 0.833313, 2.249451, 0.6166992, 1.782959, 1.499756, 3.36554, 1.516907, 3.615601, 1.71637]
Shot time (s): [0.849884, 3.049438, 2.732849, 3.415924, 1.816132, 0.9830933, 1.516357, 1.500275, 2.332855, 1.216492, 1.466461, 1.416138, 0.9332581, 1.116455, 1.84967, 2.549622, 0.7497864, 1.533234, 4.515472, 1.433258, 2.399658, 0.7330933, 1.083252, 4.549255, 0.5831299, 0.6499023, 0.8831787, 1.049561, 1.749878, 2.365967]
Step time (s): [2.682739, 2.182892, 5.132385, 1.999542, 1.383301, 2.216125, 1.399811, 8.698059, 1.166748, 2.799347, 2.998871, 6.048615, 2.016266, 1.066376, 6.982086, 3.649292, 0.8831787, 0.7832642, 2.716309, 0.7832642, 0.6832275, 1.582947, 0.6330566, 0.699646, 2.132874, 3.315979, 5.615784, 3.899231, 0.5665283, 4.749207]
White horz (deg): [282.1, 135.38, 17.57, 43.39999, 205.45, 39.47998, 53.54998, 508.8299, 126.6999, 203.84, 411.2499, 129.01, 44.09999, 788.8999, 34.29999, 144.2699, 213.29, 124.88, 139.16, 128.1699, 65.58997, 71.95997, 297.36, 57.81999, 122.4999, 164.36, 261.38, 163.7299, 389.48, 287.2099]
Shot horz (deg): [40.59998, 308.2101, 391.7899, 350.0699, 120.05, 108.36, 181.79, 183.75, 220.29, 165.6199, 137.83, 76.08996, 61.45997, 156.24, 217.2099, 299.0401, 79.52, 289.0999, 490.9799, 171.0799, 273.21, 43.60999, 68.24997, 519.2601, 43.88999, 46.40998, 53.19998, 81.05996, 231.14, 242.9]
Step horz (deg): [326.83, 315.56, 693.0698, 221.69, 163.8, 227.71, 274.8899, 1019.83, 41.64997, 417.9699, 332.6399, 647.9198, 191.52, 109.48, 700.3502, 464.3099, 66.84998, 44.72998, 247.45, 61.80998, 77.41998, 177.24, 42.69999, 22.18999, 267.2599, 446.6, 699.02, 575.3296, 31.28999, 630.7698]
White vert (deg): [97.78996, 95.47994, 15.82, 36.95998, 218.82, 32.47999, 51.23998, 140.6999, 95.05997, 173.9499, 260.12, 121.6599, 59.77999, 415.38, 42.21, 188.0899, 166.6, 62.78997, 269.85, 76.29998, 45.42999, 57.88999, 178.36, 13.92999, 101.2899, 157.92, 349.5799, 181.58, 389.5498, 71.32999]
Shot vert (deg): [41.92998, 192.2199, 88.19994, 347.1999, 171.08, 30.94, 65.58997, 52.56999, 193.97, 64.18996, 136.71, 91.48996, 63.55997, 82.87995, 153.09, 202.3, 32.33999, 99.04994, 554.26, 106.1899, 135.4499, 44.37999, 110.04, 536.6899, 26.10999, 43.46999, 71.53998, 88.96996, 104.2999, 204.05]
Step vert (deg): [186.2, 126.8399, 408.3099, 163.03, 43.95998, 116.55, 85.39996, 828.5204, 152.6699, 273.7701, 215.6, 460.6699, 268.45, 68.59998, 476.6299, 224.5599, 98.48997, 56.97998, 254.8, 46.68998, 14.06999, 117.67, 47.17999, 54.17999, 192.01, 375.1298, 615.6501, 346.5701, 24.15, 431.4098]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
383.54: (0.54, 0.77, -0.34): 2
383.54: (-0.33, -0.13, 0.93)
383.64: (-0.33, -0.13, 0.93)
383.76: (-0.34, -0.13, 0.93)
383.88: (-0.14, -0.13, 0.98)
383.99: (0.15, 0.03, 0.99)
384.09: (0.15, 0.18, 0.97)
384.21: (0.07, 0.21, 0.98)
384.33: (-0.34, 0.29, 0.90)
384.44: (-0.78, 0.37, 0.51)
384.56: (-0.93, 0.36, -0.11)
384.68: (-0.82, 0.20, -0.53)
384.79: (-0.73, -0.06, -0.68)
384.89: (-0.51, -0.37, -0.77)
385.01: (-0.03, -0.73, -0.68)
385.11: (0.28, -0.81, -0.51)
385.23: (0.51, -0.77, -0.39)
385.33: (0.84, -0.51, -0.20)
385.44: (0.77, -0.17, -0.61)
385.56: (0.68, 0.14, -0.72)
385.68: (0.83, 0.33, -0.45)
385.79: (0.83, 0.33, -0.45)
385.89: (0.83, 0.33, -0.45)
386.01: (0.71, 0.55, -0.44)
386.11: (0.59, 0.70, -0.40)
386.21: (0.59, 0.71, -0.37)
386.23: (0.59, 0.71, -0.37)
386.23: (0.14, 0.98, -0.15): 1
386.33: (0.59, 0.71, -0.37)
386.44: (0.62, 0.69, -0.38)
386.54: (0.61, 0.66, -0.44)
386.66: (0.25, 0.91, -0.33)
386.78: (0.04, 0.99, -0.16)
386.89: (0.07, 0.99, -0.13)
386.99: (0.15, 0.97, -0.16)
387.08: (0.16, 0.97, -0.17)
387.08: (0.62, -0.51, -0.60): 2
387.11: (0.16, 0.97, -0.17)
387.21: (0.13, 0.98, -0.16)
387.33: (-0.04, 0.99, -0.13)
387.44: (-0.32, 0.94, 0.11)
387.54: (-0.42, 0.74, 0.52)
387.66: (-0.26, 0.46, 0.85)
387.76: (-0.09, 0.25, 0.96)
387.88: (-0.18, 0.51, 0.84)
387.99: (-0.29, 0.88, 0.38)
388.11: (-0.35, 0.91, -0.22)
388.21: (-0.46, 0.76, -0.46)
388.33: (-0.65, 0.60, -0.46)
388.44: (-0.63, 0.35, -0.70)
388.56: (-0.27, -0.04, -0.96)
388.68: (0.18, -0.42, -0.89)
388.79: (0.46, -0.66, -0.59)
388.91: (0.45, -0.73, -0.52)
389.03: (0.50, -0.67, -0.55)
389.14: (0.63, -0.45, -0.63)
389.24: (0.66, -0.39, -0.64)
389.26: (0.66, -0.39, -0.64)
389.26: (-0.74, 0.26, -0.62): 0
389.34: (0.65, -0.39, -0.65)
389.46: (0.81, -0.32, -0.48)
389.58: (0.95, -0.27, -0.12)
389.69: (0.86, -0.30, 0.42)
389.81: (0.77, -0.32, 0.55)
389.93: (0.95, -0.27, 0.15)
390.04: (0.57, -0.28, -0.77)
390.16: (-0.30, -0.44, -0.85)
390.26: (-0.64, -0.31, -0.70)
390.36: (-0.74, -0.17, -0.65)
390.46: (-0.86, 0.10, -0.51)
390.58: (-0.80, 0.43, -0.43)
390.68: (-0.70, 0.42, -0.57)
390.79: (-0.71, 0.34, -0.62)
390.91: (-0.74, 0.31, -0.60)
390.93: (-0.74, 0.31, -0.60)
390.93: (0.80, 0.49, -0.35): 2
391.01: (-0.74, 0.31, -0.60)
391.13: (-0.71, 0.27, -0.65)
391.24: (-0.52, -0.08, -0.85)
391.34: (-0.27, -0.41, -0.87)
391.46: (-0.01, -0.68, -0.73)
391.58: (0.29, -0.84, -0.45)
391.69: (0.45, -0.86, -0.22)
