52.24: (-0.47, -0.86, 0.20): 2
52.24: (0.71, 0.54, 0.46)
52.36: (0.71, 0.54, 0.46)
52.46: (0.76, 0.51, 0.40)
52.58: (0.92, 0.31, 0.25)
52.69: (1.00, -0.04, -0.03)
52.81: (0.77, -0.24, -0.59)
52.91: (0.39, -0.25, -0.89)
53.03: (0.00, -0.14, -0.99)
53.14: (-0.33, 0.05, -0.94)
53.26: (-0.67, 0.31, -0.67)
53.38: (-0.84, 0.47, -0.29)
53.48: (-0.83, 0.51, 0.20)
53.59: (-0.57, 0.36, 0.74)
53.71: (-0.35, 0.11, 0.93)
53.83: (-0.73, -0.02, 0.68)
53.94: (-0.98, -0.18, 0.04)
54.04: (-0.83, -0.09, -0.55)
54.16: (-0.44, 0.40, -0.81)
54.28: (0.10, 0.83, -0.54)
54.39: (0.03, 0.88, -0.47)
54.51: (-0.70, 0.25, -0.66)
54.63: (-0.67, -0.69, -0.27)
54.73: (-0.32, -0.95, 0.01)
54.84: (-0.17, -0.98, 0.07)
54.96: (-0.36, -0.91, 0.19)
55.06: (-0.45, -0.85, 0.26)
55.06: (0.94, 0.03, 0.34): 1
55.08: (-0.45, -0.85, 0.26)
55.19: (-0.46, -0.85, 0.25)
55.29: (-0.75, -0.66, 0.04)
55.41: (-0.86, 0.12, -0.50)
55.53: (-0.12, 0.73, -0.67)
55.64: (0.40, 0.83, -0.39)
55.76: (0.44, 0.89, -0.07)
55.88: (0.39, 0.83, 0.40)
55.98: (0.29, 0.52, 0.80)
56.09: (0.20, -0.02, 0.98)
56.19: (0.12, -0.36, 0.93)
56.31: (0.07, -0.65, 0.76)
56.43: (0.13, -0.88, 0.46)
56.54: (0.30, -0.93, 0.20)
56.64: (0.59, -0.79, -0.15)
56.76: (0.88, -0.25, -0.40)
56.88: (0.90, 0.35, -0.27)
56.98: (0.70, 0.71, 0.07)
57.09: (0.51, 0.71, 0.49)
57.21: (0.81, 0.28, 0.52)
57.31: (0.94, -0.08, 0.33)
57.43: (0.96, -0.14, 0.25)
57.44: (0.96, -0.14, 0.25)
57.44: (-0.82, -0.41, 0.40): 1
57.53: (0.96, -0.14, 0.25)
57.64: (0.95, -0.10, 0.31)
57.76: (0.86, -0.13, 0.50)
57.86: (0.67, -0.48, 0.56)
57.98: (0.16, -0.96, 0.23)
58.09: (-0.49, -0.74, -0.47)
58.21: (-0.69, 0.05, -0.72)
58.32: (-0.59, 0.65, -0.48)
58.43: (-0.69, 0.72, -0.05)
58.54: (-0.85, 0.24, 0.46)
58.66: (-0.69, -0.63, 0.36)
58.78: (-0.19, -0.90, -0.39)
58.89: (-0.12, -0.85, -0.52)
59.01: (-0.57, -0.81, 0.12)
59.13: (-0.73, -0.57, 0.38)
59.24: (-0.78, -0.48, 0.40)
59.34: (-0.78, -0.47, 0.40)
59.34: (0.50, 0.53, 0.68): 1
59.36: (-0.78, -0.48, 0.41)
59.47: (-0.78, -0.47, 0.41)
59.58: (-0.79, -0.47, 0.39)
59.69: (-0.79, -0.47, 0.39)
59.81: (-0.79, -0.47, 0.39)
59.92: (-0.79, -0.47, 0.39)
60.04: (-0.79, -0.47, 0.39)
60.14: (-0.77, -0.45, 0.45)
60.26: (-0.54, -0.30, 0.79)
60.37: (-0.07, 0.17, 0.98)
60.47: (0.48, 0.59, 0.65)
