3/28/2023 6:38:58 PM
Mode: Mono
White time (s): [0.8997192, 0.9499512, 1.116638, 4.532471, 1.983093, 6.048828, 2.782532, 7.731995, 0.866394, 1.749634, 3.465942, 2.999451, 0.949707, 0.9998169, 3.799438, 6.2323, 2.14978, 3.199341, 3.149048, 0.9997559, 1.500305, 2.066833, 1.399658, 1.932739, 1.350098, 3.03241, 3.082764, 3.832336, 3.382935, 1.616455]
Shot time (s): [3.632751, 0.8162842, 2.815979, 2.099182, 3.732666, 0.833313, 3.249084, 14.76373, 2.082947, 1.650024, 4.865479, 2.149658, 0.7332764, 12.59778, 2.832764, 3.166321, 3.749146, 2.932922, 2.682678, 2.150024, 3.299133, 2.582764, 1.599487, 3.082397, 4.649048, 0.866394, 2.199829, 4.732117, 3.349426, 0.4667969]
Step time (s): [1.432922, 1.566528, 3.149658, 5.098877, 2.699585, 2.299316, 0.8999023, 8.814819, 0.8497314, 2.782654, 0.7828979, 1.666443, 3.432556, 2.282837, 5.199036, 3.64917, 1.566345, 1.716125, 7.64856, 7.648254, 3.549194, 0.6497192, 4.048889, 1.283264, 0.7332764, 0.699707, 3.28241, 2.666138, 5.398865, 0.9666748]
White horz (deg): [41.5125, 45.42749, 64.05749, 335.9476, 58.59, 376.65, 268.92, 658.4626, 22.27499, 95.10744, 232.335, 138.3074, 68.57999, 39.21748, 478.2373, 545.1977, 97.46999, 248.1974, 245.6324, 46.70999, 103.14, 213.435, 105.435, 158.0849, 78.16498, 227.3401, 284.2425, 227.7449, 180.8325, 92.54247]
Shot horz (deg): [278.9773, 13.365, 162.5399, 194.5349, 278.9775, 40.23, 162.6075, 1318.816, 94.43245, 104.5575, 370.3725, 189.6075, 38.06999, 1016.416, 213.84, 161.2575, 329.7374, 307.1248, 144.3824, 71.07747, 285.7274, 180.8325, 76.40997, 233.0775, 533.7899, 54.87748, 191.6325, 351.0675, 324.675, 0.9449998]
Step horz (deg): [36.38248, 106.65, 170.8425, 340.2675, 144.855, 135.0675, 21.6, 646.92, 12.3525, 169.425, 15.7275, 70.26746, 246.105, 150.5924, 398.5876, 278.9775, 145.665, 192.51, 564.5703, 631.4622, 314.01, 14.44499, 347.49, 126.63, 25.98749, 11.9475, 160.11, 200.5425, 551.6102, 16.065]
White vert (deg): [24.56999, 33.07499, 17.48249, 179.4825, 107.9325, 193.86, 131.49, 410.6695, 28.88999, 39.08249, 104.5575, 180.09, 25.37999, 25.11, 388.7326, 513.8774, 161.055, 195.345, 238.9499, 30.57749, 46.77749, 106.4474, 82.95749, 122.58, 64.32748, 136.9575, 251.7749, 234.2925, 219.8474, 53.32499]
Shot vert (deg): [246.105, 16.67249, 124.9424, 108.4725, 121.4324, 23.82749, 96.86248, 662.0399, 53.93249, 99.69747, 314.8199, 34.02, 22.14, 807.1649, 130.6799, 250.2225, 150.5925, 198.7876, 253.5299, 185.4225, 173.88, 210.6675, 83.42999, 219.105, 262.1024, 15.795, 120.3525, 285.9301, 182.52, 0.4724999]
Step vert (deg): [32.73749, 58.99499, 183.1275, 217.6876, 165.5775, 96.32244, 23.42249, 454.3424, 28.5525, 173.2725, 11.8125, 57.71248, 138.9825, 86.60246, 346.0051, 275.1299, 131.1525, 116.91, 517.0499, 395.7526, 202.6349, 17.3475, 225.9899, 49.40999, 29.63249, 2.092499, 213.5025, 169.0874, 419.0402, 26.25749]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
595.02: (0.85, 0.26, -0.46): 1
595.02: (-0.05, -1.00, 0.01)
595.14: (-0.05, -1.00, 0.01)
595.25: (-0.05, -1.00, 0.01)
595.37: (-0.05, -1.00, 0.01)
595.49: (-0.01, -1.00, -0.07)
595.59: (0.03, -0.98, -0.19)
595.70: (-0.05, -0.95, -0.29)
595.82: (-0.05, -0.88, -0.48)
595.92: (-0.04, -0.80, -0.59)
596.04: (-0.24, -0.78, -0.58)
596.14: (-0.56, -0.66, -0.50)
596.25: (-0.80, -0.47, -0.37)
596.37: (-0.94, -0.32, -0.15)
596.47: (-0.98, -0.21, 0.05)
596.59: (-0.96, -0.14, 0.23)
596.70: (-0.89, -0.06, 0.46)
596.82: (-0.66, -0.10, 0.75)
596.92: (-0.32, -0.28, 0.90)
597.04: (0.07, -0.41, 0.91)
597.15: (0.34, -0.48, 0.81)
597.27: (0.57, -0.58, 0.59)
597.37: (0.73, -0.65, 0.20)
597.48: (0.73, -0.65, -0.19)
597.60: (0.63, -0.66, -0.42)
597.72: (0.49, -0.67, -0.56)
597.83: (0.37, -0.55, -0.75)
597.95: (0.46, -0.37, -0.81)
598.07: (0.76, -0.27, -0.60)
598.18: (0.90, -0.15, -0.42)
598.28: (0.91, -0.02, -0.41)
598.40: (0.87, 0.09, -0.49)
598.52: (0.84, 0.19, -0.51)
598.62: (0.84, 0.25, -0.48)
598.65: (0.84, 0.25, -0.48)
598.65: (0.68, 0.67, -0.30): 2
598.73: (0.84, 0.25, -0.48)
598.85: (0.83, 0.20, -0.52)
598.97: (0.81, 0.07, -0.58)
599.08: (0.82, 0.23, -0.53)
599.18: (0.84, 0.33, -0.42)
599.30: (0.85, 0.35, -0.40)
599.42: (0.79, 0.46, -0.41)
599.53: (0.77, 0.51, -0.38)
599.63: (0.77, 0.52, -0.37)
599.75: (0.76, 0.55, -0.35)
599.87: (0.74, 0.58, -0.32)
599.98: (0.73, 0.61, -0.31)
600.08: (0.72, 0.62, -0.31)
600.08: (1.00, 0.04, 0.03): 0
600.10: (0.72, 0.62, -0.31)
600.22: (0.72, 0.61, -0.33)
600.33: (0.72, 0.58, -0.38)
600.43: (0.85, 0.38, -0.37)
600.55: (0.99, 0.12, -0.09)
600.65: (0.99, 0.11, -0.08)
600.77: (0.99, 0.11, -0.07)
600.88: (1.00, 0.02, -0.03)
600.98: (1.00, 0.01, -0.02)
600.98: (0.96, -0.13, 0.24): 1
601.00: (1.00, 0.01, -0.01)
601.10: (1.00, 0.00, -0.02)
601.22: (1.00, -0.03, -0.01)
601.32: (0.98, -0.13, 0.15)
601.43: (0.97, -0.12, 0.19)
601.55: (0.97, -0.11, 0.21)
601.67: (0.96, -0.12, 0.25)
601.78: (0.95, -0.14, 0.28)
601.80: (0.95, -0.14, 0.29)
601.80: (-0.54, -0.78, -0.31): 2
601.88: (0.94, -0.15, 0.30)
602.00: (0.95, -0.17, 0.28)
602.12: (0.91, -0.35, 0.21)
602.22: (0.84, -0.50, 0.21)
602.33: (0.80, -0.58, 0.19)
602.45: (0.59, -0.81, 0.06)
602.57: (0.30, -0.93, -0.22)
602.67: (0.06, -0.93, -0.37)
602.77: (-0.08, -0.91, -0.41)
602.88: (-0.27, -0.88, -0.39)
603.00: (-0.43, -0.83, -0.35)
603.12: (-0.46, -0.81, -0.36)
603.22: (-0.47, -0.81, -0.36)
603.33: (-0.52, -0.79, -0.31)
603.37: (-0.53, -0.79, -0.31)
