3/31/2023 6:24:44 PM
Mode: Mono
White time (s): [4.78241, 0.9830017, 5.398926, 1.066498, 3.182953, 5.865509, 3.632599, 1.549438, 2.36618, 0.7494202, 12.09763, 4.182465, 5.58255, 6.798615, 2.299988, 0.7163391, 0.9998169, 0.6669617, 0.6168213, 3.565948, 3.549255, 0.5495605, 5.449219, 1.96582, 3.149109, 1.133301, 3.916077, 3.232666, 3.832581, 0.8828735]
Shot time (s): [0.6667786, 1.016663, 1.616089, 0.6997986, 3.116272, 1.266357, 1.716461, 4.549286, 1.433075, 3.465973, 2.299561, 1.999817, 3.915802, 2.265778, 10.56461, 5.248932, 1.749725, 0.8164368, 5.332214, 3.699158, 2.732788, 3.915588, 1.433044, 1.666504, 0.5997925, 3.532471, 0.9498291, 3.4328, 2.149658, 4.59906]
Step time (s): [1.483002, 7.198364, 3.582764, 2.782684, 5.015625, 1.249542, 2.582886, 1.632965, 1.566345, 4.065552, 4.848785, 4.049164, 4.015747, 1.699646, 5.548615, 1.216492, 2.466675, 2.149902, 1.366455, 1.64978, 2.066467, 4.54895, 2.132751, 1.982971, 0.7165527, 1.616577, 1.582764, 0.9163208, 3.216003, 0.9833374]
White horz (deg): [314.88, 40.88498, 588.8797, 10.71, 272.765, 576.8947, 186.5748, 143.1399, 259.42, 28.98499, 1072.19, 254.2348, 537.1998, 431.0348, 110.5, 26.94499, 61.79497, 16.06499, 7.989997, 208.0799, 231.8799, 11.73, 397.3749, 136.1699, 194.9049, 83.89495, 240.89, 214.0299, 170.1699, 39.60998]
Shot horz (deg): [18.18999, 51.08498, 76.92493, 32.55499, 190.995, 84.99995, 87.71992, 563.9749, 62.47498, 247.095, 126.565, 112.1149, 369.1547, 142.0349, 910.35, 372.8099, 75.47997, 25.41499, 352.2399, 263.9248, 210.9699, 225.0799, 56.01497, 79.04996, 10.2, 204.7649, 44.62498, 327.7597, 119.3399, 278.1198]
Step horz (deg): [35.03999, 770.0797, 234.16, 160.88, 612.8799, 54.39997, 294.5251, 116.9599, 97.40993, 240.9749, 381.9897, 358.4449, 208.5049, 48.87498, 269.1949, 32.89498, 130.73, 52.10495, 59.41497, 81.93995, 125.2899, 286.1098, 135.9149, 94.34991, 27.62499, 74.71497, 72.75996, 52.78498, 199.0699, 51.50998]
White vert (deg): [488.1595, 51.84998, 432.7349, 61.28497, 181.05, 535.0751, 321.6399, 112.455, 119.4249, 10.54, 967.4695, 256.615, 276.505, 757.6896, 231.5399, 35.27498, 87.54996, 14.28, 15.64, 531.9297, 430.61, 10.625, 979.0297, 143.225, 473.7048, 83.89494, 551.8197, 236.81, 342.0399, 44.19998]
Shot vert (deg): [17.84999, 27.79498, 82.02495, 22.18499, 151.5549, 38.50498, 104.4649, 370.4297, 44.19997, 311.61, 194.4799, 120.2749, 298.3499, 161.16, 1275.085, 779.6201, 112.1149, 35.86999, 469.0299, 420.3247, 206.975, 624.9196, 32.72498, 158.9499, 14.62, 421.8548, 63.57997, 401.1997, 188.36, 393.4648]
Step vert (deg): [65.67999, 672.0798, 260.5599, 265.8399, 308.415, 31.70499, 205.53, 105.6549, 58.47998, 208.6749, 509.9998, 342.7198, 226.695, 96.55995, 729.725, 54.39997, 198.22, 246.0749, 159.2899, 162.3499, 290.4448, 603.1597, 202.2149, 170.4249, 29.15499, 127.3299, 87.63493, 48.10999, 438.6848, 17.085]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
348.38: (0.07, 0.21, 0.98): 2
348.38: (0.27, 0.93, 0.24)
348.48: (0.27, 0.93, 0.24)
348.60: (0.27, 0.93, 0.24)
348.72: (0.27, 0.93, 0.24)
348.83: (0.23, 0.88, 0.42)
348.93: (0.25, 0.84, 0.48)
349.05: (0.35, 0.75, 0.56)
349.17: (0.21, 0.65, 0.73)
349.27: (0.05, 0.56, 0.82)
349.37: (0.05, 0.44, 0.90)
349.48: (0.11, 0.37, 0.92)
349.60: (0.07, 0.27, 0.96)
349.72: (0.06, 0.21, 0.98)
349.83: (0.06, 0.16, 0.99)
349.87: (0.06, 0.16, 0.99)
349.87: (-0.48, -0.87, -0.06): 2
349.95: (0.07, 0.16, 0.98)
350.07: (0.10, 0.16, 0.98)
350.18: (0.24, 0.14, 0.96)
350.30: (0.44, 0.07, 0.90)
350.40: (0.59, 0.01, 0.81)
350.52: (0.79, -0.15, 0.60)
350.63: (0.86, -0.27, 0.43)
350.73: (0.81, -0.33, 0.48)
350.85: (0.71, -0.53, 0.47)
350.97: (0.33, -0.64, 0.70)
351.08: (-0.09, -0.51, 0.86)
351.18: (-0.41, -0.31, 0.86)
351.30: (-0.58, -0.12, 0.80)
351.42: (-0.64, 0.12, 0.76)
351.53: (-0.72, 0.34, 0.61)
351.63: (-0.75, 0.56, 0.35)
351.75: (-0.76, 0.65, 0.00)
351.87: (-0.64, 0.68, -0.36)
351.97: (-0.31, 0.77, -0.56)
352.08: (0.02, 0.83, -0.56)
352.20: (0.21, 0.92, -0.34)
352.32: (0.36, 0.93, -0.07)
352.42: (0.38, 0.91, 0.15)
352.53: (0.30, 0.85, 0.42)
352.65: (0.14, 0.69, 0.71)
352.75: (-0.18, 0.41, 0.89)
352.87: (-0.38, 0.18, 0.91)
352.97: (-0.54, 0.07, 0.84)
353.07: (-0.84, -0.07, 0.54)
353.18: (-0.95, -0.24, 0.22)
353.30: (-0.95, -0.26, -0.17)
353.42: (-0.83, -0.21, -0.51)
353.52: (-0.62, -0.12, -0.77)
353.63: (-0.25, 0.04, -0.97)
353.75: (0.17, 0.13, -0.98)
353.87: (0.38, 0.08, -0.92)
353.97: (0.53, -0.03, -0.84)
354.08: (0.69, -0.21, -0.69)
354.20: (0.75, -0.48, -0.46)
354.32: (0.61, -0.73, -0.30)
354.43: (0.44, -0.87, -0.20)
354.55: (0.49, -0.87, -0.03)
354.65: (0.69, -0.69, 0.23)
354.77: (0.85, -0.40, 0.36)
354.88: (0.96, 0.09, 0.26)
355.00: (0.81, 0.57, 0.11)
355.12: (0.61, 0.79, -0.09)
355.22: (0.38, 0.88, -0.28)
355.33: (0.08, 0.92, -0.39)
355.45: (-0.18, 0.82, -0.54)
355.55: (-0.39, 0.65, -0.65)
355.67: (-0.65, 0.38, -0.66)
355.77: (-0.87, 0.12, -0.48)
355.88: (-0.99, -0.02, -0.12)
356.00: (-0.99, -0.10, 0.13)
356.12: (-0.93, -0.31, 0.19)
356.22: (-0.78, -0.59, 0.21)
356.33: (-0.41, -0.91, 0.08)
356.45: (-0.06, -0.99, -0.11)
356.57: (0.05, -0.98, -0.17)
356.68: (-0.27, -0.95, -0.15)
356.80: (-0.49, -0.86, -0.13)
356.90: (-0.43, -0.90, -0.10)
357.02: (-0.44, -0.90, 0.03)
357.07: (-0.45, -0.89, 0.05)
357.07: (-0.28, 0.86, -0.44): 2
357.13: (-0.45, -0.89, 0.05)
357.25: (-0.46, -0.89, 0.04)
