3/27/2023 3:12:46 PM
Mode: Mono
White time (s): [1.499939, 2.849304, 6.648315, 2.416199, 1.233154, 5.865601, 2.565857, 2.349243, 2.249695, 0.7498779, 5.532166, 1.766357, 7.132141, 2.749268, 5.882507, 3.615601, 3.849304, 5.632202, 2.082886, 1.66626, 0.7330933, 6.03186, 4.781982, 2.31604, 2.116028, 5.298828, 2.332825, 0.866333, 2.166443, 5.99884]
Shot time (s): [2.882751, 0.7665405, 1.43335, 0.8665161, 2.499207, 4.749573, 0.8166504, 1.682922, 1.749878, 7.165222, 2.082642, 0.9164429, 0.6165771, 1.183228, 2.799377, 0.6333618, 2.299683, 0.9663086, 9.698181, 2.265808, 0.6333008, 1.516541, 0.8164673, 3.549194, 9.997742, 1.649963, 3.732605, 1.183167, 2.799438, 1.516296]
Step time (s): [6.231812, 7.215088, 7.08197, 2.099243, 2.466064, 3.899231, 1.899658, 1.399597, 1.432983, 0.7997437, 0.9998169, 2.699463, 6.031799, 3.149597, 1.132813, 0.7167358, 3.965759, 1.682861, 1.53302, 1.299683, 2.73291, 1.26593, 2.032898, 0.666687, 0.6333008, 0.666748, 0.5003052, 1.932983, 6.36554, 2.149536]
White horz (deg): [153.425, 377.3399, 881.7891, 413.6297, 238.7349, 773.1099, 312.265, 247.19, 284.4298, 60.51498, 859.3694, 184.015, 1202.319, 515.6599, 1067.229, 542.9249, 636.9749, 996.6445, 167.0099, 148.865, 54.14998, 1151.969, 747.0798, 306.66, 261.0601, 728.2697, 306.945, 57.47497, 349.5051, 1156.435]
Shot horz (deg): [462.3648, 37.71498, 173.375, 47.49998, 279.68, 770.5443, 40.27998, 393.0149, 58.32998, 994.9341, 198.17, 29.16498, 35.90998, 68.01998, 402.515, 8.644997, 202.1599, 26.02999, 481.7455, 139.365, 46.83498, 189.145, 71.34499, 639.7297, 1997.849, 243.01, 724.1847, 129.105, 298.965, 235.505]
Step horz (deg): [896.7043, 944.9641, 766.9343, 280.2499, 367.1749, 402.705, 207.765, 128.915, 203.7749, 34.29499, 39.99498, 334.59, 576.5544, 391.2099, 82.17496, 16.33999, 566.7698, 401.945, 199.0249, 131.1949, 355.6798, 177.8399, 207.385, 41.98997, 46.26498, 31.91998, 24.69999, 119.415, 858.8941, 317.5849]
White vert (deg): [19.28499, 186.675, 217.645, 102.695, 47.02498, 398.7152, 245.385, 137.56, 75.52496, 12.82499, 243.5801, 22.98998, 683.3345, 218.69, 695.8746, 333.3551, 303.81, 619.5901, 54.90997, 20.13999, 12.72999, 550.5247, 347.5102, 122.93, 143.355, 360.7152, 151.905, 5.794998, 144.21, 380.9501]
Shot vert (deg): [178.6949, 8.834996, 60.03996, 36.76499, 191.14, 455.62, 33.15498, 28.49998, 121.22, 450.4902, 54.52997, 54.14998, 15.57999, 74.09999, 115.33, 12.16, 116.66, 8.454996, 231.4201, 86.63996, 6.744996, 132.62, 11.495, 165.7751, 872.5743, 136.99, 209.475, 107.4449, 170.525, 64.21997]
Step vert (deg): [265.2402, 271.1302, 391.8754, 99.17997, 81.12997, 156.275, 62.79498, 100.605, 68.20997, 5.699997, 26.40998, 186.01, 182.5901, 118.75, 21.65999, 29.35498, 267.71, 64.78999, 63.83997, 59.84996, 148.865, 53.48498, 121.695, 26.97999, 9.689997, 16.14999, 16.52999, 131.955, 345.1352, 220.97]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
620.34: (-0.87, 0.20, -0.46): 1
620.34: (0.08, 0.71, 0.70)
620.46: (0.08, 0.71, 0.70)
620.57: (0.09, 0.72, 0.69)
620.69: (0.09, 0.72, 0.69)
620.81: (0.09, 0.72, 0.68)
620.92: (0.33, 0.73, 0.60)
621.04: (0.77, 0.36, 0.53)
621.16: (0.89, -0.27, 0.35)
621.27: (0.84, -0.40, 0.35)
621.37: (0.62, -0.73, 0.29)
621.49: (0.10, -0.99, 0.12)
621.61: (-0.10, -1.00, 0.00)
621.72: (-0.23, -0.97, -0.07)
621.83: (0.28, -0.96, 0.07)
621.94: (0.96, -0.22, 0.17)
622.06: (0.96, 0.19, 0.18)
622.17: (0.91, 0.40, 0.13)
622.29: (0.42, 0.88, 0.22)
622.41: (-0.52, 0.83, 0.23)
622.52: (-0.90, 0.41, 0.17)
622.64: (-0.98, 0.01, 0.21)
622.76: (-0.94, -0.21, 0.28)
622.87: (-0.97, 0.23, -0.01)
622.99: (-0.90, 0.31, -0.29)
623.11: (-0.88, 0.20, -0.42)
623.21: (-0.88, 0.20, -0.42)
623.22: (-0.88, 0.20, -0.42)
623.22: (0.37, 0.22, -0.90): 2
623.32: (-0.88, 0.20, -0.42)
623.42: (-0.88, 0.20, -0.42)
623.54: (-0.90, 0.13, -0.41)
623.66: (-0.91, 0.00, -0.42)
623.77: (-0.93, 0.27, -0.24)
623.87: (-0.63, 0.77, 0.14)
623.99: (-0.50, 0.81, 0.30)
624.11: (-0.11, 0.81, 0.57)
624.21: (0.48, 0.54, 0.69)
624.32: (0.93, 0.10, 0.36)
624.44: (0.96, -0.25, 0.09)
624.54: (0.84, -0.54, -0.07)
624.66: (0.59, -0.75, -0.29)
624.77: (0.21, -0.84, -0.50)
624.89: (-0.20, -0.79, -0.58)
624.99: (-0.46, -0.68, -0.58)
625.11: (-0.76, -0.43, -0.49)
625.22: (-0.95, -0.12, -0.31)
625.34: (-0.99, 0.02, -0.11)
625.44: (-0.99, 0.15, 0.04)
625.56: (-0.91, 0.36, 0.20)
625.67: (-0.78, 0.55, 0.30)
625.79: (-0.59, 0.71, 0.38)
625.89: (-0.31, 0.83, 0.47)
626.01: (0.05, 0.88, 0.48)
626.12: (0.03, 0.88, 0.48)
626.24: (0.03, 0.88, 0.48)
626.34: (0.03, 0.88, 0.48)
626.46: (-0.44, 0.81, 0.39)
626.57: (0.00, 0.90, 0.43)
626.67: (0.44, 0.82, 0.37)
626.79: (0.72, 0.64, 0.25)
626.91: (0.91, 0.39, 0.12)
627.01: (0.99, 0.10, 0.00)
627.12: (0.99, -0.16, 0.01)
627.24: (0.91, -0.37, 0.19)
627.36: (0.85, -0.32, 0.41)
627.46: (0.78, -0.14, 0.61)
627.57: (0.62, 0.17, 0.76)
627.69: (0.44, 0.43, 0.79)
627.81: (0.25, 0.66, 0.70)
627.91: (0.11, 0.82, 0.56)
628.01: (-0.09, 0.93, 0.34)
628.12: (-0.26, 0.96, 0.08)
628.24: (-0.30, 0.95, -0.07)
628.36: (-0.24, 0.93, -0.26)
628.46: (-0.17, 0.92, -0.35)
628.56: (-0.07, 0.90, -0.44)
628.67: (0.15, 0.72, -0.68)
628.79: (0.23, 0.32, -0.92)
628.89: (0.05, 0.04, -1.00)
629.01: (-0.16, -0.32, -0.93)
629.12: (0.00, -0.19, -0.98)
629.24: (0.30, 0.11, -0.95)
629.36: (0.36, 0.27, -0.89)
