3/28/2023 1:13:42 PM
Mode: Mono
White time (s): [0.7166443, 1.582886, 1.866333, 3.299255, 1.966339, 1.832611, 1.483063, 0.8997498, 0.7828979, 3.199432, 3.165833, 2.099823, 3.23291, 2.599487, 1.133362, 2.616058, 1.066193, 4.532288, 7.715149, 1.382965, 3.016113, 0.9164429, 0.4998779, 1.749634, 0.5332642, 0.5498657, 5.315552, 1.633118, 1.899475, 1.349731]
Shot time (s): [2.899353, 1.766357, 1.549744, 2.815979, 5.765533, 0.5997009, 0.7167664, 0.6164551, 0.4499817, 4.565674, 3.132721, 3.999268, 2.516327, 1.349792, 8.248322, 2.416382, 4.332458, 0.5830994, 0.483429, 2.265961, 1.782928, 4.499298, 3.749146, 0.5164795, 0.3833008, 1.466492, 1.116394, 0.8831177, 1.283081, 1.716187]
Step time (s): [0.7331848, 1.399872, 1.166565, 1.41629, 4.382324, 0.4165955, 0.7502136, 0.5666199, 2.616119, 2.982727, 3.449738, 0.5663147, 2.016083, 2.666016, 3.815765, 4.26593, 3.182739, 2.582672, 3.182556, 4.349426, 0.4164124, 5.249207, 2.21637, 0.4665222, 1.382935, 1.416443, 13.83063, 3.149414, 3.132874, 3.249573]
White horz (deg): [20.405, 178.9699, 289.575, 314.5449, 235.015, 244.475, 154.7699, 79.035, 18.81, 310.75, 258.17, 138.27, 414.1498, 286.165, 90.58498, 191.4, 143.275, 477.5099, 890.1202, 148.06, 368.5551, 65.945, 47.51999, 234.6299, 33.88, 9.844998, 567.8199, 294.415, 203.555, 220.605]
Shot horz (deg): [292.7649, 164.45, 154.275, 217.3049, 751.5198, 66.43999, 49.71999, 52.85499, 28.875, 507.595, 438.5699, 450.6149, 220.605, 89.75999, 803.7148, 501.6, 415.855, 49.995, 45.705, 310.4749, 190.575, 534.3251, 390.4449, 48.565, 15.07, 200.585, 73.425, 45.98001, 110.33, 150.6999]
Step horz (deg): [70.06999, 159.5, 203.555, 182.27, 314.9299, 7.369999, 12.705, 49.72, 261.855, 313.775, 449.8998, 23.815, 289.74, 320.21, 399.685, 316.0299, 286.495, 287.1549, 274.725, 364.595, 7.424999, 487.1898, 189.53, 46.2, 132.275, 113.96, 1264.781, 227.315, 348.755, 297.8799]
White vert (deg): [25.135, 120.67, 143.44, 288.365, 141.57, 75.35001, 72.325, 63.02999, 71.33501, 191.675, 212.905, 138.105, 181.5, 242.275, 103.235, 246.345, 65.945, 399.5749, 872.2996, 61.325, 284.625, 42.845, 8.195, 130.35, 21.505, 19.635, 650.2648, 187.0549, 172.205, 146.52]
Shot vert (deg): [241.2299, 106.865, 131.835, 261.3049, 375.705, 25.905, 50.215, 29.81, 3.684999, 213.73, 144.485, 247.6649, 166.32, 120.12, 866.7446, 121.825, 375.5398, 25.41, 35.96999, 108.46, 103.785, 508.3099, 214.5, 20.68, 25.575, 156.42, 14.3, 14.575, 157.41, 194.975]
Step vert (deg): [31.57, 52.14, 59.89501, 99.99002, 328.6248, 10.725, 40.25999, 17.05, 179.08, 280.8849, 329.5599, 21.725, 146.575, 160.545, 292.5999, 361.46, 278.52, 213.29, 317.1299, 560.8349, 31.46, 534.7098, 126.61, 8.855, 124.025, 179.575, 1863.895, 151.305, 278.8499, 224.95]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
349.03: (-0.45, 0.28, 0.85): 1
349.03: (0.29, 0.64, -0.71)
349.15: (0.29, 0.64, -0.71)
349.27: (0.29, 0.64, -0.71)
349.37: (0.29, 0.64, -0.71)
349.48: (0.04, 0.60, -0.80)
349.58: (-0.37, 0.32, -0.87)
349.68: (-0.73, -0.10, -0.68)
349.80: (-0.80, -0.25, -0.55)
349.92: (-0.80, -0.25, -0.55)
350.03: (-0.80, -0.25, -0.55)
350.15: (-0.84, -0.34, -0.42)
350.25: (-0.55, -0.60, -0.58)
350.37: (0.12, -0.75, -0.66)
350.48: (0.31, -0.80, -0.52)
350.60: (0.42, -0.81, -0.40)
350.72: (0.37, -0.93, 0.00)
350.82: (0.00, -0.99, 0.16)
350.93: (-0.40, -0.90, 0.18)
351.05: (-0.72, -0.63, 0.28)
351.17: (-0.88, -0.15, 0.44)
351.28: (-0.69, 0.29, 0.66)
351.40: (-0.36, 0.47, 0.81)
351.50: (-0.46, 0.14, 0.88)
351.62: (-0.50, 0.07, 0.86)
351.73: (-0.44, 0.16, 0.89)
351.83: (-0.38, 0.26, 0.89)
351.93: (-0.39, 0.28, 0.88)
351.93: (-0.68, 0.47, 0.56): 0
351.95: (-0.38, 0.28, 0.88)
352.07: (-0.41, 0.27, 0.87)
352.17: (-0.49, 0.17, 0.85)
352.28: (-0.49, 0.17, 0.85)
352.40: (-0.50, 0.17, 0.85)
352.52: (-0.61, 0.21, 0.76)
352.62: (-0.71, 0.35, 0.61)
352.65: (-0.72, 0.37, 0.59)
352.65: (0.47, -0.78, 0.41): 0
352.73: (-0.71, 0.38, 0.59)
352.85: (-0.70, 0.42, 0.58)
352.97: (-0.65, 0.50, 0.57)
353.08: (-0.28, 0.68, 0.68)
353.20: (0.06, 0.54, 0.84)
353.32: (0.16, 0.03, 0.99)
353.43: (0.05, -0.49, 0.87)
353.55: (-0.36, -0.54, 0.76)
353.67: (-0.72, -0.36, 0.60)
353.77: (-0.37, -0.60, 0.71)
353.88: (0.31, -0.65, 0.69)
353.98: (0.33, -0.65, 0.68)
354.10: (0.35, -0.69, 0.63)
354.22: (0.35, -0.82, 0.46)
354.23: (0.36, -0.82, 0.44)
354.23: (0.99, 0.06, 0.15): 2
354.32: (0.38, -0.83, 0.41)
354.43: (0.60, -0.71, 0.37)
354.55: (0.63, -0.64, 0.45)
354.67: (0.72, -0.48, 0.51)
354.78: (0.90, -0.18, 0.40)
354.90: (0.99, 0.01, 0.10)
354.97: (1.00, 0.08, 0.04)
354.97: (0.02, -0.62, -0.79): 1
355.00: (1.00, 0.08, 0.04)
355.12: (1.00, 0.08, 0.05)
355.23: (0.98, 0.06, 0.16)
355.35: (0.94, 0.02, 0.34)
355.47: (0.85, 0.08, 0.52)
355.58: (0.73, 0.38, 0.57)
355.70: (0.67, 0.46, 0.58)
355.82: (0.65, 0.70, 0.32)
355.93: (0.62, 0.78, 0.00)
356.03: (0.58, 0.77, -0.28)
356.15: (0.38, 0.58, -0.72)
356.27: (0.23, 0.34, -0.91)
356.37: (0.16, 0.07, -0.98)
356.48: (0.08, -0.24, -0.97)
356.58: (0.14, -0.40, -0.91)
356.70: (0.18, -0.51, -0.84)
356.73: (0.18, -0.51, -0.84)
356.73: (0.95, 0.11, 0.29): 0
356.82: (0.14, -0.53, -0.84)
356.92: (0.01, -0.56, -0.83)
357.03: (0.01, -0.57, -0.82)
357.15: (0.15, -0.39, -0.91)
357.25: (0.35, -0.06, -0.94)
357.35: (0.45, 0.30, -0.84)
357.47: (0.55, 0.64, -0.54)
357.58: (0.54, 0.81, -0.23)
357.70: (0.48, 0.86, 0.20)
357.82: (0.32, 0.61, 0.73)
357.93: (0.40, 0.24, 0.88)
358.03: (0.54, -0.03, 0.84)
358.15: (0.58, -0.35, 0.73)
358.25: (0.52, -0.71, 0.48)
358.37: (0.77, -0.56, 0.29)
358.48: (0.93, 0.04, 0.37)
358.60: (0.91, 0.14, 0.40)
358.60: (-1.00, -0.05, 0.05): 1
358.60: (0.91, 0.14, 0.40)
358.70: (0.91, 0.14, 0.40)
358.82: (0.95, 0.14, 0.29)
358.93: (0.96, 0.07, 0.28)
359.03: (0.94, -0.09, 0.32)
359.15: (0.84, -0.39, 0.38)
359.27: (0.45, -0.73, 0.51)
359.38: (0.05, -0.73, 0.69)
359.50: (-0.39, -0.57, 0.72)
359.60: (-0.67, -0.49, 0.56)
359.72: (-0.80, -0.49, 0.34)
359.83: (-0.81, -0.59, 0.05)
359.95: (-0.87, -0.49, 0.11)
360.05: (-0.96, -0.15, 0.24)
360.15: (-0.99, 0.08, 0.12)
360.15: (0.07, 0.73, 0.68): 1
360.17: (-0.99, 0.08, 0.12)
360.28: (-1.00, 0.00, 0.05)
360.40: (-0.98, -0.22, -0.03)
360.52: (-0.86, -0.44, -0.25)
360.62: (-0.73, -0.54, -0.41)
360.73: (-0.44, -0.60, -0.67)
360.85: (-0.16, -0.52, -0.84)
360.97: (0.17, -0.30, -0.94)
361.08: (0.28, -0.21, -0.94)
361.18: (0.49, -0.03, -0.87)
361.28: (0.52, -0.02, -0.86)
361.40: (0.52, -0.02, -0.86)
361.52: (0.52, -0.02, -0.86)
361.62: (0.41, 0.03, -0.91)
361.73: (0.11, 0.23, -0.97)
361.85: (-0.23, 0.44, -0.87)
361.97: (-0.36, 0.67, -0.65)
362.08: (-0.23, 0.91, -0.35)
362.18: (-0.01, 0.98, -0.19)
