307.61: (0.87, -0.45, 0.22)
307.71: (0.90, -0.33, 0.30)
307.73: (0.90, -0.32, 0.30)
307.73: (0.98, -0.06, -0.18): 0
307.81: (0.90, -0.32, 0.30)
307.93: (0.89, -0.30, 0.34)
308.04: (0.96, -0.18, 0.23)
308.16: (0.99, -0.17, 0.00)
308.28: (0.97, -0.19, -0.11)
308.39: (0.97, -0.12, -0.22)
308.39: (-0.91, -0.04, -0.42): 2
308.39: (0.97, -0.12, -0.22)
308.51: (0.97, -0.12, -0.22)
308.63: (0.98, -0.03, -0.18)
308.73: (1.00, 0.00, -0.08)
308.84: (1.00, -0.02, -0.06)
308.96: (0.94, 0.00, -0.34)
309.08: (0.74, 0.26, -0.63)
309.19: (0.71, 0.22, -0.67)
309.31: (0.63, 0.10, -0.77)
309.43: (0.60, -0.34, -0.73)
309.54: (0.57, -0.63, -0.53)
309.66: (0.57, -0.63, -0.53)
309.78: (0.57, -0.63, -0.53)
309.88: (0.17, -0.92, -0.36)
309.99: (-0.17, -0.98, -0.04)
310.11: (-0.12, -0.99, -0.09)
310.21: (-0.21, -0.98, -0.03)
310.33: (-0.61, -0.72, 0.33)
310.43: (-0.54, -0.79, 0.27)
310.54: (-0.54, -0.80, 0.27)
310.66: (-0.67, -0.58, 0.46)
310.76: (-0.74, -0.06, 0.67)
310.88: (-0.56, 0.35, 0.75)
310.99: (-0.31, 0.52, 0.79)
311.09: (-0.02, 0.80, 0.61)
311.21: (0.26, 0.94, 0.22)
311.33: (0.34, 0.88, 0.32)
311.44: (0.34, 0.88, 0.32)
311.54: (0.44, 0.87, 0.22)
311.66: (0.91, 0.37, -0.16)
311.77: (0.93, 0.27, 0.26)
311.89: (0.63, 0.24, 0.74)
311.99: (0.55, 0.19, 0.81)
312.11: (0.58, -0.21, 0.79)
312.22: (0.63, -0.59, 0.50)
312.32: (0.61, -0.50, 0.62)
312.44: (0.61, -0.45, 0.66)
312.56: (0.68, -0.41, 0.61)
312.67: (0.87, -0.40, -0.28)
312.77: (0.74, -0.23, -0.63)
312.89: (0.64, -0.10, -0.77)
313.01: (0.30, -0.06, -0.95)
313.12: (-0.06, -0.29, -0.95)
313.24: (-0.05, -0.58, -0.81)
313.34: (0.14, -0.82, -0.55)
313.46: (0.46, -0.88, -0.14)
313.57: (0.67, -0.72, 0.18)
313.67: (0.85, -0.38, 0.36)
313.79: (0.87, -0.35, 0.34)
313.89: (0.88, -0.36, 0.32)
314.01: (0.76, -0.02, 0.65)
314.12: (0.26, 0.47, 0.84)
314.24: (-0.26, 0.63, 0.73)
314.34: (-0.70, 0.63, 0.35)
314.46: (-0.91, 0.39, -0.13)
314.57: (-0.69, 0.20, -0.70)
314.69: (-0.24, 0.16, -0.96)
314.79: (-0.42, 0.20, -0.89)
314.91: (-0.80, 0.14, -0.59)
315.02: (-0.88, 0.11, -0.47)
315.12: (-0.94, 0.00, -0.35)
315.24: (-0.94, -0.11, -0.33)
315.26: (-0.93, -0.12, -0.34)
